S50.00XA@Contusion of unspecified elbow, initial encounter
S52.382E@Bent bone of left rad, subs for opn fx type I/2 w routn heal
S52.382F@Bent bone of l rad, subs for opn fx type 3A/B/C w routn heal
S52.382G@Bent bone of left radius, subs for clos fx w delay heal
S52.382H@Bent bone of left rad, subs for opn fx type I/2 w delay heal
S52.382J@Bent bone of l rad, subs for opn fx type 3A/B/C w delay heal
S52.382K@Bent bone of left radius, subs for clos fx w nonunion
S52.382M@Bent bone of left rad, subs for opn fx type I/2 w nonunion
S52.382N@Bent bone of l rad, subs for opn fx type 3A/B/C w nonunion
S52.382P@Bent bone of left radius, subs for clos fx w malunion
S52.382Q@Bent bone of left rad, subs for opn fx type I/2 w malunion
S52.382R@Bent bone of l rad, subs for opn fx type 3A/B/C w malunion
S52.382S@Bent bone of left radius, sequela
S52.389A@Bent bone of unsp radius, init encntr for closed fracture
S52.389B@Bent bone of unsp radius, init for opn fx type I/2
S52.389C@Bent bone of unsp radius, init for opn fx type 3A/B/C
S52.389D@Bent bone of unsp radius, subs for clos fx w routn heal
S52.389E@Bent bone of unsp rad, subs for opn fx type I/2 w routn heal
S52.389F@Bent bone of unsp rad, 7thF
S52.389G@Bent bone of unsp radius, subs for clos fx w delay heal
S52.389H@Bent bone of unsp rad, subs for opn fx type I/2 w delay heal
S52.389J@Bent bone of unsp rad, 7thJ
S52.389K@Bent bone of unsp radius, subs for clos fx w nonunion
S52.389M@Bent bone of unsp rad, subs for opn fx type I/2 w nonunion
S52.389N@Bent bone of unsp rad, 7thN
S52.389P@Bent bone of unsp radius, subs for clos fx w malunion
S52.389Q@Bent bone of unsp rad, subs for opn fx type I/2 w malunion
S52.389R@Bent bone of unsp rad, 7thR
S52.389S@Bent bone of unspecified radius, sequela
S52.391A@Oth fracture of shaft of radius, right arm, init for clos fx
S52.391B@Oth fx shaft of radius, right arm, init for opn fx type I/2
S52.391C@Oth fx shaft of rad, right arm, init for opn fx type 3A/B/C
S52.391D@Oth fx shaft of rad, r arm, subs for clos fx w routn heal
S52.391E@Oth fx shaft of rad, r arm, 7thE
S52.391F@Oth fx shaft of rad, r arm, 7thF
S52.391G@Oth fx shaft of rad, r arm, subs for clos fx w delay heal
S52.391H@Oth fx shaft of rad, r arm, 7thH
S52.391J@Oth fx shaft of rad, r arm, 7thJ
S52.391K@Oth fx shaft of rad, right arm, subs for clos fx w nonunion
S52.391M@Oth fx shaft of rad, r arm, 7thM
S52.391N@Oth fx shaft of rad, r arm, 7thN
S52.391P@Oth fx shaft of rad, right arm, subs for clos fx w malunion
S52.391Q@Oth fx shaft of rad, r arm, 7thQ
S52.391R@Oth fx shaft of rad, r arm, 7thR
S52.391S@Other fracture of shaft of radius, right arm, sequela
S52.392A@Oth fracture of shaft of radius, left arm, init for clos fx
S52.392B@Oth fx shaft of radius, left arm, init for opn fx type I/2
S52.392C@Oth fx shaft of rad, left arm, init for opn fx type 3A/B/C
S52.392D@Oth fx shaft of rad, left arm, subs for clos fx w routn heal
S52.392E@Oth fx shaft of rad, l arm, 7thE
S52.392F@Oth fx shaft of rad, l arm, 7thF
S52.392G@Oth fx shaft of rad, left arm, subs for clos fx w delay heal
S52.392H@Oth fx shaft of rad, l arm, 7thH
S52.392J@Oth fx shaft of rad, l arm, 7thJ
S52.392K@Oth fx shaft of rad, left arm, subs for clos fx w nonunion
S52.392M@Oth fx shaft of rad, l arm, 7thM
S52.392N@Oth fx shaft of rad, l arm, 7thN
S52.392P@Oth fx shaft of rad, left arm, subs for clos fx w malunion
S52.392Q@Oth fx shaft of rad, l arm, 7thQ
S52.392R@Oth fx shaft of rad, l arm, 7thR
S52.392S@Other fracture of shaft of radius, left arm, sequela
S52.399A@Oth fracture of shaft of radius, unsp arm, init for clos fx
S52.399B@Oth fx shaft of radius, unsp arm, init for opn fx type I/2
S52.399C@Oth fx shaft of rad, unsp arm, init for opn fx type 3A/B/C
S52.399D@Oth fx shaft of rad, unsp arm, subs for clos fx w routn heal
S52.399E@Oth fx shaft of rad, unsp arm, 7thE
S52.399F@Oth fx shaft of rad, unsp arm, 7thF
S52.399G@Oth fx shaft of rad, unsp arm, subs for clos fx w delay heal
S52.399H@Oth fx shaft of rad, unsp arm, 7thH
S52.399J@Oth fx shaft of rad, unsp arm, 7thJ
S52.399K@Oth fx shaft of rad, unsp arm, subs for clos fx w nonunion
S52.399M@Oth fx shaft of rad, unsp arm, 7thM
S52.399N@Oth fx shaft of rad, unsp arm, 7thN
S52.399P@Oth fx shaft of rad, unsp arm, subs for clos fx w malunion
S52.399Q@Oth fx shaft of rad, unsp arm, 7thQ
S52.399R@Oth fx shaft of rad, unsp arm, 7thR
S52.399S@Other fracture of shaft of radius, unspecified arm, sequela
S52.501A@Unsp fracture of the lower end of right radius, init
S52.501B@Unsp fx the lower end of r radius, init for opn fx type I/2
S52.501C@Unsp fx the lower end r radius, init for opn fx type 3A/B/C
S52.501D@Unsp fx the lower end r rad, subs for clos fx w routn heal
S52.501E@Unsp fx the low end r rad, 7thE
S52.501F@Unsp fx the low end r rad, 7thF
S52.501G@Unsp fx the lower end r rad, subs for clos fx w delay heal
S52.501H@Unsp fx the low end r rad, 7thH
S52.501J@Unsp fx the low end r rad, 7thJ
S52.501K@Unsp fx the lower end r radius, subs for clos fx w nonunion
S52.501M@Unsp fx the low end r rad, 7thM
S52.501N@Unsp fx the low end r rad, 7thN
S52.501P@Unsp fx the lower end r radius, subs for clos fx w malunion
S52.501Q@Unsp fx the low end r rad, 7thQ
S52.501R@Unsp fx the low end r rad, 7thR
S52.501S@Unsp fracture of the lower end of right radius, sequela
S52.502A@Unsp fracture of the lower end of left radius, init
S52.502B@Unsp fx the lower end left radius, init for opn fx type I/2
S52.502C@Unsp fx the lower end left rad, init for opn fx type 3A/B/C
S52.502D@Unsp fx the low end left rad, subs for clos fx w routn heal
S52.502E@Unsp fx the low end l rad, 7thE
S52.502F@Unsp fx the low end l rad, 7thF
S52.502G@Unsp fx the low end left rad, subs for clos fx w delay heal
S52.502H@Unsp fx the low end l rad, 7thH
S52.502J@Unsp fx the low end l rad, 7thJ
S52.502K@Unsp fx the lower end left rad, subs for clos fx w nonunion
S52.502M@Unsp fx the low end l rad, 7thM
S52.502N@Unsp fx the low end l rad, 7thN
S52.502P@Unsp fx the lower end left rad, subs for clos fx w malunion
S52.502Q@Unsp fx the low end l rad, 7thQ
S52.502R@Unsp fx the low end l rad, 7thR
S52.502S@Unsp fracture of the lower end of left radius, sequela
S52.509A@Unsp fracture of the lower end of unsp radius, init
S52.509B@Unsp fx the lower end unsp radius, init for opn fx type I/2
S52.509C@Unsp fx the lower end unsp rad, init for opn fx type 3A/B/C
S52.509D@Unsp fx the low end unsp rad, subs for clos fx w routn heal
S52.509E@Unsp fx the low end unsp rad, 7thE
S52.509F@Unsp fx the low end unsp rad, 7thF
S52.509G@Unsp fx the low end unsp rad, subs for clos fx w delay heal
S52.509H@Unsp fx the low end unsp rad, 7thH
S52.509J@Unsp fx the low end unsp rad, 7thJ
S52.509K@Unsp fx the lower end unsp rad, subs for clos fx w nonunion
S52.509M@Unsp fx the low end unsp rad, 7thM
S52.509N@Unsp fx the low end unsp rad, 7thN
S52.509P@Unsp fx the lower end unsp rad, subs for clos fx w malunion
S52.509Q@Unsp fx the low end unsp rad, 7thQ
S52.509R@Unsp fx the low end unsp rad, 7thR
S52.509S@Unsp fracture of the lower end of unsp radius, sequela
S52.511A@Disp fx of right radial styloid process, init for clos fx
S52.511B@Disp fx of r radial styloid pro, init for opn fx type I/2
S52.511C@Disp fx of r radial styloid pro, init for opn fx type 3A/B/C
S52.511D@Disp fx of r radial styloid pro, 7thD
S52.511E@Disp fx of r radial styloid pro, 7thE
S52.511F@Disp fx of r radial styloid pro, 7thF
S52.511G@Disp fx of r radial styloid pro, 7thG
S52.511H@Disp fx of r radial styloid pro, 7thH
S52.511J@Disp fx of r radial styloid pro, 7thJ
S52.511K@Disp fx of r radial styloid pro, subs for clos fx w nonunion
S52.511M@Disp fx of r radial styloid pro, 7thM
S52.511N@Disp fx of r radial styloid pro, 7thN
S52.511P@Disp fx of r radial styloid pro, subs for clos fx w malunion
S52.511Q@Disp fx of r radial styloid pro, 7thQ
S52.511R@Disp fx of r radial styloid pro, 7thR
S52.511S@Displaced fracture of right radial styloid process, sequela
S52.512A@Disp fx of left radial styloid process, init for clos fx
S52.512B@Disp fx of left radial styloid pro, init for opn fx type I/2
S52.512C@Disp fx of l radial styloid pro, init for opn fx type 3A/B/C
S52.512D@Disp fx of l radial styloid pro, 7thD
S52.512E@Disp fx of l radial styloid pro, 7thE
S52.512F@Disp fx of l radial styloid pro, 7thF
S52.512G@Disp fx of l radial styloid pro, 7thG
S52.512H@Disp fx of l radial styloid pro, 7thH
S52.512J@Disp fx of l radial styloid pro, 7thJ
S52.512K@Disp fx of l radial styloid pro, subs for clos fx w nonunion
S52.512M@Disp fx of l radial styloid pro, 7thM
S52.512N@Disp fx of l radial styloid pro, 7thN
S52.512P@Disp fx of l radial styloid pro, subs for clos fx w malunion
S52.512Q@Disp fx of l radial styloid pro, 7thQ
S52.512R@Disp fx of l radial styloid pro, 7thR
S52.512S@Displaced fracture of left radial styloid process, sequela
S52.513A@Disp fx of unsp radial styloid process, init for clos fx
S52.513B@Disp fx of unsp radial styloid pro, init for opn fx type I/2
S52.513C@Disp fx of unsp radial styloid pro, 7thC
S52.513D@Disp fx of unsp radial styloid pro, 7thD
S52.513E@Disp fx of unsp radial styloid pro, 7thE
S52.513F@Disp fx of unsp radial styloid pro, 7thF
S52.513G@Disp fx of unsp radial styloid pro, 7thG
S52.513H@Disp fx of unsp radial styloid pro, 7thH
S52.513J@Disp fx of unsp radial styloid pro, 7thJ
S52.513K@Disp fx of unsp radial styloid pro, 7thK
S52.513M@Disp fx of unsp radial styloid pro, 7thM
S52.513N@Disp fx of unsp radial styloid pro, 7thN
S52.513P@Disp fx of unsp radial styloid pro, 7thP
S52.513Q@Disp fx of unsp radial styloid pro, 7thQ
S52.513R@Disp fx of unsp radial styloid pro, 7thR
S52.513S@Disp fx of unspecified radial styloid process, sequela
S52.514A@Nondisp fx of right radial styloid process, init for clos fx
S52.514B@Nondisp fx of r radial styloid pro, init for opn fx type I/2
S52.514C@Nondisp fx of r radial styloid pro, 7thC
S52.514D@Nondisp fx of r radial styloid pro, 7thD
S52.514E@Nondisp fx of r radial styloid pro, 7thE
S52.514F@Nondisp fx of r radial styloid pro, 7thF
S52.514G@Nondisp fx of r radial styloid pro, 7thG
S52.514H@Nondisp fx of r radial styloid pro, 7thH
S52.514J@Nondisp fx of r radial styloid pro, 7thJ
S52.514K@Nondisp fx of r radial styloid pro, 7thK
S52.514M@Nondisp fx of r radial styloid pro, 7thM
S52.514N@Nondisp fx of r radial styloid pro, 7thN
S52.514P@Nondisp fx of r radial styloid pro, 7thP
S52.514Q@Nondisp fx of r radial styloid pro, 7thQ
S52.514R@Nondisp fx of r radial styloid pro, 7thR
S52.514S@Nondisp fx of right radial styloid process, sequela
S52.515A@Nondisp fx of left radial styloid process, init for clos fx
S52.515B@Nondisp fx of l radial styloid pro, init for opn fx type I/2
S52.515C@Nondisp fx of l radial styloid pro, 7thC
S52.515D@Nondisp fx of l radial styloid pro, 7thD
S52.515E@Nondisp fx of l radial styloid pro, 7thE
S52.515F@Nondisp fx of l radial styloid pro, 7thF
S52.515G@Nondisp fx of l radial styloid pro, 7thG
S52.515H@Nondisp fx of l radial styloid pro, 7thH
S52.515J@Nondisp fx of l radial styloid pro, 7thJ
S52.515K@Nondisp fx of l radial styloid pro, 7thK
S52.515M@Nondisp fx of l radial styloid pro, 7thM
S52.515N@Nondisp fx of l radial styloid pro, 7thN
S52.515P@Nondisp fx of l radial styloid pro, 7thP
S52.515Q@Nondisp fx of l radial styloid pro, 7thQ
S52.515R@Nondisp fx of l radial styloid pro, 7thR
S52.515S@Nondisp fx of left radial styloid process, sequela
S52.516A@Nondisp fx of unsp radial styloid process, init for clos fx
S52.516B@Nondisp fx of unsp radial styloid pro, 7thB
S52.516C@Nondisp fx of unsp radial styloid pro, 7thC
S52.516D@Nondisp fx of unsp radial styloid pro, 7thD
S52.516E@Nondisp fx of unsp radial styloid pro, 7thE
S52.516F@Nondisp fx of unsp radial styloid pro, 7thF
S52.516G@Nondisp fx of unsp radial styloid pro, 7thG
S52.516H@Nondisp fx of unsp radial styloid pro, 7thH
S52.516J@Nondisp fx of unsp radial styloid pro, 7thJ
S52.516K@Nondisp fx of unsp radial styloid pro, 7thK
S52.516M@Nondisp fx of unsp radial styloid pro, 7thM
S52.516N@Nondisp fx of unsp radial styloid pro, 7thN
S52.516P@Nondisp fx of unsp radial styloid pro, 7thP
S52.516Q@Nondisp fx of unsp radial styloid pro, 7thQ
S52.516R@Nondisp fx of unsp radial styloid pro, 7thR
S52.516S@Nondisp fx of unspecified radial styloid process, sequela
S52.521A@Torus fracture of lower end of right radius, init
S52.521D@Torus fx lower end of r radius, subs for fx w routn heal
S52.521G@Torus fx lower end of r radius, subs for fx w delay heal
S52.521K@Torus fx lower end of r radius, subs for fx w nonunion
S52.521P@Torus fx lower end of r radius, subs for fx w malunion
S52.521S@Torus fracture of lower end of right radius, sequela
S52.522A@Torus fracture of lower end of left radius, init for clos fx
S52.522D@Torus fx lower end of left radius, subs for fx w routn heal
S52.522G@Torus fx lower end of left radius, subs for fx w delay heal
S52.522K@Torus fx lower end of left radius, subs for fx w nonunion
S52.522P@Torus fx lower end of left radius, subs for fx w malunion
S52.522S@Torus fracture of lower end of left radius, sequela
S52.529A@Torus fracture of lower end of unsp radius, init for clos fx
S52.529D@Torus fx lower end of unsp radius, subs for fx w routn heal
S52.529G@Torus fx lower end of unsp radius, subs for fx w delay heal
S52.529K@Torus fx lower end of unsp radius, subs for fx w nonunion
S52.529P@Torus fx lower end of unsp radius, subs for fx w malunion
S52.529S@Torus fracture of lower end of unspecified radius, sequela
S52.531A@Colles' fracture of right radius, init for clos fx
S52.531B@Colles' fracture of right radius, init for opn fx type I/2
S52.531C@Colles' fracture of r radius, init for opn fx type 3A/B/C
S52.531D@Colles' fracture of r radius, subs for clos fx w routn heal
S52.531E@Colles' fx r radius, subs for opn fx type I/2 w routn heal
S52.531F@Colles' fx r rad, subs for opn fx type 3A/B/C w routn heal
S52.531G@Colles' fracture of r radius, subs for clos fx w delay heal
S52.531H@Colles' fx r radius, subs for opn fx type I/2 w delay heal
S52.531J@Colles' fx r rad, subs for opn fx type 3A/B/C w delay heal
S52.531K@Colles' fracture of r radius, subs for clos fx w nonunion
S52.531M@Colles' fx r radius, subs for opn fx type I/2 w nonunion
S52.531N@Colles' fx r radius, subs for opn fx type 3A/B/C w nonunion
S52.531P@Colles' fracture of r radius, subs for clos fx w malunion
S52.531Q@Colles' fx r radius, subs for opn fx type I/2 w malunion
S52.531R@Colles' fx r radius, subs for opn fx type 3A/B/C w malunion
S52.531S@Colles' fracture of right radius, sequela
S52.532A@Colles' fracture of left radius, init for clos fx
S52.532B@Colles' fracture of left radius, init for opn fx type I/2
S52.532C@Colles' fracture of left radius, init for opn fx type 3A/B/C
S52.532D@Colles' fx left radius, subs for clos fx w routn heal
S52.532E@Colles' fx left rad, subs for opn fx type I/2 w routn heal
S52.532F@Colles' fx l rad, subs for opn fx type 3A/B/C w routn heal
S52.532G@Colles' fx left radius, subs for clos fx w delay heal
S52.532H@Colles' fx left rad, subs for opn fx type I/2 w delay heal
S52.532J@Colles' fx l rad, subs for opn fx type 3A/B/C w delay heal
S52.532K@Colles' fracture of left radius, subs for clos fx w nonunion
S52.532M@Colles' fx left radius, subs for opn fx type I/2 w nonunion
S52.532N@Colles' fx left rad, subs for opn fx type 3A/B/C w nonunion
S52.532P@Colles' fracture of left radius, subs for clos fx w malunion
S52.532Q@Colles' fx left radius, subs for opn fx type I/2 w malunion
S52.532R@Colles' fx left rad, subs for opn fx type 3A/B/C w malunion
S52.532S@Colles' fracture of left radius, sequela
S52.539A@Colles' fracture of unsp radius, init for clos fx
S52.539B@Colles' fracture of unsp radius, init for opn fx type I/2
S52.539C@Colles' fracture of unsp radius, init for opn fx type 3A/B/C
S52.539D@Colles' fx unsp radius, subs for clos fx w routn heal
S52.539E@Colles' fx unsp rad, subs for opn fx type I/2 w routn heal
S52.539F@Colles' fx unsp rad, 7thF
S52.539G@Colles' fx unsp radius, subs for clos fx w delay heal
S52.539H@Colles' fx unsp rad, subs for opn fx type I/2 w delay heal
S52.539J@Colles' fx unsp rad, 7thJ
S52.539K@Colles' fracture of unsp radius, subs for clos fx w nonunion
S52.539M@Colles' fx unsp radius, subs for opn fx type I/2 w nonunion
S52.539N@Colles' fx unsp rad, subs for opn fx type 3A/B/C w nonunion
S52.539P@Colles' fracture of unsp radius, subs for clos fx w malunion
S52.539Q@Colles' fx unsp radius, subs for opn fx type I/2 w malunion
S52.539R@Colles' fx unsp rad, subs for opn fx type 3A/B/C w malunion
S52.539S@Colles' fracture of unspecified radius, sequela
S52.541A@Smith's fracture of right radius, init for clos fx
S52.541B@Smith's fracture of right radius, init for opn fx type I/2
S52.541C@Smith's fracture of r radius, init for opn fx type 3A/B/C
S52.541D@Smith's fracture of r radius, subs for clos fx w routn heal
S52.541E@Smith's fx r radius, subs for opn fx type I/2 w routn heal
S52.541F@Smith's fx r rad, subs for opn fx type 3A/B/C w routn heal
S52.541G@Smith's fracture of r radius, subs for clos fx w delay heal
S52.541H@Smith's fx r radius, subs for opn fx type I/2 w delay heal
S52.541J@Smith's fx r rad, subs for opn fx type 3A/B/C w delay heal
S52.541K@Smith's fracture of r radius, subs for clos fx w nonunion
S52.541M@Smith's fx r radius, subs for opn fx type I/2 w nonunion
S52.541N@Smith's fx r radius, subs for opn fx type 3A/B/C w nonunion
S52.541P@Smith's fracture of r radius, subs for clos fx w malunion
S52.541Q@Smith's fx r radius, subs for opn fx type I/2 w malunion
S52.541R@Smith's fx r radius, subs for opn fx type 3A/B/C w malunion
S52.541S@Smith's fracture of right radius, sequela
S52.542A@Smith's fracture of left radius, init for clos fx
S52.542B@Smith's fracture of left radius, init for opn fx type I/2
S52.542C@Smith's fracture of left radius, init for opn fx type 3A/B/C
S52.542D@Smith's fx left radius, subs for clos fx w routn heal
S52.542E@Smith's fx left rad, subs for opn fx type I/2 w routn heal
S52.542F@Smith's fx l rad, subs for opn fx type 3A/B/C w routn heal
S52.542G@Smith's fx left radius, subs for clos fx w delay heal
S52.542H@Smith's fx left rad, subs for opn fx type I/2 w delay heal
S52.542J@Smith's fx l rad, subs for opn fx type 3A/B/C w delay heal
S52.542K@Smith's fracture of left radius, subs for clos fx w nonunion
S52.542M@Smith's fx left radius, subs for opn fx type I/2 w nonunion
S52.542N@Smith's fx left rad, subs for opn fx type 3A/B/C w nonunion
S52.542P@Smith's fracture of left radius, subs for clos fx w malunion
S52.542Q@Smith's fx left radius, subs for opn fx type I/2 w malunion
S52.542R@Smith's fx left rad, subs for opn fx type 3A/B/C w malunion
S52.542S@Smith's fracture of left radius, sequela
S52.549A@Smith's fracture of unsp radius, init for clos fx
S52.549B@Smith's fracture of unsp radius, init for opn fx type I/2
S52.549C@Smith's fracture of unsp radius, init for opn fx type 3A/B/C
S52.549D@Smith's fx unsp radius, subs for clos fx w routn heal
S52.549E@Smith's fx unsp rad, subs for opn fx type I/2 w routn heal
S52.549F@Smith's fx unsp rad, 7thF
S52.549G@Smith's fx unsp radius, subs for clos fx w delay heal
S52.549H@Smith's fx unsp rad, subs for opn fx type I/2 w delay heal
S52.549J@Smith's fx unsp rad, 7thJ
S52.549K@Smith's fracture of unsp radius, subs for clos fx w nonunion
S52.549M@Smith's fx unsp radius, subs for opn fx type I/2 w nonunion
S52.549N@Smith's fx unsp rad, subs for opn fx type 3A/B/C w nonunion
S52.549P@Smith's fracture of unsp radius, subs for clos fx w malunion
S52.549Q@Smith's fx unsp radius, subs for opn fx type I/2 w malunion
S52.549R@Smith's fx unsp rad, subs for opn fx type 3A/B/C w malunion
S52.549S@Smith's fracture of unspecified radius, sequela
S52.551A@Oth extrartic fracture of lower end of right radius, init
S52.551B@Oth extrartic fx lower end r rad, init for opn fx type I/2
S52.551C@Oth extrartic fx low end r rad, init for opn fx type 3A/B/C
S52.551D@Oth extrartic fx low end r rad, 7thD
S52.551E@Oth extrartic fx low end r rad, 7thE
S52.551F@Oth extrartic fx low end r rad, 7thF
S52.551G@Oth extrartic fx low end r rad, 7thG
S52.551H@Oth extrartic fx low end r rad, 7thH
S52.551J@Oth extrartic fx low end r rad, 7thJ
S52.551K@Oth extrartic fx low end r rad, subs for clos fx w nonunion
S52.551M@Oth extrartic fx low end r rad, 7thM
S52.551N@Oth extrartic fx low end r rad, 7thN
S52.551P@Oth extrartic fx low end r rad, subs for clos fx w malunion
S52.551Q@Oth extrartic fx low end r rad, 7thQ
S52.551R@Oth extrartic fx low end r rad, 7thR
S52.551S@Oth extrartic fracture of lower end of right radius, sequela
S52.552A@Oth extrartic fracture of lower end of left radius, init
S52.552B@Oth extrartic fx low end left rad, init for opn fx type I/2
S52.552C@Oth extrartic fx low end l rad, init for opn fx type 3A/B/C
S52.552D@Oth extrartic fx low end l rad, 7thD
S52.552E@Oth extrartic fx low end l rad, 7thE
S52.552F@Oth extrartic fx low end l rad, 7thF
S52.552G@Oth extrartic fx low end l rad, 7thG
S52.552H@Oth extrartic fx low end l rad, 7thH
S52.552J@Oth extrartic fx low end l rad, 7thJ
S52.552K@Oth extrartic fx low end l rad, subs for clos fx w nonunion
S52.552M@Oth extrartic fx low end l rad, 7thM
S52.552N@Oth extrartic fx low end l rad, 7thN
S52.552P@Oth extrartic fx low end l rad, subs for clos fx w malunion
S52.552Q@Oth extrartic fx low end l rad, 7thQ
S52.552R@Oth extrartic fx low end l rad, 7thR
S52.552S@Oth extrartic fracture of lower end of left radius, sequela
S52.559A@Oth extrartic fracture of lower end of unsp radius, init
S52.559B@Oth extrartic fx low end unsp rad, init for opn fx type I/2
S52.559C@Oth extrartic fx low end unsp rad, 7thC
S52.559D@Oth extrartic fx low end unsp rad, 7thD
S52.559E@Oth extrartic fx low end unsp rad, 7thE
S52.559F@Oth extrartic fx low end unsp rad, 7thF
S52.559G@Oth extrartic fx low end unsp rad, 7thG
S52.559H@Oth extrartic fx low end unsp rad, 7thH
S52.559J@Oth extrartic fx low end unsp rad, 7thJ
S52.559K@Oth extrartic fx low end unsp rad, 7thK
S52.559M@Oth extrartic fx low end unsp rad, 7thM
S52.559N@Oth extrartic fx low end unsp rad, 7thN
S52.559P@Oth extrartic fx low end unsp rad, 7thP
S52.559Q@Oth extrartic fx low end unsp rad, 7thQ
S52.559R@Oth extrartic fx low end unsp rad, 7thR
S52.559S@Oth extrartic fracture of lower end of unsp radius, sequela
S52.561A@Barton's fracture of right radius, init for clos fx
S52.561B@Barton's fracture of right radius, init for opn fx type I/2
S52.561C@Barton's fracture of r radius, init for opn fx type 3A/B/C
S52.561D@Barton's fracture of r radius, subs for clos fx w routn heal
S52.561E@Barton's fx r radius, subs for opn fx type I/2 w routn heal
S52.561F@Barton's fx r rad, subs for opn fx type 3A/B/C w routn heal
S52.561G@Barton's fracture of r radius, subs for clos fx w delay heal
S52.561H@Barton's fx r radius, subs for opn fx type I/2 w delay heal
S52.561J@Barton's fx r rad, subs for opn fx type 3A/B/C w delay heal
S52.561K@Barton's fracture of r radius, subs for clos fx w nonunion
S52.561M@Barton's fx r radius, subs for opn fx type I/2 w nonunion
S52.561N@Barton's fx r radius, subs for opn fx type 3A/B/C w nonunion
S52.561P@Barton's fracture of r radius, subs for clos fx w malunion
S52.561Q@Barton's fx r radius, subs for opn fx type I/2 w malunion
S52.561R@Barton's fx r radius, subs for opn fx type 3A/B/C w malunion
S52.561S@Barton's fracture of right radius, sequela
S52.562A@Barton's fracture of left radius, init for clos fx
S52.562B@Barton's fracture of left radius, init for opn fx type I/2
S52.562C@Barton's fx left radius, init for opn fx type 3A/B/C
S52.562D@Barton's fx left radius, subs for clos fx w routn heal
S52.562E@Barton's fx left rad, subs for opn fx type I/2 w routn heal
S52.562F@Barton's fx l rad, subs for opn fx type 3A/B/C w routn heal
S52.562G@Barton's fx left radius, subs for clos fx w delay heal
S52.562H@Barton's fx left rad, subs for opn fx type I/2 w delay heal
S52.562J@Barton's fx l rad, subs for opn fx type 3A/B/C w delay heal
S52.562K@Barton's fx left radius, subs for clos fx w nonunion
S52.562M@Barton's fx left radius, subs for opn fx type I/2 w nonunion
S52.562N@Barton's fx left rad, subs for opn fx type 3A/B/C w nonunion
S52.562P@Barton's fx left radius, subs for clos fx w malunion
S52.562Q@Barton's fx left radius, subs for opn fx type I/2 w malunion
S52.562R@Barton's fx left rad, subs for opn fx type 3A/B/C w malunion
S52.562S@Barton's fracture of left radius, sequela
S52.569A@Barton's fracture of unsp radius, init for clos fx
S52.569B@Barton's fracture of unsp radius, init for opn fx type I/2
S52.569C@Barton's fx unsp radius, init for opn fx type 3A/B/C
S52.569D@Barton's fx unsp radius, subs for clos fx w routn heal
S52.569E@Barton's fx unsp rad, subs for opn fx type I/2 w routn heal
S52.569F@Barton's fx unsp rad, 7thF
S52.569G@Barton's fx unsp radius, subs for clos fx w delay heal
S52.569H@Barton's fx unsp rad, subs for opn fx type I/2 w delay heal
S52.569J@Barton's fx unsp rad, 7thJ
S52.569K@Barton's fx unsp radius, subs for clos fx w nonunion
S52.569M@Barton's fx unsp radius, subs for opn fx type I/2 w nonunion
S52.569N@Barton's fx unsp rad, subs for opn fx type 3A/B/C w nonunion
S52.569P@Barton's fx unsp radius, subs for clos fx w malunion
S52.569Q@Barton's fx unsp radius, subs for opn fx type I/2 w malunion
S52.569R@Barton's fx unsp rad, subs for opn fx type 3A/B/C w malunion
S52.569S@Barton's fracture of unspecified radius, sequela
S52.571A@Oth intartic fracture of lower end of right radius, init
S52.571B@Oth intartic fx lower end r radius, init for opn fx type I/2
S52.571C@Oth intartic fx lower end r rad, init for opn fx type 3A/B/C
S52.571D@Oth intartic fx low end r rad, subs for clos fx w routn heal
S52.571E@Oth intartic fx low end r rad, 7thE
S52.571F@Oth intartic fx low end r rad, 7thF
S52.571G@Oth intartic fx low end r rad, subs for clos fx w delay heal
S52.571H@Oth intartic fx low end r rad, 7thH
S52.571J@Oth intartic fx low end r rad, 7thJ
S52.571K@Oth intartic fx lower end r rad, subs for clos fx w nonunion
S52.571M@Oth intartic fx low end r rad, 7thM
S52.571N@Oth intartic fx low end r rad, 7thN
S52.571P@Oth intartic fx lower end r rad, subs for clos fx w malunion
S52.571Q@Oth intartic fx low end r rad, 7thQ
S52.571R@Oth intartic fx low end r rad, 7thR
S52.571S@Oth intartic fracture of lower end of right radius, sequela
S52.572A@Oth intartic fracture of lower end of left radius, init
S52.572B@Oth intartic fx lower end left rad, init for opn fx type I/2
S52.572C@Oth intartic fx low end l rad, init for opn fx type 3A/B/C
S52.572D@Oth intartic fx low end l rad, subs for clos fx w routn heal
S52.572E@Oth intartic fx low end l rad, 7thE
S52.572F@Oth intartic fx low end l rad, 7thF
S52.572G@Oth intartic fx low end l rad, subs for clos fx w delay heal
S52.572H@Oth intartic fx low end l rad, 7thH
S52.572J@Oth intartic fx low end l rad, 7thJ
S52.572K@Oth intartic fx low end l rad, subs for clos fx w nonunion
S52.572M@Oth intartic fx low end l rad, 7thM
S52.572N@Oth intartic fx low end l rad, 7thN
S52.572P@Oth intartic fx low end l rad, subs for clos fx w malunion
S52.572Q@Oth intartic fx low end l rad, 7thQ
S52.572R@Oth intartic fx low end l rad, 7thR
S52.572S@Oth intartic fracture of lower end of left radius, sequela
S52.579A@Oth intartic fracture of lower end of unsp radius, init
S52.579B@Oth intartic fx lower end unsp rad, init for opn fx type I/2
S52.579C@Oth intartic fx low end unsp rad, 7thC
