S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S62.521K@Disp fx of distal phalanx of r thm, subs for fx w nonunion
S62.521P@Disp fx of distal phalanx of r thm, subs for fx w malunion
S62.521S@Displaced fracture of distal phalanx of right thumb, sequela
S62.522A@Disp fx of distal phalanx of left thumb, init for clos fx
S62.522B@Disp fx of distal phalanx of left thumb, init for opn fx
S62.522D@Disp fx of distal phalanx of l thm, subs for fx w routn heal
S62.522G@Disp fx of distal phalanx of l thm, subs for fx w delay heal
S62.522K@Disp fx of distal phalanx of l thm, subs for fx w nonunion
S62.522P@Disp fx of distal phalanx of l thm, subs for fx w malunion
S62.522S@Displaced fracture of distal phalanx of left thumb, sequela
S62.523A@Disp fx of distal phalanx of unsp thumb, init for clos fx
S62.523B@Disp fx of distal phalanx of unsp thumb, init for opn fx
S62.523D@Disp fx of distal phalanx of thmb, subs for fx w routn heal
S62.523G@Disp fx of distal phalanx of thmb, subs for fx w delay heal
S62.523K@Disp fx of distal phalanx of thmb, subs for fx w nonunion
S62.523P@Disp fx of distal phalanx of thmb, subs for fx w malunion
S62.523S@Disp fx of distal phalanx of unspecified thumb, sequela
S62.524A@Nondisp fx of distal phalanx of right thumb, init
S62.524B@Nondisp fx of distal phalanx of right thumb, init for opn fx
S62.524D@Nondisp fx of dist phalanx of r thm, 7thD
S62.524G@Nondisp fx of dist phalanx of r thm, 7thG
S62.524K@Nondisp fx of dist phalanx of r thm, subs for fx w nonunion
S62.524P@Nondisp fx of dist phalanx of r thm, subs for fx w malunion
S62.524S@Nondisp fx of distal phalanx of right thumb, sequela
S62.525A@Nondisp fx of distal phalanx of left thumb, init for clos fx
S62.525B@Nondisp fx of distal phalanx of left thumb, init for opn fx
S62.525D@Nondisp fx of dist phalanx of l thm, 7thD
S62.525G@Nondisp fx of dist phalanx of l thm, 7thG
S62.525K@Nondisp fx of dist phalanx of l thm, subs for fx w nonunion
S62.525P@Nondisp fx of dist phalanx of l thm, subs for fx w malunion
S62.525S@Nondisp fx of distal phalanx of left thumb, sequela
S62.526A@Nondisp fx of distal phalanx of unsp thumb, init for clos fx
S62.526B@Nondisp fx of distal phalanx of unsp thumb, init for opn fx
S62.526D@Nondisp fx of dist phalanx of thmb, subs for fx w routn heal
S62.526G@Nondisp fx of dist phalanx of thmb, subs for fx w delay heal
S62.526K@Nondisp fx of distal phalanx of thmb, subs for fx w nonunion
S62.526P@Nondisp fx of distal phalanx of thmb, subs for fx w malunion
S62.526S@Nondisp fx of distal phalanx of unspecified thumb, sequela
S62.600A@Fracture of unsp phalanx of right index finger, init
S62.600B@Fracture of unsp phalanx of r idx fngr, init for opn fx
S62.600D@Fx unsp phalanx of r idx fngr, subs for fx w routn heal
S62.600G@Fx unsp phalanx of r idx fngr, subs for fx w delay heal
S62.600K@Fx unsp phalanx of r idx fngr, subs for fx w nonunion
S62.600P@Fx unsp phalanx of r idx fngr, subs for fx w malunion
S62.600S@Fracture of unsp phalanx of right index finger, sequela
S62.601A@Fracture of unsp phalanx of left index finger, init
S62.601B@Fracture of unsp phalanx of l idx fngr, init for opn fx
S62.601D@Fx unsp phalanx of l idx fngr, subs for fx w routn heal
S62.601G@Fx unsp phalanx of l idx fngr, subs for fx w delay heal
S62.601K@Fx unsp phalanx of l idx fngr, subs for fx w nonunion
S62.601P@Fx unsp phalanx of l idx fngr, subs for fx w malunion
S62.601S@Fracture of unsp phalanx of left index finger, sequela
S62.602A@Fracture of unsp phalanx of right middle finger, init
S62.602B@Fracture of unsp phalanx of r mid finger, init for opn fx
S62.602D@Fx unsp phalanx of r mid finger, subs for fx w routn heal
S62.602G@Fx unsp phalanx of r mid finger, subs for fx w delay heal
S62.602K@Fx unsp phalanx of r mid finger, subs for fx w nonunion
S62.602P@Fx unsp phalanx of r mid finger, subs for fx w malunion
S62.602S@Fracture of unsp phalanx of right middle finger, sequela
S62.603A@Fracture of unsp phalanx of left middle finger, init
S62.603B@Fracture of unsp phalanx of l mid finger, init for opn fx
S62.603D@Fx unsp phalanx of l mid finger, subs for fx w routn heal
S62.603G@Fx unsp phalanx of l mid finger, subs for fx w delay heal
S62.603K@Fx unsp phalanx of l mid finger, subs for fx w nonunion
S62.603P@Fx unsp phalanx of l mid finger, subs for fx w malunion
S62.603S@Fracture of unsp phalanx of left middle finger, sequela
S62.604A@Fracture of unsp phalanx of right ring finger, init
S62.604B@Fracture of unsp phalanx of r rng fngr, init for opn fx
S62.604D@Fx unsp phalanx of r rng fngr, subs for fx w routn heal
S62.604G@Fx unsp phalanx of r rng fngr, subs for fx w delay heal
S62.604K@Fx unsp phalanx of r rng fngr, subs for fx w nonunion
S62.604P@Fx unsp phalanx of r rng fngr, subs for fx w malunion
S62.604S@Fracture of unsp phalanx of right ring finger, sequela
S62.605A@Fracture of unsp phalanx of left ring finger, init
S62.605B@Fracture of unsp phalanx of l rng fngr, init for opn fx
S62.605D@Fx unsp phalanx of l rng fngr, subs for fx w routn heal
S62.605G@Fx unsp phalanx of l rng fngr, subs for fx w delay heal
S62.605K@Fx unsp phalanx of l rng fngr, subs for fx w nonunion
S62.605P@Fx unsp phalanx of l rng fngr, subs for fx w malunion
S62.605S@Fracture of unspecified phalanx of left ring finger, sequela
S62.606A@Fracture of unsp phalanx of right little finger, init
S62.606B@Fracture of unsp phalanx of r little finger, init for opn fx
S62.606D@Fx unsp phalanx of r little finger, subs for fx w routn heal
S62.606G@Fx unsp phalanx of r little finger, subs for fx w delay heal
S62.606K@Fx unsp phalanx of r little finger, subs for fx w nonunion
S62.606P@Fx unsp phalanx of r little finger, subs for fx w malunion
S62.606S@Fracture of unsp phalanx of right little finger, sequela
S62.607A@Fracture of unsp phalanx of left little finger, init
S62.607B@Fracture of unsp phalanx of l little finger, init for opn fx
S62.607D@Fx unsp phalanx of l little finger, subs for fx w routn heal
S62.607G@Fx unsp phalanx of l little finger, subs for fx w delay heal
S62.607K@Fx unsp phalanx of l little finger, subs for fx w nonunion
S62.607P@Fx unsp phalanx of l little finger, subs for fx w malunion
S62.607S@Fracture of unsp phalanx of left little finger, sequela
S62.608A@Fracture of unsp phalanx of oth finger, init for clos fx
S62.608B@Fracture of unsp phalanx of oth finger, init for opn fx
S62.608D@Fracture of unsp phalanx of finger, subs for fx w routn heal
S62.608G@Fracture of unsp phalanx of finger, subs for fx w delay heal
S62.608K@Fracture of unsp phalanx of finger, subs for fx w nonunion
S62.608P@Fracture of unsp phalanx of finger, subs for fx w malunion
S62.608S@Fracture of unspecified phalanx of other finger, sequela
S62.609A@Fracture of unsp phalanx of unsp finger, init for clos fx
S62.609B@Fracture of unsp phalanx of unsp finger, init for opn fx
S62.609D@Fx unsp phalanx of unsp finger, subs for fx w routn heal
S62.609G@Fx unsp phalanx of unsp finger, subs for fx w delay heal
S62.609K@Fx unsp phalanx of unsp finger, subs for fx w nonunion
S62.609P@Fx unsp phalanx of unsp finger, subs for fx w malunion
S62.609S@Fracture of unsp phalanx of unspecified finger, sequela
S62.610A@Disp fx of proximal phalanx of right index finger, init
S62.610B@Disp fx of proximal phalanx of r idx fngr, init for opn fx
S62.610D@Disp fx of prox phalanx of r idx fngr, 7thD
S62.610G@Disp fx of prox phalanx of r idx fngr, 7thG
S62.610K@Disp fx of prox phalanx of r idx fngr, 7thK
S62.610P@Disp fx of prox phalanx of r idx fngr, 7thP
S62.610S@Disp fx of proximal phalanx of right index finger, sequela
S62.611A@Disp fx of proximal phalanx of left index finger, init
S62.611B@Disp fx of proximal phalanx of l idx fngr, init for opn fx
S62.611D@Disp fx of prox phalanx of l idx fngr, 7thD
S62.611G@Disp fx of prox phalanx of l idx fngr, 7thG
S62.611K@Disp fx of prox phalanx of l idx fngr, 7thK
S62.611P@Disp fx of prox phalanx of l idx fngr, 7thP
S62.611S@Disp fx of proximal phalanx of left index finger, sequela
S62.612A@Disp fx of proximal phalanx of right middle finger, init
S62.612B@Disp fx of proximal phalanx of r mid finger, init for opn fx
S62.612D@Disp fx of prox phalanx of r mid fngr, 7thD
S62.612G@Disp fx of prox phalanx of r mid fngr, 7thG
S62.612K@Disp fx of prox phalanx of r mid fngr, 7thK
S62.612P@Disp fx of prox phalanx of r mid fngr, 7thP
S62.612S@Disp fx of proximal phalanx of right middle finger, sequela
S62.613A@Disp fx of proximal phalanx of left middle finger, init
S62.613B@Disp fx of proximal phalanx of l mid finger, init for opn fx
S62.613D@Disp fx of prox phalanx of l mid fngr, 7thD
S62.613G@Disp fx of prox phalanx of l mid fngr, 7thG
S62.613K@Disp fx of prox phalanx of l mid fngr, 7thK
S62.613P@Disp fx of prox phalanx of l mid fngr, 7thP
S62.613S@Disp fx of proximal phalanx of left middle finger, sequela
S62.614A@Disp fx of proximal phalanx of right ring finger, init
S62.614B@Disp fx of proximal phalanx of r rng fngr, init for opn fx
S62.614D@Disp fx of prox phalanx of r rng fngr, 7thD
S62.614G@Disp fx of prox phalanx of r rng fngr, 7thG
S62.614K@Disp fx of prox phalanx of r rng fngr, 7thK
S62.614P@Disp fx of prox phalanx of r rng fngr, 7thP
S62.614S@Disp fx of proximal phalanx of right ring finger, sequela
S62.615A@Disp fx of proximal phalanx of left ring finger, init
S62.615B@Disp fx of proximal phalanx of l rng fngr, init for opn fx
S62.615D@Disp fx of prox phalanx of l rng fngr, 7thD
S62.615G@Disp fx of prox phalanx of l rng fngr, 7thG
S62.615K@Disp fx of prox phalanx of l rng fngr, 7thK
S62.615P@Disp fx of prox phalanx of l rng fngr, 7thP
S62.615S@Disp fx of proximal phalanx of left ring finger, sequela
S62.616A@Disp fx of proximal phalanx of right little finger, init
S62.616B@Disp fx of prox phalanx of r little finger, init for opn fx
S62.616D@Disp fx of prox phalanx of r lit fngr, 7thD
S62.616G@Disp fx of prox phalanx of r lit fngr, 7thG
S62.616K@Disp fx of prox phalanx of r lit fngr, 7thK
S62.616P@Disp fx of prox phalanx of r lit fngr, 7thP
S62.616S@Disp fx of proximal phalanx of right little finger, sequela
S62.617A@Disp fx of proximal phalanx of left little finger, init
S62.617B@Disp fx of prox phalanx of l little finger, init for opn fx
S62.617D@Disp fx of prox phalanx of l lit fngr, 7thD
S62.617G@Disp fx of prox phalanx of l lit fngr, 7thG
S62.617K@Disp fx of prox phalanx of l lit fngr, 7thK
S62.617P@Disp fx of prox phalanx of l lit fngr, 7thP
S62.617S@Disp fx of proximal phalanx of left little finger, sequela
S62.618A@Disp fx of proximal phalanx of oth finger, init for clos fx
S62.618B@Disp fx of proximal phalanx of oth finger, init for opn fx
S62.618D@Disp fx of prox phalanx of finger, subs for fx w routn heal
S62.618G@Disp fx of prox phalanx of finger, subs for fx w delay heal
S62.618K@Disp fx of prox phalanx of finger, subs for fx w nonunion
S62.618P@Disp fx of prox phalanx of finger, subs for fx w malunion
S62.618S@Disp fx of proximal phalanx of other finger, sequela
S62.619A@Disp fx of proximal phalanx of unsp finger, init for clos fx
S62.619B@Disp fx of proximal phalanx of unsp finger, init for opn fx
S62.619D@Disp fx of prox phalanx of unsp fngr, 7thD
S62.619G@Disp fx of prox phalanx of unsp fngr, 7thG
S62.619K@Disp fx of prox phalanx of unsp fngr, subs for fx w nonunion
S62.619P@Disp fx of prox phalanx of unsp fngr, subs for fx w malunion
S62.619S@Disp fx of proximal phalanx of unspecified finger, sequela
S62.620A@Disp fx of medial phalanx of right index finger, init
S62.620B@Disp fx of medial phalanx of r idx fngr, init for opn fx
S62.620D@Disp fx of med phalanx of r idx fngr, 7thD
S62.620G@Disp fx of med phalanx of r idx fngr, 7thG
S62.620K@Disp fx of med phalanx of r idx fngr, subs for fx w nonunion
S62.620P@Disp fx of med phalanx of r idx fngr, subs for fx w malunion
S62.620S@Disp fx of medial phalanx of right index finger, sequela
S62.621A@Disp fx of medial phalanx of left index finger, init
S62.621B@Disp fx of medial phalanx of l idx fngr, init for opn fx
S62.621D@Disp fx of med phalanx of l idx fngr, 7thD
S62.621G@Disp fx of med phalanx of l idx fngr, 7thG
S62.621K@Disp fx of med phalanx of l idx fngr, subs for fx w nonunion
S62.621P@Disp fx of med phalanx of l idx fngr, subs for fx w malunion
S62.621S@Disp fx of medial phalanx of left index finger, sequela
S62.622A@Disp fx of medial phalanx of right middle finger, init
S62.622B@Disp fx of medial phalanx of r mid finger, init for opn fx
S62.622D@Disp fx of med phalanx of r mid fngr, 7thD
S62.622G@Disp fx of med phalanx of r mid fngr, 7thG
S62.622K@Disp fx of med phalanx of r mid fngr, subs for fx w nonunion
S62.622P@Disp fx of med phalanx of r mid fngr, subs for fx w malunion
S62.622S@Disp fx of medial phalanx of right middle finger, sequela
S62.623A@Disp fx of medial phalanx of left middle finger, init
S62.623B@Disp fx of medial phalanx of l mid finger, init for opn fx
S62.623D@Disp fx of med phalanx of l mid fngr, 7thD
S62.623G@Disp fx of med phalanx of l mid fngr, 7thG
S62.623K@Disp fx of med phalanx of l mid fngr, subs for fx w nonunion
S62.623P@Disp fx of med phalanx of l mid fngr, subs for fx w malunion
S62.623S@Disp fx of medial phalanx of left middle finger, sequela
S62.624A@Disp fx of medial phalanx of right ring finger, init
S62.624B@Disp fx of medial phalanx of r rng fngr, init for opn fx
S62.624D@Disp fx of med phalanx of r rng fngr, 7thD
S62.624G@Disp fx of med phalanx of r rng fngr, 7thG
S62.624K@Disp fx of med phalanx of r rng fngr, subs for fx w nonunion
S62.624P@Disp fx of med phalanx of r rng fngr, subs for fx w malunion
S62.624S@Disp fx of medial phalanx of right ring finger, sequela
S62.625A@Disp fx of medial phalanx of left ring finger, init
S62.625B@Disp fx of medial phalanx of l rng fngr, init for opn fx
S62.625D@Disp fx of med phalanx of l rng fngr, 7thD
S62.625G@Disp fx of med phalanx of l rng fngr, 7thG
S62.625K@Disp fx of med phalanx of l rng fngr, subs for fx w nonunion
S62.625P@Disp fx of med phalanx of l rng fngr, subs for fx w malunion
S62.625S@Disp fx of medial phalanx of left ring finger, sequela
S62.626A@Disp fx of medial phalanx of right little finger, init
S62.626B@Disp fx of medial phalanx of r little fngr, init for opn fx
S62.626D@Disp fx of med phalanx of r lit fngr, 7thD
S62.626G@Disp fx of med phalanx of r lit fngr, 7thG
S62.626K@Disp fx of med phalanx of r lit fngr, subs for fx w nonunion
S62.626P@Disp fx of med phalanx of r lit fngr, subs for fx w malunion
S62.626S@Disp fx of medial phalanx of right little finger, sequela
S62.627A@Disp fx of medial phalanx of left little finger, init
S62.627B@Disp fx of medial phalanx of l little fngr, init for opn fx
S62.627D@Disp fx of med phalanx of l lit fngr, 7thD
S62.627G@Disp fx of med phalanx of l lit fngr, 7thG
S62.627K@Disp fx of med phalanx of l lit fngr, subs for fx w nonunion
S62.627P@Disp fx of med phalanx of l lit fngr, subs for fx w malunion
S62.627S@Disp fx of medial phalanx of left little finger, sequela
S62.628A@Disp fx of medial phalanx of oth finger, init for clos fx
S62.628B@Disp fx of medial phalanx of oth finger, init for opn fx
S62.628D@Disp fx of medial phalanx of fngr, subs for fx w routn heal
S62.628G@Disp fx of medial phalanx of fngr, subs for fx w delay heal
S62.628K@Disp fx of medial phalanx of finger, subs for fx w nonunion
S62.628P@Disp fx of medial phalanx of finger, subs for fx w malunion
S62.628S@Disp fx of medial phalanx of other finger, sequela
S62.629A@Disp fx of medial phalanx of unsp finger, init for clos fx
S62.629B@Disp fx of medial phalanx of unsp finger, init for opn fx
S62.629D@Disp fx of med phalanx of unsp fngr, 7thD
S62.629G@Disp fx of med phalanx of unsp fngr, 7thG
S62.629K@Disp fx of med phalanx of unsp fngr, subs for fx w nonunion
S62.629P@Disp fx of med phalanx of unsp fngr, subs for fx w malunion
S62.629S@Disp fx of medial phalanx of unspecified finger, sequela
S62.630A@Disp fx of distal phalanx of right index finger, init
S62.630B@Disp fx of distal phalanx of r idx fngr, init for opn fx
S62.630D@Disp fx of dist phalanx of r idx fngr, 7thD
S62.630G@Disp fx of dist phalanx of r idx fngr, 7thG
S62.630K@Disp fx of dist phalanx of r idx fngr, 7thK
S62.630P@Disp fx of dist phalanx of r idx fngr, 7thP
S62.630S@Disp fx of distal phalanx of right index finger, sequela
S62.631A@Disp fx of distal phalanx of left index finger, init
S62.631B@Disp fx of distal phalanx of l idx fngr, init for opn fx
S62.631D@Disp fx of dist phalanx of l idx fngr, 7thD
S62.631G@Disp fx of dist phalanx of l idx fngr, 7thG
S62.631K@Disp fx of dist phalanx of l idx fngr, 7thK
S62.631P@Disp fx of dist phalanx of l idx fngr, 7thP
S62.631S@Disp fx of distal phalanx of left index finger, sequela
S62.632A@Disp fx of distal phalanx of right middle finger, init
S62.632B@Disp fx of distal phalanx of r mid finger, init for opn fx
S62.632D@Disp fx of dist phalanx of r mid fngr, 7thD
S62.632G@Disp fx of dist phalanx of r mid fngr, 7thG
S62.632K@Disp fx of dist phalanx of r mid fngr, 7thK
S62.632P@Disp fx of dist phalanx of r mid fngr, 7thP
S62.632S@Disp fx of distal phalanx of right middle finger, sequela
S62.633A@Disp fx of distal phalanx of left middle finger, init
S62.633B@Disp fx of distal phalanx of l mid finger, init for opn fx
S62.633D@Disp fx of dist phalanx of l mid fngr, 7thD
S62.633G@Disp fx of dist phalanx of l mid fngr, 7thG
S62.633K@Disp fx of dist phalanx of l mid fngr, 7thK
S62.633P@Disp fx of dist phalanx of l mid fngr, 7thP
S62.633S@Disp fx of distal phalanx of left middle finger, sequela
S62.634A@Disp fx of distal phalanx of right ring finger, init
S62.634B@Disp fx of distal phalanx of r rng fngr, init for opn fx
S62.634D@Disp fx of dist phalanx of r rng fngr, 7thD
S62.634G@Disp fx of dist phalanx of r rng fngr, 7thG
S62.634K@Disp fx of dist phalanx of r rng fngr, 7thK
S62.634P@Disp fx of dist phalanx of r rng fngr, 7thP
S62.634S@Disp fx of distal phalanx of right ring finger, sequela
S62.635A@Disp fx of distal phalanx of left ring finger, init
S62.635B@Disp fx of distal phalanx of l rng fngr, init for opn fx
S62.635D@Disp fx of dist phalanx of l rng fngr, 7thD
S62.635G@Disp fx of dist phalanx of l rng fngr, 7thG
S62.635K@Disp fx of dist phalanx of l rng fngr, 7thK
S62.635P@Disp fx of dist phalanx of l rng fngr, 7thP
S62.635S@Disp fx of distal phalanx of left ring finger, sequela
S62.636A@Disp fx of distal phalanx of right little finger, init
S62.636B@Disp fx of dist phalanx of r little finger, init for opn fx
S62.636D@Disp fx of dist phalanx of r lit fngr, 7thD
S62.636G@Disp fx of dist phalanx of r lit fngr, 7thG
S62.636K@Disp fx of dist phalanx of r lit fngr, 7thK
S62.636P@Disp fx of dist phalanx of r lit fngr, 7thP
S62.636S@Disp fx of distal phalanx of right little finger, sequela
S62.637A@Disp fx of distal phalanx of left little finger, init
S62.637B@Disp fx of dist phalanx of l little finger, init for opn fx
S62.637D@Disp fx of dist phalanx of l lit fngr, 7thD
S62.637G@Disp fx of dist phalanx of l lit fngr, 7thG
S62.637K@Disp fx of dist phalanx of l lit fngr, 7thK
S62.637P@Disp fx of dist phalanx of l lit fngr, 7thP
S62.637S@Disp fx of distal phalanx of left little finger, sequela
S62.638A@Disp fx of distal phalanx of oth finger, init for clos fx
S62.638B@Disp fx of distal phalanx of oth finger, init for opn fx
S62.638D@Disp fx of dist phalanx of finger, subs for fx w routn heal
S62.638G@Disp fx of dist phalanx of finger, subs for fx w delay heal
S62.638K@Disp fx of distal phalanx of finger, subs for fx w nonunion
S62.638P@Disp fx of distal phalanx of finger, subs for fx w malunion
S62.638S@Disp fx of distal phalanx of other finger, sequela
S62.639A@Disp fx of distal phalanx of unsp finger, init for clos fx
S62.639B@Disp fx of distal phalanx of unsp finger, init for opn fx
S62.639D@Disp fx of dist phalanx of unsp fngr, 7thD
S62.639G@Disp fx of dist phalanx of unsp fngr, 7thG
S62.639K@Disp fx of dist phalanx of unsp fngr, subs for fx w nonunion
S62.639P@Disp fx of dist phalanx of unsp fngr, subs for fx w malunion
S62.639S@Disp fx of distal phalanx of unspecified finger, sequela
S62.640A@Nondisp fx of proximal phalanx of right index finger, init
S62.640B@Nondisp fx of prox phalanx of r idx fngr, init for opn fx
S62.640D@Nondisp fx of prox phalanx of r idx fngr, 7thD
S62.640G@Nondisp fx of prox phalanx of r idx fngr, 7thG
S62.640K@Nondisp fx of prox phalanx of r idx fngr, 7thK
S62.640P@Nondisp fx of prox phalanx of r idx fngr, 7thP
S62.640S@Nondisp fx of proximal phalanx of r idx fngr, sequela
S62.641A@Nondisp fx of proximal phalanx of left index finger, init
S62.641B@Nondisp fx of prox phalanx of l idx fngr, init for opn fx
S62.641D@Nondisp fx of prox phalanx of l idx fngr, 7thD
S62.641G@Nondisp fx of prox phalanx of l idx fngr, 7thG
S62.641K@Nondisp fx of prox phalanx of l idx fngr, 7thK
S62.641P@Nondisp fx of prox phalanx of l idx fngr, 7thP
S62.641S@Nondisp fx of proximal phalanx of left index finger, sequela
S62.642A@Nondisp fx of proximal phalanx of right middle finger, init
S62.642B@Nondisp fx of prox phalanx of r mid finger, init for opn fx
S62.642D@Nondisp fx of prox phalanx of r mid fngr, 7thD
S62.642G@Nondisp fx of prox phalanx of r mid fngr, 7thG
S62.642K@Nondisp fx of prox phalanx of r mid fngr, 7thK
S62.642P@Nondisp fx of prox phalanx of r mid fngr, 7thP
S62.642S@Nondisp fx of proximal phalanx of r mid finger, sequela
S62.643A@Nondisp fx of proximal phalanx of left middle finger, init
S62.643B@Nondisp fx of prox phalanx of l mid finger, init for opn fx
S62.643D@Nondisp fx of prox phalanx of l mid fngr, 7thD
S62.643G@Nondisp fx of prox phalanx of l mid fngr, 7thG
S62.643K@Nondisp fx of prox phalanx of l mid fngr, 7thK
S62.643P@Nondisp fx of prox phalanx of l mid fngr, 7thP
S62.643S@Nondisp fx of proximal phalanx of l mid finger, sequela
S62.644A@Nondisp fx of proximal phalanx of right ring finger, init
S62.644B@Nondisp fx of prox phalanx of r rng fngr, init for opn fx
S62.644D@Nondisp fx of prox phalanx of r rng fngr, 7thD
S62.644G@Nondisp fx of prox phalanx of r rng fngr, 7thG
S62.644K@Nondisp fx of prox phalanx of r rng fngr, 7thK
S62.644P@Nondisp fx of prox phalanx of r rng fngr, 7thP
S62.644S@Nondisp fx of proximal phalanx of right ring finger, sequela
S62.645A@Nondisp fx of proximal phalanx of left ring finger, init
S62.645B@Nondisp fx of prox phalanx of l rng fngr, init for opn fx
S62.645D@Nondisp fx of prox phalanx of l rng fngr, 7thD
S62.645G@Nondisp fx of prox phalanx of l rng fngr, 7thG
S62.645K@Nondisp fx of prox phalanx of l rng fngr, 7thK
S62.645P@Nondisp fx of prox phalanx of l rng fngr, 7thP
S62.645S@Nondisp fx of proximal phalanx of left ring finger, sequela
S62.646A@Nondisp fx of proximal phalanx of right little finger, init
S62.646B@Nondisp fx of prox phalanx of r little fngr, init for opn fx
S62.646D@Nondisp fx of prox phalanx of r lit fngr, 7thD
S62.646G@Nondisp fx of prox phalanx of r lit fngr, 7thG
S62.646K@Nondisp fx of prox phalanx of r lit fngr, 7thK
S62.646P@Nondisp fx of prox phalanx of r lit fngr, 7thP
S62.646S@Nondisp fx of proximal phalanx of r little finger, sequela
S62.647A@Nondisp fx of proximal phalanx of left little finger, init
S62.647B@Nondisp fx of prox phalanx of l little fngr, init for opn fx
S62.647D@Nondisp fx of prox phalanx of l lit fngr, 7thD
S62.647G@Nondisp fx of prox phalanx of l lit fngr, 7thG
S62.647K@Nondisp fx of prox phalanx of l lit fngr, 7thK
S62.647P@Nondisp fx of prox phalanx of l lit fngr, 7thP
S62.647S@Nondisp fx of proximal phalanx of l little finger, sequela
S62.648A@Nondisp fx of proximal phalanx of oth finger, init
S62.648B@Nondisp fx of proximal phalanx of finger, init for opn fx
S62.648D@Nondisp fx of prox phalanx of fngr, subs for fx w routn heal
S62.648G@Nondisp fx of prox phalanx of fngr, subs for fx w delay heal
S62.648K@Nondisp fx of prox phalanx of finger, subs for fx w nonunion
S62.648P@Nondisp fx of prox phalanx of finger, subs for fx w malunion
S62.648S@Nondisp fx of proximal phalanx of other finger, sequela
S62.649A@Nondisp fx of proximal phalanx of unsp finger, init
S62.649B@Nondisp fx of prox phalanx of unsp finger, init for opn fx
S62.649D@Nondisp fx of prox phalanx of unsp fngr, 7thD
S62.649G@Nondisp fx of prox phalanx of unsp fngr, 7thG
S62.649K@Nondisp fx of prox phalanx of unsp fngr, 7thK
S62.649P@Nondisp fx of prox phalanx of unsp fngr, 7thP
S62.649S@Nondisp fx of proximal phalanx of unsp finger, sequela
S62.650A@Nondisp fx of medial phalanx of right index finger, init
S62.650B@Nondisp fx of medial phalanx of r idx fngr, init for opn fx
S62.650D@Nondisp fx of med phalanx of r idx fngr, 7thD
S62.650G@Nondisp fx of med phalanx of r idx fngr, 7thG
S62.650K@Nondisp fx of med phalanx of r idx fngr, 7thK
S62.650P@Nondisp fx of med phalanx of r idx fngr, 7thP
S62.650S@Nondisp fx of medial phalanx of right index finger, sequela
S62.651A@Nondisp fx of medial phalanx of left index finger, init
S62.651B@Nondisp fx of medial phalanx of l idx fngr, init for opn fx
S62.651D@Nondisp fx of med phalanx of l idx fngr, 7thD
S62.651G@Nondisp fx of med phalanx of l idx fngr, 7thG
S62.651K@Nondisp fx of med phalanx of l idx fngr, 7thK
S62.651P@Nondisp fx of med phalanx of l idx fngr, 7thP
S62.651S@Nondisp fx of medial phalanx of left index finger, sequela
S62.652A@Nondisp fx of medial phalanx of right middle finger, init
S62.652B@Nondisp fx of medial phalanx of r mid fngr, init for opn fx
S62.652D@Nondisp fx of med phalanx of r mid fngr, 7thD
S62.652G@Nondisp fx of med phalanx of r mid fngr, 7thG
S62.652K@Nondisp fx of med phalanx of r mid fngr, 7thK
S62.652P@Nondisp fx of med phalanx of r mid fngr, 7thP
S62.652S@Nondisp fx of medial phalanx of right middle finger, sequela
S62.653A@Nondisp fx of medial phalanx of left middle finger, init
S62.653B@Nondisp fx of medial phalanx of l mid fngr, init for opn fx
S62.653D@Nondisp fx of med phalanx of l mid fngr, 7thD
S62.653G@Nondisp fx of med phalanx of l mid fngr, 7thG
S62.653K@Nondisp fx of med phalanx of l mid fngr, 7thK
S62.653P@Nondisp fx of med phalanx of l mid fngr, 7thP
S62.653S@Nondisp fx of medial phalanx of left middle finger, sequela
S62.654A@Nondisp fx of medial phalanx of right ring finger, init
S62.654B@Nondisp fx of medial phalanx of r rng fngr, init for opn fx
S62.654D@Nondisp fx of med phalanx of r rng fngr, 7thD
S62.654G@Nondisp fx of med phalanx of r rng fngr, 7thG
S62.654K@Nondisp fx of med phalanx of r rng fngr, 7thK
S62.654P@Nondisp fx of med phalanx of r rng fngr, 7thP
S62.654S@Nondisp fx of medial phalanx of right ring finger, sequela
S62.655A@Nondisp fx of medial phalanx of left ring finger, init
S62.655B@Nondisp fx of medial phalanx of l rng fngr, init for opn fx
S62.655D@Nondisp fx of med phalanx of l rng fngr, 7thD
S62.655G@Nondisp fx of med phalanx of l rng fngr, 7thG
S62.655K@Nondisp fx of med phalanx of l rng fngr, 7thK
S62.655P@Nondisp fx of med phalanx of l rng fngr, 7thP
S62.655S@Nondisp fx of medial phalanx of left ring finger, sequela
S62.656A@Nondisp fx of medial phalanx of right little finger, init
S62.656B@Nondisp fx of medial phalanx of r lit fngr, init for opn fx
S62.656D@Nondisp fx of med phalanx of r lit fngr, 7thD
S62.656G@Nondisp fx of med phalanx of r lit fngr, 7thG
S62.656K@Nondisp fx of med phalanx of r lit fngr, 7thK
S62.656P@Nondisp fx of med phalanx of r lit fngr, 7thP
S62.656S@Nondisp fx of medial phalanx of right little finger, sequela
S62.657A@Nondisp fx of medial phalanx of left little finger, init
S62.657B@Nondisp fx of medial phalanx of l lit fngr, init for opn fx
S62.657D@Nondisp fx of med phalanx of l lit fngr, 7thD
S62.657G@Nondisp fx of med phalanx of l lit fngr, 7thG
