S10.0XXA@Contusion of throat, initial encounter
S15.102A@Unspecified injury of left vertebral artery, init encntr
S15.102D@Unspecified injury of left vertebral artery, subs encntr
S15.102S@Unspecified injury of left vertebral artery, sequela
S15.109A@Unsp injury of unspecified vertebral artery, init encntr
S15.109D@Unsp injury of unspecified vertebral artery, subs encntr
S15.109S@Unspecified injury of unspecified vertebral artery, sequela
S15.111A@Minor laceration of right vertebral artery, init encntr
S15.111D@Minor laceration of right vertebral artery, subs encntr
S15.111S@Minor laceration of right vertebral artery, sequela
S15.112A@Minor laceration of left vertebral artery, initial encounter
S15.112D@Minor laceration of left vertebral artery, subs encntr
S15.112S@Minor laceration of left vertebral artery, sequela
S15.119A@Minor laceration of unsp vertebral artery, init encntr
S15.119D@Minor laceration of unsp vertebral artery, subs encntr
S15.119S@Minor laceration of unspecified vertebral artery, sequela
S15.121A@Major laceration of right vertebral artery, init encntr
S15.121D@Major laceration of right vertebral artery, subs encntr
S15.121S@Major laceration of right vertebral artery, sequela
S15.122A@Major laceration of left vertebral artery, initial encounter
S15.122D@Major laceration of left vertebral artery, subs encntr
S15.122S@Major laceration of left vertebral artery, sequela
S15.129A@Major laceration of unsp vertebral artery, init encntr
S15.129D@Major laceration of unsp vertebral artery, subs encntr
S15.129S@Major laceration of unspecified vertebral artery, sequela
S15.191A@Oth injury of right vertebral artery, init encntr
S15.191D@Oth injury of right vertebral artery, subs encntr
S15.191S@Other specified injury of right vertebral artery, sequela
S15.192A@Other specified injury of left vertebral artery, init encntr
S15.192D@Other specified injury of left vertebral artery, subs encntr
S15.192S@Other specified injury of left vertebral artery, sequela
S15.199A@Oth injury of unspecified vertebral artery, init encntr
S15.199D@Oth injury of unspecified vertebral artery, subs encntr
S15.199S@Oth injury of unspecified vertebral artery, sequela
S15.201A@Unsp injury of right external jugular vein, init encntr
S15.201D@Unsp injury of right external jugular vein, subs encntr
S15.201S@Unspecified injury of right external jugular vein, sequela
S15.202A@Unsp injury of left external jugular vein, init encntr
S15.202D@Unsp injury of left external jugular vein, subs encntr
S15.202S@Unspecified injury of left external jugular vein, sequela
S15.209A@Unsp injury of unsp external jugular vein, init encntr
S15.209D@Unsp injury of unsp external jugular vein, subs encntr
S15.209S@Unsp injury of unspecified external jugular vein, sequela
S15.211A@Minor laceration of right external jugular vein, init encntr
S15.211D@Minor laceration of right external jugular vein, subs encntr
S15.211S@Minor laceration of right external jugular vein, sequela
S15.212A@Minor laceration of left external jugular vein, init encntr
S15.212D@Minor laceration of left external jugular vein, subs encntr
S15.212S@Minor laceration of left external jugular vein, sequela
S15.219A@Minor laceration of unsp external jugular vein, init encntr
S15.219D@Minor laceration of unsp external jugular vein, subs encntr
S15.219S@Minor laceration of unsp external jugular vein, sequela
S15.221A@Major laceration of right external jugular vein, init encntr
S15.221D@Major laceration of right external jugular vein, subs encntr
S15.221S@Major laceration of right external jugular vein, sequela
S15.222A@Major laceration of left external jugular vein, init encntr
S15.222D@Major laceration of left external jugular vein, subs encntr
S15.222S@Major laceration of left external jugular vein, sequela
S15.229A@Major laceration of unsp external jugular vein, init encntr
S15.229D@Major laceration of unsp external jugular vein, subs encntr
S15.229S@Major laceration of unsp external jugular vein, sequela
S15.291A@Oth injury of right external jugular vein, init encntr
S15.291D@Oth injury of right external jugular vein, subs encntr
S15.291S@Oth injury of right external jugular vein, sequela
S15.292A@Oth injury of left external jugular vein, init encntr
S15.292D@Oth injury of left external jugular vein, subs encntr
S15.292S@Oth injury of left external jugular vein, sequela
S15.299A@Oth injury of unspecified external jugular vein, init encntr
S15.299D@Oth injury of unspecified external jugular vein, subs encntr
S15.299S@Oth injury of unspecified external jugular vein, sequela
S15.301A@Unsp injury of right internal jugular vein, init encntr
S15.301D@Unsp injury of right internal jugular vein, subs encntr
S15.301S@Unspecified injury of right internal jugular vein, sequela
S15.302A@Unsp injury of left internal jugular vein, init encntr
S15.302D@Unsp injury of left internal jugular vein, subs encntr
S15.302S@Unspecified injury of left internal jugular vein, sequela
S15.309A@Unsp injury of unsp internal jugular vein, init encntr
S15.309D@Unsp injury of unsp internal jugular vein, subs encntr
S15.309S@Unsp injury of unspecified internal jugular vein, sequela
S15.311A@Minor laceration of right internal jugular vein, init encntr
S15.311D@Minor laceration of right internal jugular vein, subs encntr
S15.311S@Minor laceration of right internal jugular vein, sequela
S15.312A@Minor laceration of left internal jugular vein, init encntr
S15.312D@Minor laceration of left internal jugular vein, subs encntr
S15.312S@Minor laceration of left internal jugular vein, sequela
S15.319A@Minor laceration of unsp internal jugular vein, init encntr
S15.319D@Minor laceration of unsp internal jugular vein, subs encntr
S15.319S@Minor laceration of unsp internal jugular vein, sequela
S15.321A@Major laceration of right internal jugular vein, init encntr
S15.321D@Major laceration of right internal jugular vein, subs encntr
S15.321S@Major laceration of right internal jugular vein, sequela
S15.322A@Major laceration of left internal jugular vein, init encntr
S15.322D@Major laceration of left internal jugular vein, subs encntr
S15.322S@Major laceration of left internal jugular vein, sequela
S15.329A@Major laceration of unsp internal jugular vein, init encntr
S15.329D@Major laceration of unsp internal jugular vein, subs encntr
S15.329S@Major laceration of unsp internal jugular vein, sequela
S15.391A@Oth injury of right internal jugular vein, init encntr
S15.391D@Oth injury of right internal jugular vein, subs encntr
S15.391S@Oth injury of right internal jugular vein, sequela
S15.392A@Oth injury of left internal jugular vein, init encntr
S15.392D@Oth injury of left internal jugular vein, subs encntr
S15.392S@Oth injury of left internal jugular vein, sequela
S15.399A@Oth injury of unspecified internal jugular vein, init encntr
S15.399D@Oth injury of unspecified internal jugular vein, subs encntr
S15.399S@Oth injury of unspecified internal jugular vein, sequela
S15.8XXA@Injury of oth blood vessels at neck level, init encntr
S15.8XXD@Injury of oth blood vessels at neck level, subs encntr
S15.8XXS@Injury of oth blood vessels at neck level, sequela
S15.9XXA@Injury of unsp blood vessel at neck level, init encntr
S15.9XXD@Injury of unsp blood vessel at neck level, subs encntr
S15.9XXS@Injury of unspecified blood vessel at neck level, sequela
S16.1XXA@Strain of muscle, fascia and tendon at neck level, init
S16.1XXD@Strain of muscle, fascia and tendon at neck level, subs
S16.1XXS@Strain of muscle, fascia and tendon at neck level, sequela
S16.2XXA@Laceration of muscle, fascia and tendon at neck level, init
S16.2XXD@Laceration of muscle, fascia and tendon at neck level, subs
S16.2XXS@Laceration of musc/fasc/tend at neck level, sequela
S16.8XXA@Inj muscle, fascia and tendon at neck level, init encntr
S16.8XXD@Inj muscle, fascia and tendon at neck level, subs encntr
S16.8XXS@Inj muscle, fascia and tendon at neck level, sequela
S16.9XXA@Unsp injury of muscle, fascia and tendon at neck level, init
S16.9XXD@Unsp injury of muscle, fascia and tendon at neck level, subs
S16.9XXS@Unsp injury of musc/fasc/tend at neck level, sequela
S17.0XXA@Crushing injury of larynx and trachea, initial encounter
S17.0XXD@Crushing injury of larynx and trachea, subsequent encounter
S17.0XXS@Crushing injury of larynx and trachea, sequela
S17.8XXA@Crushing injury of oth parts of neck, init encntr
S17.8XXD@Crushing injury of oth parts of neck, subs encntr
S17.8XXS@Crushing injury of other specified parts of neck, sequela
S17.9XXA@Crushing injury of neck, part unspecified, initial encounter
S17.9XXD@Crushing injury of neck, part unspecified, subs encntr
S17.9XXS@Crushing injury of neck, part unspecified, sequela
S19.80XA@Oth injuries of unspecified part of neck, init encntr
S19.80XD@Oth injuries of unspecified part of neck, subs encntr
S19.80XS@Oth injuries of unspecified part of neck, sequela
S19.81XA@Other specified injuries of larynx, initial encounter
S19.81XD@Other specified injuries of larynx, subsequent encounter
S19.81XS@Other specified injuries of larynx, sequela
S19.82XA@Other specified injuries of cervical trachea, init encntr
S19.82XD@Other specified injuries of cervical trachea, subs encntr
S19.82XS@Other specified injuries of cervical trachea, sequela
S19.83XA@Other specified injuries of vocal cord, initial encounter
S19.83XD@Other specified injuries of vocal cord, subsequent encounter
S19.83XS@Other specified injuries of vocal cord, sequela
S19.84XA@Other specified injuries of thyroid gland, initial encounter
S19.84XD@Other specified injuries of thyroid gland, subs encntr
S19.84XS@Other specified injuries of thyroid gland, sequela
S19.85XA@Oth injuries of pharynx and cervical esophagus, init encntr
S19.85XD@Oth injuries of pharynx and cervical esophagus, subs encntr
S19.85XS@Oth injuries of pharynx and cervical esophagus, sequela
S19.89XA@Oth injuries of other specified part of neck, init encntr
S19.89XD@Oth injuries of other specified part of neck, subs encntr
S19.89XS@Oth injuries of other specified part of neck, sequela
S19.9XXA@Unspecified injury of neck, initial encounter
S19.9XXD@Unspecified injury of neck, subsequent encounter
S19.9XXS@Unspecified injury of neck, sequela
