S40.011A@Contusion of right shoulder, initial encounter
S42.279P@Torus fx upper end of unsp humerus, subs for fx w malunion
S42.279S@Torus fracture of upper end of unspecified humerus, sequela
S42.291A@Oth disp fx of upper end of right humerus, init for clos fx
S42.291B@Oth disp fx of upper end of right humerus, init for opn fx
S42.291D@Oth disp fx of upper end r humer, subs for fx w routn heal
S42.291G@Oth disp fx of upper end r humer, subs for fx w delay heal
S42.291K@Oth disp fx of upper end of r humer, subs for fx w nonunion
S42.291P@Oth disp fx of upper end of r humer, subs for fx w malunion
S42.291S@Other disp fx of upper end of right humerus, sequela
S42.292A@Oth disp fx of upper end of left humerus, init for clos fx
S42.292B@Oth disp fx of upper end of left humerus, init for opn fx
S42.292D@Oth disp fx of upper end l humer, subs for fx w routn heal
S42.292G@Oth disp fx of upper end l humer, subs for fx w delay heal
S42.292K@Oth disp fx of upper end of l humer, subs for fx w nonunion
S42.292P@Oth disp fx of upper end of l humer, subs for fx w malunion
S42.292S@Other disp fx of upper end of left humerus, sequela
S42.293A@Oth disp fx of upper end of unsp humerus, init for clos fx
S42.293B@Oth disp fx of upper end of unsp humerus, init for opn fx
S42.293D@Oth disp fx of upr end unsp humer, subs for fx w routn heal
S42.293G@Oth disp fx of upr end unsp humer, subs for fx w delay heal
S42.293K@Oth disp fx of upper end unsp humer, subs for fx w nonunion
S42.293P@Oth disp fx of upper end unsp humer, subs for fx w malunion
S42.293S@Other disp fx of upper end of unspecified humerus, sequela
S42.294A@Oth nondisp fx of upper end of right humerus, init
S42.294B@Oth nondisp fx of upper end of r humerus, init for opn fx
S42.294D@Oth nondisp fx of upr end r humer, subs for fx w routn heal
S42.294G@Oth nondisp fx of upr end r humer, subs for fx w delay heal
S42.294K@Oth nondisp fx of upper end r humer, subs for fx w nonunion
S42.294P@Oth nondisp fx of upper end r humer, subs for fx w malunion
S42.294S@Other nondisp fx of upper end of right humerus, sequela
S42.295A@Oth nondisp fx of upper end of left humerus, init
S42.295B@Oth nondisp fx of upper end of left humerus, init for opn fx
S42.295D@Oth nondisp fx of upr end l humer, subs for fx w routn heal
S42.295G@Oth nondisp fx of upr end l humer, subs for fx w delay heal
S42.295K@Oth nondisp fx of upper end l humer, subs for fx w nonunion
S42.295P@Oth nondisp fx of upper end l humer, subs for fx w malunion
S42.295S@Other nondisp fx of upper end of left humerus, sequela
S42.296A@Oth nondisp fx of upper end of unsp humerus, init
S42.296B@Oth nondisp fx of upper end of unsp humerus, init for opn fx
S42.296D@Oth nondisp fx of upr end unsp humer, 7thD
S42.296G@Oth nondisp fx of upr end unsp humer, 7thG
S42.296K@Oth nondisp fx of upr end unsp humer, subs for fx w nonunion
S42.296P@Oth nondisp fx of upr end unsp humer, subs for fx w malunion
S42.296S@Other nondisp fx of upper end of unsp humerus, sequela
S42.301A@Unsp fracture of shaft of humerus, right arm, init
S42.301B@Unsp fx shaft of humerus, right arm, init for opn fx
S42.301D@Unsp fx shaft of humer, right arm, subs for fx w routn heal
S42.301G@Unsp fx shaft of humer, right arm, subs for fx w delay heal
S42.301K@Unsp fx shaft of humerus, right arm, subs for fx w nonunion
S42.301P@Unsp fx shaft of humerus, right arm, subs for fx w malunion
S42.301S@Unspecified fracture of shaft of humerus, right arm, sequela
S42.302A@Unsp fracture of shaft of humerus, left arm, init
S42.302B@Unsp fracture of shaft of humerus, left arm, init for opn fx
S42.302D@Unsp fx shaft of humerus, left arm, subs for fx w routn heal
S42.302G@Unsp fx shaft of humerus, left arm, subs for fx w delay heal
S42.302K@Unsp fx shaft of humerus, left arm, subs for fx w nonunion
S42.302P@Unsp fx shaft of humerus, left arm, subs for fx w malunion
S42.302S@Unspecified fracture of shaft of humerus, left arm, sequela
S42.309A@Unsp fracture of shaft of humerus, unsp arm, init
S42.309B@Unsp fracture of shaft of humerus, unsp arm, init for opn fx
S42.309D@Unsp fx shaft of humerus, unsp arm, subs for fx w routn heal
S42.309G@Unsp fx shaft of humerus, unsp arm, subs for fx w delay heal
S42.309K@Unsp fx shaft of humerus, unsp arm, subs for fx w nonunion
S42.309P@Unsp fx shaft of humerus, unsp arm, subs for fx w malunion
S42.309S@Unsp fracture of shaft of humerus, unspecified arm, sequela
S42.311A@Greenstick fracture of shaft of humerus, right arm, init
S42.311D@Greenstick fx shaft of humer, r arm, 7thD
S42.311G@Greenstick fx shaft of humer, r arm, 7thG
S42.311K@Greenstick fx shaft of humer, r arm, subs for fx w nonunion
S42.311P@Greenstick fx shaft of humer, r arm, subs for fx w malunion
S42.311S@Greenstick fracture of shaft of humerus, right arm, sequela
S42.312A@Greenstick fracture of shaft of humerus, left arm, init
S42.312D@Greenstick fx shaft of humer, l arm, 7thD
S42.312G@Greenstick fx shaft of humer, l arm, 7thG
S42.312K@Greenstick fx shaft of humer, l arm, subs for fx w nonunion
S42.312P@Greenstick fx shaft of humer, l arm, subs for fx w malunion
S42.312S@Greenstick fracture of shaft of humerus, left arm, sequela
S42.319A@Greenstick fracture of shaft of humerus, unsp arm, init
S42.319D@Greenstick fx shaft of humer, unsp arm, 7thD
S42.319G@Greenstick fx shaft of humer, unsp arm, 7thG
S42.319K@Greenstick fx shaft of humer, unsp arm, 7thK
S42.319P@Greenstick fx shaft of humer, unsp arm, 7thP
S42.319S@Greenstick fracture of shaft of humerus, unsp arm, sequela
S42.321A@Displaced transverse fx shaft of humerus, right arm, init
S42.321B@Displ transverse fx shaft of humer, r arm, init for opn fx
S42.321D@Displ transverse fx shaft of humer, r arm, 7thD
S42.321G@Displ transverse fx shaft of humer, r arm, 7thG
S42.321K@Displ transverse fx shaft of humer, r arm, 7thK
S42.321P@Displ transverse fx shaft of humer, r arm, 7thP
S42.321S@Displaced transverse fx shaft of humerus, right arm, sequela
S42.322A@Displaced transverse fx shaft of humerus, left arm, init
S42.322B@Displ transverse fx shaft of humer, l arm, init for opn fx
S42.322D@Displ transverse fx shaft of humer, l arm, 7thD
S42.322G@Displ transverse fx shaft of humer, l arm, 7thG
S42.322K@Displ transverse fx shaft of humer, l arm, 7thK
S42.322P@Displ transverse fx shaft of humer, l arm, 7thP
S42.322S@Displaced transverse fx shaft of humerus, left arm, sequela
S42.323A@Displaced transverse fx shaft of humerus, unsp arm, init
S42.323B@Displ transverse fx shaft of humer, unsp arm, 7thB
S42.323D@Displ transverse fx shaft of humer, unsp arm, 7thD
S42.323G@Displ transverse fx shaft of humer, unsp arm, 7thG
S42.323K@Displ transverse fx shaft of humer, unsp arm, 7thK
S42.323P@Displ transverse fx shaft of humer, unsp arm, 7thP
S42.323S@Displaced transverse fx shaft of humerus, unsp arm, sequela
S42.324A@Nondisp transverse fx shaft of humerus, right arm, init
S42.324B@Nondisp transverse fx shaft of humer, r arm, init for opn fx
S42.324D@Nondisp transverse fx shaft of humer, r arm, 7thD
S42.324G@Nondisp transverse fx shaft of humer, r arm, 7thG
S42.324K@Nondisp transverse fx shaft of humer, r arm, 7thK
S42.324P@Nondisp transverse fx shaft of humer, r arm, 7thP
S42.324S@Nondisp transverse fx shaft of humerus, right arm, sequela
S42.325A@Nondisp transverse fx shaft of humerus, left arm, init
S42.325B@Nondisp transverse fx shaft of humer, l arm, init for opn fx
S42.325D@Nondisp transverse fx shaft of humer, l arm, 7thD
S42.325G@Nondisp transverse fx shaft of humer, l arm, 7thG
S42.325K@Nondisp transverse fx shaft of humer, l arm, 7thK
S42.325P@Nondisp transverse fx shaft of humer, l arm, 7thP
S42.325S@Nondisp transverse fx shaft of humerus, left arm, sequela
S42.326A@Nondisp transverse fx shaft of humerus, unsp arm, init
S42.326B@Nondisp transverse fx shaft of humer, unsp arm, 7thB
S42.326D@Nondisp transverse fx shaft of humer, unsp arm, 7thD
S42.326G@Nondisp transverse fx shaft of humer, unsp arm, 7thG
S42.326K@Nondisp transverse fx shaft of humer, unsp arm, 7thK
S42.326P@Nondisp transverse fx shaft of humer, unsp arm, 7thP
S42.326S@Nondisp transverse fx shaft of humerus, unsp arm, sequela
S42.331A@Displaced oblique fx shaft of humerus, right arm, init
S42.331B@Displ oblique fx shaft of humer, right arm, init for opn fx
S42.331D@Displ oblique fx shaft of humer, r arm, 7thD
S42.331G@Displ oblique fx shaft of humer, r arm, 7thG
S42.331K@Displ oblique fx shaft of humer, r arm, 7thK
S42.331P@Displ oblique fx shaft of humer, r arm, 7thP
S42.331S@Displaced oblique fx shaft of humerus, right arm, sequela
S42.332A@Displaced oblique fx shaft of humerus, left arm, init
S42.332B@Displ oblique fx shaft of humerus, left arm, init for opn fx
S42.332D@Displ oblique fx shaft of humer, l arm, 7thD
S42.332G@Displ oblique fx shaft of humer, l arm, 7thG
S42.332K@Displ oblique fx shaft of humer, l arm, 7thK
S42.332P@Displ oblique fx shaft of humer, l arm, 7thP
S42.332S@Displaced oblique fx shaft of humerus, left arm, sequela
S42.333A@Displaced oblique fx shaft of humerus, unsp arm, init
S42.333B@Displ oblique fx shaft of humerus, unsp arm, init for opn fx
S42.333D@Displ oblique fx shaft of humer, unsp arm, 7thD
S42.333G@Displ oblique fx shaft of humer, unsp arm, 7thG
S42.333K@Displ oblique fx shaft of humer, unsp arm, 7thK
S42.333P@Displ oblique fx shaft of humer, unsp arm, 7thP
S42.333S@Displaced oblique fx shaft of humerus, unsp arm, sequela
S42.334A@Nondisp oblique fx shaft of humerus, right arm, init
S42.334B@Nondisp oblique fx shaft of humer, r arm, init for opn fx
S42.334D@Nondisp oblique fx shaft of humer, r arm, 7thD
S42.334G@Nondisp oblique fx shaft of humer, r arm, 7thG
S42.334K@Nondisp oblique fx shaft of humer, r arm, 7thK
S42.334P@Nondisp oblique fx shaft of humer, r arm, 7thP
S42.334S@Nondisp oblique fx shaft of humerus, right arm, sequela
S42.335A@Nondisp oblique fracture of shaft of humerus, left arm, init
S42.335B@Nondisp oblique fx shaft of humer, left arm, init for opn fx
S42.335D@Nondisp oblique fx shaft of humer, l arm, 7thD
S42.335G@Nondisp oblique fx shaft of humer, l arm, 7thG
S42.335K@Nondisp oblique fx shaft of humer, l arm, 7thK
S42.335P@Nondisp oblique fx shaft of humer, l arm, 7thP
S42.335S@Nondisp oblique fx shaft of humerus, left arm, sequela
S42.336A@Nondisp oblique fracture of shaft of humerus, unsp arm, init
S42.336B@Nondisp oblique fx shaft of humer, unsp arm, init for opn fx
S42.336D@Nondisp oblique fx shaft of humer, unsp arm, 7thD
S42.336G@Nondisp oblique fx shaft of humer, unsp arm, 7thG
S42.336K@Nondisp oblique fx shaft of humer, unsp arm, 7thK
S42.336P@Nondisp oblique fx shaft of humer, unsp arm, 7thP
S42.336S@Nondisp oblique fx shaft of humerus, unsp arm, sequela
S42.341A@Displaced spiral fx shaft of humerus, right arm, init
S42.341B@Displ spiral fx shaft of humerus, right arm, init for opn fx
S42.341D@Displ spiral fx shaft of humer, r arm, 7thD
S42.341G@Displ spiral fx shaft of humer, r arm, 7thG
S42.341K@Displ spiral fx shaft of humer, r arm, 7thK
S42.341P@Displ spiral fx shaft of humer, r arm, 7thP
S42.341S@Displaced spiral fx shaft of humerus, right arm, sequela
S42.342A@Displaced spiral fx shaft of humerus, left arm, init
S42.342B@Displ spiral fx shaft of humerus, left arm, init for opn fx
S42.342D@Displ spiral fx shaft of humer, l arm, 7thD
S42.342G@Displ spiral fx shaft of humer, l arm, 7thG
S42.342K@Displ spiral fx shaft of humer, l arm, 7thK
S42.342P@Displ spiral fx shaft of humer, l arm, 7thP
S42.342S@Displaced spiral fx shaft of humerus, left arm, sequela
S42.343A@Displaced spiral fx shaft of humerus, unsp arm, init
S42.343B@Displ spiral fx shaft of humerus, unsp arm, init for opn fx
S42.343D@Displ spiral fx shaft of humer, unsp arm, 7thD
S42.343G@Displ spiral fx shaft of humer, unsp arm, 7thG
S42.343K@Displ spiral fx shaft of humer, unsp arm, 7thK
S42.343P@Displ spiral fx shaft of humer, unsp arm, 7thP
S42.343S@Displaced spiral fx shaft of humerus, unsp arm, sequela
S42.344A@Nondisp spiral fracture of shaft of humerus, right arm, init
S42.344B@Nondisp spiral fx shaft of humer, right arm, init for opn fx
S42.344D@Nondisp spiral fx shaft of humer, r arm, 7thD
S42.344G@Nondisp spiral fx shaft of humer, r arm, 7thG
S42.344K@Nondisp spiral fx shaft of humer, r arm, 7thK
S42.344P@Nondisp spiral fx shaft of humer, r arm, 7thP
S42.344S@Nondisp spiral fx shaft of humerus, right arm, sequela
S42.345A@Nondisp spiral fracture of shaft of humerus, left arm, init
S42.345B@Nondisp spiral fx shaft of humer, left arm, init for opn fx
S42.345D@Nondisp spiral fx shaft of humer, l arm, 7thD
S42.345G@Nondisp spiral fx shaft of humer, l arm, 7thG
S42.345K@Nondisp spiral fx shaft of humer, l arm, 7thK
S42.345P@Nondisp spiral fx shaft of humer, l arm, 7thP
S42.345S@Nondisp spiral fx shaft of humerus, left arm, sequela
S42.346A@Nondisp spiral fracture of shaft of humerus, unsp arm, init
S42.346B@Nondisp spiral fx shaft of humer, unsp arm, init for opn fx
S42.346D@Nondisp spiral fx shaft of humer, unsp arm, 7thD
S42.346G@Nondisp spiral fx shaft of humer, unsp arm, 7thG
S42.346K@Nondisp spiral fx shaft of humer, unsp arm, 7thK
S42.346P@Nondisp spiral fx shaft of humer, unsp arm, 7thP
S42.346S@Nondisp spiral fx shaft of humerus, unsp arm, sequela
S42.351A@Displaced comminuted fx shaft of humerus, right arm, init
S42.351B@Displ commnt fx shaft of humerus, right arm, init for opn fx
S42.351D@Displ commnt fx shaft of humer, r arm, 7thD
S42.351G@Displ commnt fx shaft of humer, r arm, 7thG
S42.351K@Displ commnt fx shaft of humer, r arm, 7thK
S42.351P@Displ commnt fx shaft of humer, r arm, 7thP
S42.351S@Displaced comminuted fx shaft of humerus, right arm, sequela
S42.352A@Displaced comminuted fx shaft of humerus, left arm, init
S42.352B@Displ commnt fx shaft of humerus, left arm, init for opn fx
S42.352D@Displ commnt fx shaft of humer, l arm, 7thD
S42.352G@Displ commnt fx shaft of humer, l arm, 7thG
S42.352K@Displ commnt fx shaft of humer, l arm, 7thK
S42.352P@Displ commnt fx shaft of humer, l arm, 7thP
S42.352S@Displaced comminuted fx shaft of humerus, left arm, sequela
S42.353A@Displaced comminuted fx shaft of humerus, unsp arm, init
S42.353B@Displ commnt fx shaft of humerus, unsp arm, init for opn fx
S42.353D@Displ commnt fx shaft of humer, unsp arm, 7thD
S42.353G@Displ commnt fx shaft of humer, unsp arm, 7thG
S42.353K@Displ commnt fx shaft of humer, unsp arm, 7thK
S42.353P@Displ commnt fx shaft of humer, unsp arm, 7thP
S42.353S@Displaced comminuted fx shaft of humerus, unsp arm, sequela
S42.354A@Nondisp comminuted fx shaft of humerus, right arm, init
S42.354B@Nondisp commnt fx shaft of humer, right arm, init for opn fx
S42.354D@Nondisp commnt fx shaft of humer, r arm, 7thD
S42.354G@Nondisp commnt fx shaft of humer, r arm, 7thG
S42.354K@Nondisp commnt fx shaft of humer, r arm, 7thK
S42.354P@Nondisp commnt fx shaft of humer, r arm, 7thP
S42.354S@Nondisp comminuted fx shaft of humerus, right arm, sequela
S42.355A@Nondisp comminuted fx shaft of humerus, left arm, init
S42.355B@Nondisp commnt fx shaft of humer, left arm, init for opn fx
S42.355D@Nondisp commnt fx shaft of humer, l arm, 7thD
S42.355G@Nondisp commnt fx shaft of humer, l arm, 7thG
S42.355K@Nondisp commnt fx shaft of humer, l arm, 7thK
S42.355P@Nondisp commnt fx shaft of humer, l arm, 7thP
S42.355S@Nondisp comminuted fx shaft of humerus, left arm, sequela
S42.356A@Nondisp comminuted fx shaft of humerus, unsp arm, init
S42.356B@Nondisp commnt fx shaft of humer, unsp arm, init for opn fx
S42.356D@Nondisp commnt fx shaft of humer, unsp arm, 7thD
S42.356G@Nondisp commnt fx shaft of humer, unsp arm, 7thG
S42.356K@Nondisp commnt fx shaft of humer, unsp arm, 7thK
S42.356P@Nondisp commnt fx shaft of humer, unsp arm, 7thP
S42.356S@Nondisp comminuted fx shaft of humerus, unsp arm, sequela
S42.361A@Displaced segmental fx shaft of humerus, right arm, init
S42.361B@Displ seg fx shaft of humerus, right arm, init for opn fx
S42.361D@Displ seg fx shaft of humer, r arm, subs for fx w routn heal
S42.361G@Displ seg fx shaft of humer, r arm, subs for fx w delay heal
S42.361K@Displ seg fx shaft of humer, r arm, subs for fx w nonunion
S42.361P@Displ seg fx shaft of humer, r arm, subs for fx w malunion
S42.361S@Displaced segmental fx shaft of humerus, right arm, sequela
S42.362A@Displaced segmental fx shaft of humerus, left arm, init
S42.362B@Displ seg fx shaft of humerus, left arm, init for opn fx
S42.362D@Displ seg fx shaft of humer, l arm, subs for fx w routn heal
S42.362G@Displ seg fx shaft of humer, l arm, subs for fx w delay heal
S42.362K@Displ seg fx shaft of humer, l arm, subs for fx w nonunion
S42.362P@Displ seg fx shaft of humer, l arm, subs for fx w malunion
S42.362S@Displaced segmental fx shaft of humerus, left arm, sequela
S42.363A@Displaced segmental fx shaft of humerus, unsp arm, init
S42.363B@Displ seg fx shaft of humerus, unsp arm, init for opn fx
S42.363D@Displ seg fx shaft of humer, unsp arm, 7thD
S42.363G@Displ seg fx shaft of humer, unsp arm, 7thG
S42.363K@Displ seg fx shaft of humer, unsp arm, 7thK
S42.363P@Displ seg fx shaft of humer, unsp arm, 7thP
S42.363S@Displaced segmental fx shaft of humerus, unsp arm, sequela
S42.364A@Nondisp segmental fx shaft of humerus, right arm, init
S42.364B@Nondisp seg fx shaft of humerus, right arm, init for opn fx
S42.364D@Nondisp seg fx shaft of humer, r arm, 7thD
S42.364G@Nondisp seg fx shaft of humer, r arm, 7thG
S42.364K@Nondisp seg fx shaft of humer, r arm, subs for fx w nonunion
S42.364P@Nondisp seg fx shaft of humer, r arm, subs for fx w malunion
S42.364S@Nondisp segmental fx shaft of humerus, right arm, sequela
S42.365A@Nondisp segmental fx shaft of humerus, left arm, init
S42.365B@Nondisp seg fx shaft of humerus, left arm, init for opn fx
S42.365D@Nondisp seg fx shaft of humer, l arm, 7thD
S42.365G@Nondisp seg fx shaft of humer, l arm, 7thG
S42.365K@Nondisp seg fx shaft of humer, l arm, subs for fx w nonunion
S42.365P@Nondisp seg fx shaft of humer, l arm, subs for fx w malunion
S42.365S@Nondisp segmental fx shaft of humerus, left arm, sequela
S42.366A@Nondisp segmental fx shaft of humerus, unsp arm, init
S42.366B@Nondisp seg fx shaft of humerus, unsp arm, init for opn fx
S42.366D@Nondisp seg fx shaft of humer, unsp arm, 7thD
S42.366G@Nondisp seg fx shaft of humer, unsp arm, 7thG
S42.366K@Nondisp seg fx shaft of humer, unsp arm, 7thK
S42.366P@Nondisp seg fx shaft of humer, unsp arm, 7thP
S42.366S@Nondisp segmental fx shaft of humerus, unsp arm, sequela
S42.391A@Oth fracture of shaft of right humerus, init for clos fx
S42.391B@Oth fracture of shaft of right humerus, init for opn fx
S42.391D@Oth fracture of shaft of r humerus, subs for fx w routn heal
S42.391G@Oth fracture of shaft of r humerus, subs for fx w delay heal
S42.391K@Oth fracture of shaft of r humerus, subs for fx w nonunion
S42.391P@Oth fracture of shaft of r humerus, subs for fx w malunion
S42.391S@Other fracture of shaft of right humerus, sequela
S42.392A@Oth fracture of shaft of left humerus, init for clos fx
S42.392B@Oth fracture of shaft of left humerus, init for opn fx
S42.392D@Oth fracture of shaft of l humerus, subs for fx w routn heal
S42.392G@Oth fracture of shaft of l humerus, subs for fx w delay heal
S42.392K@Oth fracture of shaft of l humerus, subs for fx w nonunion
S42.392P@Oth fracture of shaft of l humerus, subs for fx w malunion
S42.392S@Other fracture of shaft of left humerus, sequela
S42.399A@Oth fracture of shaft of unsp humerus, init for clos fx
S42.399B@Oth fracture of shaft of unsp humerus, init for opn fx
S42.399D@Oth fx shaft of unsp humerus, subs for fx w routn heal
S42.399G@Oth fx shaft of unsp humerus, subs for fx w delay heal
S42.399K@Oth fx shaft of unsp humerus, subs for fx w nonunion
S42.399P@Oth fx shaft of unsp humerus, subs for fx w malunion
S42.399S@Other fracture of shaft of unspecified humerus, sequela
S42.401A@Unsp fracture of lower end of right humerus, init
S42.401B@Unsp fracture of lower end of right humerus, init for opn fx
S42.401D@Unsp fx lower end of r humerus, subs for fx w routn heal
S42.401G@Unsp fx lower end of r humerus, subs for fx w delay heal
S42.401K@Unsp fx lower end of r humerus, subs for fx w nonunion
S42.401P@Unsp fx lower end of r humerus, subs for fx w malunion
S42.401S@Unspecified fracture of lower end of right humerus, sequela
S42.402A@Unsp fracture of lower end of left humerus, init for clos fx
S42.402B@Unsp fracture of lower end of left humerus, init for opn fx
S42.402D@Unsp fx lower end of l humerus, subs for fx w routn heal
S42.402G@Unsp fx lower end of l humerus, subs for fx w delay heal
S42.402K@Unsp fx lower end of l humerus, subs for fx w nonunion
S42.402P@Unsp fx lower end of l humerus, subs for fx w malunion
S42.402S@Unspecified fracture of lower end of left humerus, sequela
S42.409A@Unsp fracture of lower end of unsp humerus, init for clos fx
S42.409B@Unsp fracture of lower end of unsp humerus, init for opn fx
S42.409D@Unsp fx lower end of unsp humerus, subs for fx w routn heal
S42.409G@Unsp fx lower end of unsp humerus, subs for fx w delay heal
S42.409K@Unsp fx lower end of unsp humerus, subs for fx w nonunion
S42.409P@Unsp fx lower end of unsp humerus, subs for fx w malunion
S42.409S@Unsp fracture of lower end of unspecified humerus, sequela
S42.411A@Displ simple suprcndl fx w/o intrcndl fx r humerus, init
S42.411B@Displ simp suprcndl fx w/o intrcndl fx r humer, 7thB
S42.411D@Displ simp suprcndl fx w/o intrcndl fx r humer, 7thD
S42.411G@Displ simp suprcndl fx w/o intrcndl fx r humer, 7thG
S42.411K@Displ simp suprcndl fx w/o intrcndl fx r humer, 7thK
S42.411P@Displ simp suprcndl fx w/o intrcndl fx r humer, 7thP
S42.411S@Displ simple suprcndl fx w/o intrcndl fx r humerus, sequela
S42.412A@Displ simple suprcndl fx w/o intrcndl fx l humerus, init
S42.412B@Displ simp suprcndl fx w/o intrcndl fx l humer, 7thB
S42.412D@Displ simp suprcndl fx w/o intrcndl fx l humer, 7thD
S42.412G@Displ simp suprcndl fx w/o intrcndl fx l humer, 7thG
S42.412K@Displ simp suprcndl fx w/o intrcndl fx l humer, 7thK
S42.412P@Displ simp suprcndl fx w/o intrcndl fx l humer, 7thP
S42.412S@Displ simple suprcndl fx w/o intrcndl fx l humerus, sequela
S42.413A@Displ simple suprcndl fx w/o intrcndl fx unsp humerus, init
S42.413B@Displ simp suprcndl fx w/o intrcndl fx unsp humer, 7thB
S42.413D@Displ simp suprcndl fx w/o intrcndl fx unsp humer, 7thD
S42.413G@Displ simp suprcndl fx w/o intrcndl fx unsp humer, 7thG
S42.413K@Displ simp suprcndl fx w/o intrcndl fx unsp humer, 7thK
S42.413P@Displ simp suprcndl fx w/o intrcndl fx unsp humer, 7thP
S42.413S@Displ simple suprcndl fx w/o intrcndl fx unsp humer, sequela
S42.414A@Nondisp simple suprcndl fx w/o intrcndl fx r humerus, init
S42.414B@Nondisp simp suprcndl fx w/o intrcndl fx r humer, 7thB
S42.414D@Nondisp simp suprcndl fx w/o intrcndl fx r humer, 7thD
S42.414G@Nondisp simp suprcndl fx w/o intrcndl fx r humer, 7thG
S42.414K@Nondisp simp suprcndl fx w/o intrcndl fx r humer, 7thK
S42.414P@Nondisp simp suprcndl fx w/o intrcndl fx r humer, 7thP
S42.414S@Nondisp simple suprcndl fx w/o intrcndl fx r humer, sequela
S42.415A@Nondisp simple suprcndl fx w/o intrcndl fx l humerus, init
S42.415B@Nondisp simp suprcndl fx w/o intrcndl fx l humer, 7thB
S42.415D@Nondisp simp suprcndl fx w/o intrcndl fx l humer, 7thD
S42.415G@Nondisp simp suprcndl fx w/o intrcndl fx l humer, 7thG
S42.415K@Nondisp simp suprcndl fx w/o intrcndl fx l humer, 7thK
S42.415P@Nondisp simp suprcndl fx w/o intrcndl fx l humer, 7thP
S42.415S@Nondisp simple suprcndl fx w/o intrcndl fx l humer, sequela
S42.416A@Nondisp simple suprcndl fx w/o intrcndl fx unsp humer, init
S42.416B@Nondisp simp suprcndl fx w/o intrcndl fx unsp humer, 7thB
S42.416D@Nondisp simp suprcndl fx w/o intrcndl fx unsp humer, 7thD
S42.416G@Nondisp simp suprcndl fx w/o intrcndl fx unsp humer, 7thG
S42.416K@Nondisp simp suprcndl fx w/o intrcndl fx unsp humer, 7thK
S42.416P@Nondisp simp suprcndl fx w/o intrcndl fx unsp humer, 7thP
S42.416S@Nondisp simple suprcndl fx w/o intrcndl fx unsp humer, sqla
S42.421A@Displ commnt suprcndl fx w/o intrcndl fx r humerus, init
S42.421B@Displ commnt suprcndl fx w/o intrcndl fx r humer, 7thB
S42.421D@Displ commnt suprcndl fx w/o intrcndl fx r humer, 7thD
S42.421G@Displ commnt suprcndl fx w/o intrcndl fx r humer, 7thG
S42.421K@Displ commnt suprcndl fx w/o intrcndl fx r humer, 7thK
S42.421P@Displ commnt suprcndl fx w/o intrcndl fx r humer, 7thP
S42.421S@Displ commnt suprcndl fx w/o intrcndl fx r humerus, sequela
S42.422A@Displ commnt suprcndl fx w/o intrcndl fx l humerus, init
S42.422B@Displ commnt suprcndl fx w/o intrcndl fx l humer, 7thB
S42.422D@Displ commnt suprcndl fx w/o intrcndl fx l humer, 7thD
S42.422G@Displ commnt suprcndl fx w/o intrcndl fx l humer, 7thG
S42.422K@Displ commnt suprcndl fx w/o intrcndl fx l humer, 7thK
S42.422P@Displ commnt suprcndl fx w/o intrcndl fx l humer, 7thP
S42.422S@Displ commnt suprcndl fx w/o intrcndl fx l humerus, sequela
S42.423A@Displ commnt suprcndl fx w/o intrcndl fx unsp humerus, init
S42.423B@Displ commnt suprcndl fx w/o intrcndl fx unsp humer, 7thB
S42.423D@Displ commnt suprcndl fx w/o intrcndl fx unsp humer, 7thD
S42.423G@Displ commnt suprcndl fx w/o intrcndl fx unsp humer, 7thG
S42.423K@Displ commnt suprcndl fx w/o intrcndl fx unsp humer, 7thK
S42.423P@Displ commnt suprcndl fx w/o intrcndl fx unsp humer, 7thP
S42.423S@Displ commnt suprcndl fx w/o intrcndl fx unsp humer, sequela
S42.424A@Nondisp commnt suprcndl fx w/o intrcndl fx r humerus, init
S42.424B@Nondisp commnt suprcndl fx w/o intrcndl fx r humer, 7thB
S42.424D@Nondisp commnt suprcndl fx w/o intrcndl fx r humer, 7thD
S42.424G@Nondisp commnt suprcndl fx w/o intrcndl fx r humer, 7thG
S42.424K@Nondisp commnt suprcndl fx w/o intrcndl fx r humer, 7thK
S42.424P@Nondisp commnt suprcndl fx w/o intrcndl fx r humer, 7thP
S42.424S@Nondisp commnt suprcndl fx w/o intrcndl fx r humer, sequela
S42.425A@Nondisp commnt suprcndl fx w/o intrcndl fx l humerus, init
S42.425B@Nondisp commnt suprcndl fx w/o intrcndl fx l humer, 7thB
S42.425D@Nondisp commnt suprcndl fx w/o intrcndl fx l humer, 7thD
S42.425G@Nondisp commnt suprcndl fx w/o intrcndl fx l humer, 7thG
S42.425K@Nondisp commnt suprcndl fx w/o intrcndl fx l humer, 7thK
S42.425P@Nondisp commnt suprcndl fx w/o intrcndl fx l humer, 7thP
S42.425S@Nondisp commnt suprcndl fx w/o intrcndl fx l humer, sequela
S42.426A@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, init
S42.426B@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, 7thB
S42.426D@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, 7thD
S42.426G@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, 7thG
S42.426K@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, 7thK
S42.426P@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, 7thP
S42.426S@Nondisp commnt suprcndl fx w/o intrcndl fx unsp humer, sqla
