S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S92.321D@Disp fx of 2nd metatarsal bone, r ft, 7thD
S92.321G@Disp fx of 2nd metatarsal bone, r ft, 7thG
S92.321K@Disp fx of 2nd metatarsal bone, r ft, subs for fx w nonunion
S92.321P@Disp fx of 2nd metatarsal bone, r ft, subs for fx w malunion
S92.321S@Disp fx of second metatarsal bone, right foot, sequela
S92.322A@Disp fx of second metatarsal bone, left foot, init
S92.322B@Disp fx of second metatarsal bone, l foot, init for opn fx
S92.322D@Disp fx of 2nd metatarsal bone, l ft, 7thD
S92.322G@Disp fx of 2nd metatarsal bone, l ft, 7thG
S92.322K@Disp fx of 2nd metatarsal bone, l ft, subs for fx w nonunion
S92.322P@Disp fx of 2nd metatarsal bone, l ft, subs for fx w malunion
S92.322S@Disp fx of second metatarsal bone, left foot, sequela
S92.323A@Disp fx of second metatarsal bone, unsp foot, init
S92.323B@Disp fx of 2nd metatarsal bone, unsp foot, init for opn fx
S92.323D@Disp fx of 2nd metatarsal bone, unsp ft, 7thD
S92.323G@Disp fx of 2nd metatarsal bone, unsp ft, 7thG
S92.323K@Disp fx of 2nd metatarsal bone, unsp ft, 7thK
S92.323P@Disp fx of 2nd metatarsal bone, unsp ft, 7thP
S92.323S@Disp fx of second metatarsal bone, unspecified foot, sequela
S92.324A@Nondisp fx of second metatarsal bone, right foot, init
S92.324B@Nondisp fx of 2nd metatarsal bone, r foot, init for opn fx
S92.324D@Nondisp fx of 2nd metatarsal bone, r ft, 7thD
S92.324G@Nondisp fx of 2nd metatarsal bone, r ft, 7thG
S92.324K@Nondisp fx of 2nd metatarsal bone, r ft, 7thK
S92.324P@Nondisp fx of 2nd metatarsal bone, r ft, 7thP
S92.324S@Nondisp fx of second metatarsal bone, right foot, sequela
S92.325A@Nondisp fx of second metatarsal bone, left foot, init
S92.325B@Nondisp fx of 2nd metatarsal bone, l foot, init for opn fx
S92.325D@Nondisp fx of 2nd metatarsal bone, l ft, 7thD
S92.325G@Nondisp fx of 2nd metatarsal bone, l ft, 7thG
S92.325K@Nondisp fx of 2nd metatarsal bone, l ft, 7thK
S92.325P@Nondisp fx of 2nd metatarsal bone, l ft, 7thP
S92.325S@Nondisp fx of second metatarsal bone, left foot, sequela
S92.326A@Nondisp fx of second metatarsal bone, unsp foot, init
S92.326B@Nondisp fx of 2nd metatarsal bone, unsp ft, init for opn fx
S92.326D@Nondisp fx of 2nd metatarsal bone, unsp ft, 7thD
S92.326G@Nondisp fx of 2nd metatarsal bone, unsp ft, 7thG
S92.326K@Nondisp fx of 2nd metatarsal bone, unsp ft, 7thK
S92.326P@Nondisp fx of 2nd metatarsal bone, unsp ft, 7thP
S92.326S@Nondisp fx of second metatarsal bone, unsp foot, sequela
S92.331A@Disp fx of third metatarsal bone, right foot, init
S92.331B@Disp fx of third metatarsal bone, r foot, init for opn fx
S92.331D@Disp fx of 3rd metatarsal bone, r ft, 7thD
S92.331G@Disp fx of 3rd metatarsal bone, r ft, 7thG
S92.331K@Disp fx of 3rd metatarsal bone, r ft, subs for fx w nonunion
S92.331P@Disp fx of 3rd metatarsal bone, r ft, subs for fx w malunion
S92.331S@Disp fx of third metatarsal bone, right foot, sequela
S92.332A@Disp fx of third metatarsal bone, left foot, init
S92.332B@Disp fx of third metatarsal bone, left foot, init for opn fx
S92.332D@Disp fx of 3rd metatarsal bone, l ft, 7thD
S92.332G@Disp fx of 3rd metatarsal bone, l ft, 7thG
S92.332K@Disp fx of 3rd metatarsal bone, l ft, subs for fx w nonunion
S92.332P@Disp fx of 3rd metatarsal bone, l ft, subs for fx w malunion
S92.332S@Disp fx of third metatarsal bone, left foot, sequela
S92.333A@Disp fx of third metatarsal bone, unsp foot, init
S92.333B@Disp fx of third metatarsal bone, unsp foot, init for opn fx
S92.333D@Disp fx of 3rd metatarsal bone, unsp ft, 7thD
S92.333G@Disp fx of 3rd metatarsal bone, unsp ft, 7thG
S92.333K@Disp fx of 3rd metatarsal bone, unsp ft, 7thK
S92.333P@Disp fx of 3rd metatarsal bone, unsp ft, 7thP
S92.333S@Disp fx of third metatarsal bone, unspecified foot, sequela
S92.334A@Nondisp fx of third metatarsal bone, right foot, init
S92.334B@Nondisp fx of third metatarsal bone, r foot, init for opn fx
S92.334D@Nondisp fx of 3rd metatarsal bone, r ft, 7thD
S92.334G@Nondisp fx of 3rd metatarsal bone, r ft, 7thG
S92.334K@Nondisp fx of 3rd metatarsal bone, r ft, 7thK
S92.334P@Nondisp fx of 3rd metatarsal bone, r ft, 7thP
S92.334S@Nondisp fx of third metatarsal bone, right foot, sequela
S92.335A@Nondisp fx of third metatarsal bone, left foot, init
S92.335B@Nondisp fx of third metatarsal bone, l foot, init for opn fx
S92.335D@Nondisp fx of 3rd metatarsal bone, l ft, 7thD
S92.335G@Nondisp fx of 3rd metatarsal bone, l ft, 7thG
S92.335K@Nondisp fx of 3rd metatarsal bone, l ft, 7thK
S92.335P@Nondisp fx of 3rd metatarsal bone, l ft, 7thP
S92.335S@Nondisp fx of third metatarsal bone, left foot, sequela
S92.336A@Nondisp fx of third metatarsal bone, unsp foot, init
S92.336B@Nondisp fx of 3rd metatarsal bone, unsp ft, init for opn fx
S92.336D@Nondisp fx of 3rd metatarsal bone, unsp ft, 7thD
S92.336G@Nondisp fx of 3rd metatarsal bone, unsp ft, 7thG
S92.336K@Nondisp fx of 3rd metatarsal bone, unsp ft, 7thK
S92.336P@Nondisp fx of 3rd metatarsal bone, unsp ft, 7thP
S92.336S@Nondisp fx of third metatarsal bone, unsp foot, sequela
S92.341A@Disp fx of fourth metatarsal bone, right foot, init
S92.341B@Disp fx of fourth metatarsal bone, r foot, init for opn fx
S92.341D@Disp fx of 4th metatarsal bone, r ft, 7thD
S92.341G@Disp fx of 4th metatarsal bone, r ft, 7thG
S92.341K@Disp fx of 4th metatarsal bone, r ft, subs for fx w nonunion
S92.341P@Disp fx of 4th metatarsal bone, r ft, subs for fx w malunion
S92.341S@Disp fx of fourth metatarsal bone, right foot, sequela
S92.342A@Disp fx of fourth metatarsal bone, left foot, init
S92.342B@Disp fx of fourth metatarsal bone, l foot, init for opn fx
S92.342D@Disp fx of 4th metatarsal bone, l ft, 7thD
S92.342G@Disp fx of 4th metatarsal bone, l ft, 7thG
S92.342K@Disp fx of 4th metatarsal bone, l ft, subs for fx w nonunion
S92.342P@Disp fx of 4th metatarsal bone, l ft, subs for fx w malunion
S92.342S@Disp fx of fourth metatarsal bone, left foot, sequela
S92.343A@Disp fx of fourth metatarsal bone, unsp foot, init
S92.343B@Disp fx of 4th metatarsal bone, unsp foot, init for opn fx
S92.343D@Disp fx of 4th metatarsal bone, unsp ft, 7thD
S92.343G@Disp fx of 4th metatarsal bone, unsp ft, 7thG
S92.343K@Disp fx of 4th metatarsal bone, unsp ft, 7thK
S92.343P@Disp fx of 4th metatarsal bone, unsp ft, 7thP
S92.343S@Disp fx of fourth metatarsal bone, unspecified foot, sequela
S92.344A@Nondisp fx of fourth metatarsal bone, right foot, init
S92.344B@Nondisp fx of 4th metatarsal bone, r foot, init for opn fx
S92.344D@Nondisp fx of 4th metatarsal bone, r ft, 7thD
S92.344G@Nondisp fx of 4th metatarsal bone, r ft, 7thG
S92.344K@Nondisp fx of 4th metatarsal bone, r ft, 7thK
S92.344P@Nondisp fx of 4th metatarsal bone, r ft, 7thP
S92.344S@Nondisp fx of fourth metatarsal bone, right foot, sequela
S92.345A@Nondisp fx of fourth metatarsal bone, left foot, init
S92.345B@Nondisp fx of 4th metatarsal bone, l foot, init for opn fx
S92.345D@Nondisp fx of 4th metatarsal bone, l ft, 7thD
S92.345G@Nondisp fx of 4th metatarsal bone, l ft, 7thG
S92.345K@Nondisp fx of 4th metatarsal bone, l ft, 7thK
S92.345P@Nondisp fx of 4th metatarsal bone, l ft, 7thP
S92.345S@Nondisp fx of fourth metatarsal bone, left foot, sequela
S92.346A@Nondisp fx of fourth metatarsal bone, unsp foot, init
S92.346B@Nondisp fx of 4th metatarsal bone, unsp ft, init for opn fx
S92.346D@Nondisp fx of 4th metatarsal bone, unsp ft, 7thD
S92.346G@Nondisp fx of 4th metatarsal bone, unsp ft, 7thG
S92.346K@Nondisp fx of 4th metatarsal bone, unsp ft, 7thK
S92.346P@Nondisp fx of 4th metatarsal bone, unsp ft, 7thP
S92.346S@Nondisp fx of fourth metatarsal bone, unsp foot, sequela
S92.351A@Disp fx of fifth metatarsal bone, right foot, init
S92.351B@Disp fx of fifth metatarsal bone, r foot, init for opn fx
S92.351D@Disp fx of 5th metatarsal bone, r ft, 7thD
S92.351G@Disp fx of 5th metatarsal bone, r ft, 7thG
S92.351K@Disp fx of 5th metatarsal bone, r ft, subs for fx w nonunion
S92.351P@Disp fx of 5th metatarsal bone, r ft, subs for fx w malunion
S92.351S@Disp fx of fifth metatarsal bone, right foot, sequela
S92.352A@Disp fx of fifth metatarsal bone, left foot, init
S92.352B@Disp fx of fifth metatarsal bone, left foot, init for opn fx
S92.352D@Disp fx of 5th metatarsal bone, l ft, 7thD
S92.352G@Disp fx of 5th metatarsal bone, l ft, 7thG
S92.352K@Disp fx of 5th metatarsal bone, l ft, subs for fx w nonunion
S92.352P@Disp fx of 5th metatarsal bone, l ft, subs for fx w malunion
S92.352S@Disp fx of fifth metatarsal bone, left foot, sequela
S92.353A@Disp fx of fifth metatarsal bone, unsp foot, init
S92.353B@Disp fx of fifth metatarsal bone, unsp foot, init for opn fx
S92.353D@Disp fx of 5th metatarsal bone, unsp ft, 7thD
S92.353G@Disp fx of 5th metatarsal bone, unsp ft, 7thG
S92.353K@Disp fx of 5th metatarsal bone, unsp ft, 7thK
S92.353P@Disp fx of 5th metatarsal bone, unsp ft, 7thP
S92.353S@Disp fx of fifth metatarsal bone, unspecified foot, sequela
S92.354A@Nondisp fx of fifth metatarsal bone, right foot, init
S92.354B@Nondisp fx of fifth metatarsal bone, r foot, init for opn fx
S92.354D@Nondisp fx of 5th metatarsal bone, r ft, 7thD
S92.354G@Nondisp fx of 5th metatarsal bone, r ft, 7thG
S92.354K@Nondisp fx of 5th metatarsal bone, r ft, 7thK
S92.354P@Nondisp fx of 5th metatarsal bone, r ft, 7thP
S92.354S@Nondisp fx of fifth metatarsal bone, right foot, sequela
S92.355A@Nondisp fx of fifth metatarsal bone, left foot, init
S92.355B@Nondisp fx of fifth metatarsal bone, l foot, init for opn fx
S92.355D@Nondisp fx of 5th metatarsal bone, l ft, 7thD
S92.355G@Nondisp fx of 5th metatarsal bone, l ft, 7thG
S92.355K@Nondisp fx of 5th metatarsal bone, l ft, 7thK
S92.355P@Nondisp fx of 5th metatarsal bone, l ft, 7thP
S92.355S@Nondisp fx of fifth metatarsal bone, left foot, sequela
S92.356A@Nondisp fx of fifth metatarsal bone, unsp foot, init
S92.356B@Nondisp fx of 5th metatarsal bone, unsp ft, init for opn fx
S92.356D@Nondisp fx of 5th metatarsal bone, unsp ft, 7thD
S92.356G@Nondisp fx of 5th metatarsal bone, unsp ft, 7thG
S92.356K@Nondisp fx of 5th metatarsal bone, unsp ft, 7thK
S92.356P@Nondisp fx of 5th metatarsal bone, unsp ft, 7thP
S92.356S@Nondisp fx of fifth metatarsal bone, unsp foot, sequela
S92.401A@Displaced unsp fracture of right great toe, init for clos fx
S92.401B@Displaced unsp fracture of right great toe, init for opn fx
S92.401D@Displaced unsp fx right great toe, subs for fx w routn heal
S92.401G@Displaced unsp fx right great toe, subs for fx w delay heal
S92.401K@Displaced unsp fx right great toe, subs for fx w nonunion
S92.401P@Displaced unsp fx right great toe, subs for fx w malunion
S92.401S@Displaced unspecified fracture of right great toe, sequela
S92.402A@Displaced unsp fracture of left great toe, init for clos fx
S92.402B@Displaced unsp fracture of left great toe, init for opn fx
S92.402D@Displaced unsp fx left great toe, subs for fx w routn heal
S92.402G@Displaced unsp fx left great toe, subs for fx w delay heal
S92.402K@Displaced unsp fx left great toe, subs for fx w nonunion
S92.402P@Displaced unsp fx left great toe, subs for fx w malunion
S92.402S@Displaced unspecified fracture of left great toe, sequela
S92.403A@Displaced unsp fracture of unsp great toe, init for clos fx
S92.403B@Displaced unsp fracture of unsp great toe, init for opn fx
S92.403D@Displaced unsp fx unsp great toe, subs for fx w routn heal
S92.403G@Displaced unsp fx unsp great toe, subs for fx w delay heal
S92.403K@Displaced unsp fx unsp great toe, subs for fx w nonunion
S92.403P@Displaced unsp fx unsp great toe, subs for fx w malunion
S92.403S@Displaced unsp fracture of unspecified great toe, sequela
S92.404A@Nondisplaced unsp fracture of right great toe, init
S92.404B@Nondisp unsp fracture of right great toe, init for opn fx
S92.404D@Nondisp unsp fx right great toe, subs for fx w routn heal
S92.404G@Nondisp unsp fx right great toe, subs for fx w delay heal
S92.404K@Nondisp unsp fx right great toe, subs for fx w nonunion
S92.404P@Nondisp unsp fx right great toe, subs for fx w malunion
S92.404S@Nondisplaced unsp fracture of right great toe, sequela
S92.405A@Nondisplaced unsp fracture of left great toe, init
S92.405B@Nondisp unsp fracture of left great toe, init for opn fx
S92.405D@Nondisp unsp fx left great toe, subs for fx w routn heal
S92.405G@Nondisp unsp fx left great toe, subs for fx w delay heal
S92.405K@Nondisp unsp fx left great toe, subs for fx w nonunion
S92.405P@Nondisp unsp fx left great toe, subs for fx w malunion
S92.405S@Nondisplaced unspecified fracture of left great toe, sequela
S92.406A@Nondisplaced unsp fracture of unsp great toe, init
S92.406B@Nondisp unsp fracture of unsp great toe, init for opn fx
S92.406D@Nondisp unsp fx unsp great toe, subs for fx w routn heal
S92.406G@Nondisp unsp fx unsp great toe, subs for fx w delay heal
S92.406K@Nondisp unsp fx unsp great toe, subs for fx w nonunion
S92.406P@Nondisp unsp fx unsp great toe, subs for fx w malunion
S92.406S@Nondisplaced unsp fracture of unspecified great toe, sequela
S92.411A@Disp fx of proximal phalanx of right great toe, init
S92.411B@Disp fx of prox phalanx of right great toe, init for opn fx
S92.411D@Disp fx of prox phalanx of r great toe, 7thD
S92.411G@Disp fx of prox phalanx of r great toe, 7thG
S92.411K@Disp fx of prox phalanx of r great toe, 7thK
S92.411P@Disp fx of prox phalanx of r great toe, 7thP
S92.411S@Disp fx of proximal phalanx of right great toe, sequela
S92.412A@Disp fx of proximal phalanx of left great toe, init
S92.412B@Disp fx of prox phalanx of left great toe, init for opn fx
S92.412D@Disp fx of prox phalanx of l great toe, 7thD
S92.412G@Disp fx of prox phalanx of l great toe, 7thG
S92.412K@Disp fx of prox phalanx of l great toe, 7thK
S92.412P@Disp fx of prox phalanx of l great toe, 7thP
S92.412S@Disp fx of proximal phalanx of left great toe, sequela
S92.413A@Disp fx of proximal phalanx of unsp great toe, init
S92.413B@Disp fx of prox phalanx of unsp great toe, init for opn fx
S92.413D@Disp fx of prox phalanx of unsp great toe, 7thD
S92.413G@Disp fx of prox phalanx of unsp great toe, 7thG
S92.413K@Disp fx of prox phalanx of unsp great toe, 7thK
S92.413P@Disp fx of prox phalanx of unsp great toe, 7thP
S92.413S@Disp fx of proximal phalanx of unsp great toe, sequela
S92.414A@Nondisp fx of proximal phalanx of right great toe, init
S92.414B@Nondisp fx of prox phalanx of r great toe, init for opn fx
S92.414D@Nondisp fx of prox phalanx of r great toe, 7thD
S92.414G@Nondisp fx of prox phalanx of r great toe, 7thG
S92.414K@Nondisp fx of prox phalanx of r great toe, 7thK
S92.414P@Nondisp fx of prox phalanx of r great toe, 7thP
S92.414S@Nondisp fx of proximal phalanx of right great toe, sequela
S92.415A@Nondisp fx of proximal phalanx of left great toe, init
S92.415B@Nondisp fx of prox phalanx of l great toe, init for opn fx
S92.415D@Nondisp fx of prox phalanx of l great toe, 7thD
S92.415G@Nondisp fx of prox phalanx of l great toe, 7thG
S92.415K@Nondisp fx of prox phalanx of l great toe, 7thK
S92.415P@Nondisp fx of prox phalanx of l great toe, 7thP
S92.415S@Nondisp fx of proximal phalanx of left great toe, sequela
S92.416A@Nondisp fx of proximal phalanx of unsp great toe, init
S92.416B@Nondisp fx of prox phalanx of unsp great toe, 7thB
S92.416D@Nondisp fx of prox phalanx of unsp great toe, 7thD
S92.416G@Nondisp fx of prox phalanx of unsp great toe, 7thG
S92.416K@Nondisp fx of prox phalanx of unsp great toe, 7thK
S92.416P@Nondisp fx of prox phalanx of unsp great toe, 7thP
S92.416S@Nondisp fx of proximal phalanx of unsp great toe, sequela
S92.421A@Disp fx of distal phalanx of right great toe, init
S92.421B@Disp fx of dist phalanx of right great toe, init for opn fx
S92.421D@Disp fx of dist phalanx of r great toe, 7thD
S92.421G@Disp fx of dist phalanx of r great toe, 7thG
S92.421K@Disp fx of dist phalanx of r great toe, 7thK
S92.421P@Disp fx of dist phalanx of r great toe, 7thP
S92.421S@Disp fx of distal phalanx of right great toe, sequela
S92.422A@Disp fx of distal phalanx of left great toe, init
S92.422B@Disp fx of distal phalanx of left great toe, init for opn fx
S92.422D@Disp fx of dist phalanx of l great toe, 7thD
S92.422G@Disp fx of dist phalanx of l great toe, 7thG
S92.422K@Disp fx of dist phalanx of l great toe, 7thK
S92.422P@Disp fx of dist phalanx of l great toe, 7thP
S92.422S@Disp fx of distal phalanx of left great toe, sequela
S92.423A@Disp fx of distal phalanx of unsp great toe, init
S92.423B@Disp fx of distal phalanx of unsp great toe, init for opn fx
S92.423D@Disp fx of dist phalanx of unsp great toe, 7thD
S92.423G@Disp fx of dist phalanx of unsp great toe, 7thG
S92.423K@Disp fx of dist phalanx of unsp great toe, 7thK
S92.423P@Disp fx of dist phalanx of unsp great toe, 7thP
S92.423S@Disp fx of distal phalanx of unspecified great toe, sequela
S92.424A@Nondisp fx of distal phalanx of right great toe, init
S92.424B@Nondisp fx of dist phalanx of r great toe, init for opn fx
S92.424D@Nondisp fx of dist phalanx of r great toe, 7thD
S92.424G@Nondisp fx of dist phalanx of r great toe, 7thG
S92.424K@Nondisp fx of dist phalanx of r great toe, 7thK
S92.424P@Nondisp fx of dist phalanx of r great toe, 7thP
S92.424S@Nondisp fx of distal phalanx of right great toe, sequela
S92.425A@Nondisp fx of distal phalanx of left great toe, init
S92.425B@Nondisp fx of dist phalanx of l great toe, init for opn fx
S92.425D@Nondisp fx of dist phalanx of l great toe, 7thD
S92.425G@Nondisp fx of dist phalanx of l great toe, 7thG
S92.425K@Nondisp fx of dist phalanx of l great toe, 7thK
S92.425P@Nondisp fx of dist phalanx of l great toe, 7thP
S92.425S@Nondisp fx of distal phalanx of left great toe, sequela
S92.426A@Nondisp fx of distal phalanx of unsp great toe, init
S92.426B@Nondisp fx of dist phalanx of unsp great toe, 7thB
S92.426D@Nondisp fx of dist phalanx of unsp great toe, 7thD
S92.426G@Nondisp fx of dist phalanx of unsp great toe, 7thG
S92.426K@Nondisp fx of dist phalanx of unsp great toe, 7thK
S92.426P@Nondisp fx of dist phalanx of unsp great toe, 7thP
S92.426S@Nondisp fx of distal phalanx of unsp great toe, sequela
S92.491A@Oth fracture of right great toe, init for clos fx
S92.491B@Oth fracture of right great toe, init for opn fx
S92.491D@Oth fracture of right great toe, subs for fx w routn heal
S92.491G@Oth fracture of right great toe, subs for fx w delay heal
S92.491K@Oth fracture of right great toe, subs for fx w nonunion
S92.491P@Oth fracture of right great toe, subs for fx w malunion
S92.491S@Other fracture of right great toe, sequela
S92.492A@Oth fracture of left great toe, init for clos fx
S92.492B@Oth fracture of left great toe, init for opn fx
S92.492D@Oth fracture of left great toe, subs for fx w routn heal
S92.492G@Oth fracture of left great toe, subs for fx w delay heal
S92.492K@Oth fracture of left great toe, subs for fx w nonunion
S92.492P@Oth fracture of left great toe, subs for fx w malunion
S92.492S@Other fracture of left great toe, sequela
S92.499A@Oth fracture of unsp great toe, init for clos fx
S92.499B@Oth fracture of unsp great toe, init for opn fx
S92.499D@Oth fracture of unsp great toe, subs for fx w routn heal
S92.499G@Oth fracture of unsp great toe, subs for fx w delay heal
S92.499K@Oth fracture of unsp great toe, subs for fx w nonunion
S92.499P@Oth fracture of unsp great toe, subs for fx w malunion
S92.499S@Other fracture of unspecified great toe, sequela
S92.501A@Displaced unsp fracture of right lesser toe(s), init
S92.501B@Displaced unsp fx right lesser toe(s), init for opn fx
S92.501D@Displ unsp fx right lesser toe(s), subs for fx w routn heal
S92.501G@Displ unsp fx right lesser toe(s), subs for fx w delay heal
S92.501K@Displ unsp fx right lesser toe(s), subs for fx w nonunion
S92.501P@Displ unsp fx right lesser toe(s), subs for fx w malunion
S92.501S@Displaced unsp fracture of right lesser toe(s), sequela
S92.502A@Displaced unsp fracture of left lesser toe(s), init
S92.502B@Displaced unsp fx left lesser toe(s), init for opn fx
S92.502D@Displ unsp fx left lesser toe(s), subs for fx w routn heal
S92.502G@Displ unsp fx left lesser toe(s), subs for fx w delay heal
S92.502K@Displaced unsp fx left lesser toe(s), subs for fx w nonunion
S92.502P@Displaced unsp fx left lesser toe(s), subs for fx w malunion
S92.502S@Displaced unsp fracture of left lesser toe(s), sequela
S92.503A@Displaced unsp fracture of unsp lesser toe(s), init
S92.503B@Displaced unsp fx unsp lesser toe(s), init for opn fx
S92.503D@Displ unsp fx unsp lesser toe(s), subs for fx w routn heal
S92.503G@Displ unsp fx unsp lesser toe(s), subs for fx w delay heal
S92.503K@Displaced unsp fx unsp lesser toe(s), subs for fx w nonunion
S92.503P@Displaced unsp fx unsp lesser toe(s), subs for fx w malunion
S92.503S@Displaced unsp fracture of unsp lesser toe(s), sequela
S92.504A@Nondisplaced unsp fracture of right lesser toe(s), init
S92.504B@Nondisp unsp fx right lesser toe(s), init for opn fx
S92.504D@Nondisp unsp fx right less toe(s), subs for fx w routn heal
S92.504G@Nondisp unsp fx right less toe(s), subs for fx w delay heal
S92.504K@Nondisp unsp fx right lesser toe(s), subs for fx w nonunion
S92.504P@Nondisp unsp fx right lesser toe(s), subs for fx w malunion
S92.504S@Nondisplaced unsp fracture of right lesser toe(s), sequela
S92.505A@Nondisplaced unsp fracture of left lesser toe(s), init
S92.505B@Nondisp unsp fracture of left lesser toe(s), init for opn fx
S92.505D@Nondisp unsp fx left lesser toe(s), subs for fx w routn heal
S92.505G@Nondisp unsp fx left lesser toe(s), subs for fx w delay heal
S92.505K@Nondisp unsp fx left lesser toe(s), subs for fx w nonunion
S92.505P@Nondisp unsp fx left lesser toe(s), subs for fx w malunion
S92.505S@Nondisplaced unsp fracture of left lesser toe(s), sequela
S92.506A@Nondisplaced unsp fracture of unsp lesser toe(s), init
S92.506B@Nondisp unsp fracture of unsp lesser toe(s), init for opn fx
S92.506D@Nondisp unsp fx unsp lesser toe(s), subs for fx w routn heal
S92.506G@Nondisp unsp fx unsp lesser toe(s), subs for fx w delay heal
S92.506K@Nondisp unsp fx unsp lesser toe(s), subs for fx w nonunion
S92.506P@Nondisp unsp fx unsp lesser toe(s), subs for fx w malunion
S92.506S@Nondisplaced unsp fracture of unsp lesser toe(s), sequela
S92.511A@Disp fx of proximal phalanx of right lesser toe(s), init
S92.511B@Disp fx of prox phalanx of r less toe(s), init for opn fx
S92.511D@Disp fx of prox phalanx of r less toe(s), 7thD
S92.511G@Disp fx of prox phalanx of r less toe(s), 7thG
S92.511K@Disp fx of prox phalanx of r less toe(s), 7thK
S92.511P@Disp fx of prox phalanx of r less toe(s), 7thP
S92.511S@Disp fx of proximal phalanx of right lesser toe(s), sequela
S92.512A@Disp fx of proximal phalanx of left lesser toe(s), init
S92.512B@Disp fx of prox phalanx of left less toe(s), init for opn fx
S92.512D@Disp fx of prox phalanx of l less toe(s), 7thD
S92.512G@Disp fx of prox phalanx of l less toe(s), 7thG
S92.512K@Disp fx of prox phalanx of l less toe(s), 7thK
S92.512P@Disp fx of prox phalanx of l less toe(s), 7thP
S92.512S@Disp fx of proximal phalanx of left lesser toe(s), sequela
S92.513A@Disp fx of proximal phalanx of unsp lesser toe(s), init
S92.513B@Disp fx of prox phalanx of unsp less toe(s), init for opn fx
S92.513D@Disp fx of prox phalanx of unsp less toe(s), 7thD
S92.513G@Disp fx of prox phalanx of unsp less toe(s), 7thG
S92.513K@Disp fx of prox phalanx of unsp less toe(s), 7thK
S92.513P@Disp fx of prox phalanx of unsp less toe(s), 7thP
S92.513S@Disp fx of proximal phalanx of unsp lesser toe(s), sequela
S92.514A@Nondisp fx of proximal phalanx of right lesser toe(s), init
S92.514B@Nondisp fx of prox phalanx of r less toe(s), init for opn fx
S92.514D@Nondisp fx of prox phalanx of r less toe(s), 7thD
S92.514G@Nondisp fx of prox phalanx of r less toe(s), 7thG
S92.514K@Nondisp fx of prox phalanx of r less toe(s), 7thK
S92.514P@Nondisp fx of prox phalanx of r less toe(s), 7thP
S92.514S@Nondisp fx of prox phalanx of right lesser toe(s), sequela
S92.515A@Nondisp fx of proximal phalanx of left lesser toe(s), init
S92.515B@Nondisp fx of prox phalanx of l less toe(s), init for opn fx
S92.515D@Nondisp fx of prox phalanx of l less toe(s), 7thD
