S00.00XA@Unspecified superficial injury of scalp, initial encounter
S06.0X8A@Concussion w LOC w death due to oth cause bf consc, init
S06.0X8D@Concussion w LOC w death due to oth cause bf consc, subs
S06.0X8S@Concussion w LOC w death due to oth cause bf consc, sequela
S06.0X9A@Concussion w loss of consciousness of unsp duration, init
S06.0X9D@Concussion w loss of consciousness of unsp duration, subs
S06.0X9S@Concussion w loss of consciousness of unsp duration, sequela
S06.1X0A@Traumatic cerebral edema w/o loss of consciousness, init
S06.1X0D@Traumatic cerebral edema w/o loss of consciousness, subs
S06.1X0S@Traumatic cerebral edema w/o loss of consciousness, sequela
S06.1X1A@Traumatic cerebral edema w LOC of 30 minutes or less, init
S06.1X1D@Traumatic cerebral edema w LOC of 30 minutes or less, subs
S06.1X1S@Traum cerebral edema w LOC of 30 minutes or less, sequela
S06.1X2A@Traumatic cerebral edema w LOC of 31-59 min, init
S06.1X2D@Traumatic cerebral edema w LOC of 31-59 min, subs
S06.1X2S@Traumatic cerebral edema w LOC of 31-59 min, sequela
S06.1X3A@Traumatic cerebral edema w LOC of 1-5 hrs 59 min, init
S06.1X3D@Traumatic cerebral edema w LOC of 1-5 hrs 59 min, subs
S06.1X3S@Traumatic cerebral edema w LOC of 1-5 hrs 59 min, sequela
S06.1X4A@Traumatic cerebral edema w LOC of 6 hours to 24 hours, init
S06.1X4D@Traumatic cerebral edema w LOC of 6 hours to 24 hours, subs
S06.1X4S@Traumatic cerebral edema w LOC of 6-24 hrs, sequela
S06.1X5A@Traumatic cerebral edema w LOC >24 hr w ret consc lev, init
S06.1X5D@Traumatic cerebral edema w LOC >24 hr w ret consc lev, subs
S06.1X5S@Traum cerebral edema w LOC >24 hr w ret consc lev, sequela
S06.1X6A@Traum cerebral edema w LOC >24 hr w/o ret consc w surv, init
S06.1X6D@Traum cerebral edema w LOC >24 hr w/o ret consc w surv, subs
S06.1X6S@Traum cereb edema w LOC >24 hr w/o ret consc w surv, sequela
S06.1X7A@Traum cereb edema w LOC w death d/t brain inj bf consc, init
S06.1X7D@Traum cereb edema w LOC w death d/t brain inj bf consc, subs
S06.1X7S@Traum cereb edema w LOC w death d/t brain inj bf consc, sqla
S06.1X8A@Traum cereb edema w LOC w death d/t oth cause bf consc, init
S06.1X8D@Traum cereb edema w LOC w death d/t oth cause bf consc, subs
S06.1X8S@Traum cereb edema w LOC w death d/t oth cause bf consc, sqla
S06.1X9A@Traumatic cerebral edema w LOC of unsp duration, init
S06.1X9D@Traumatic cerebral edema w LOC of unsp duration, subs
S06.1X9S@Traumatic cerebral edema w LOC of unsp duration, sequela
S06.2X0A@Diffuse TBI w/o loss of consciousness, init
S06.2X0D@Diffuse TBI w/o loss of consciousness, subs
S06.2X0S@Diffuse TBI w/o loss of consciousness, sequela
S06.2X1A@Diffuse TBI w LOC of 30 minutes or less, init
S06.2X1D@Diffuse TBI w LOC of 30 minutes or less, subs
S06.2X1S@Diffuse TBI w LOC of 30 minutes or less, sequela
S06.2X2A@Diffuse TBI w loss of consciousness of 31-59 min, init
S06.2X2D@Diffuse TBI w loss of consciousness of 31-59 min, subs
S06.2X2S@Diffuse TBI w loss of consciousness of 31-59 min, sequela
S06.2X3A@Diffuse TBI w loss of consciousness of 1-5 hrs 59 min, init
S06.2X3D@Diffuse TBI w loss of consciousness of 1-5 hrs 59 min, subs
S06.2X3S@Diffuse TBI w LOC of 1-5 hrs 59 min, sequela
S06.2X4A@Diffuse TBI w LOC of 6 hours to 24 hours, init
S06.2X4D@Diffuse TBI w LOC of 6 hours to 24 hours, subs
S06.2X4S@Diffuse TBI w LOC of 6 hours to 24 hours, sequela
S06.2X5A@Diffuse TBI w LOC >24 hr w return to conscious levels, init
S06.2X5D@Diffuse TBI w LOC >24 hr w return to conscious levels, subs
S06.2X5S@Diffuse TBI w LOC >24 hr w return to consc levels, sequela
S06.2X6A@Diffuse TBI w LOC >24 hr w/o ret consc w surv, init
S06.2X6D@Diffuse TBI w LOC >24 hr w/o ret consc w surv, subs
S06.2X6S@Diffuse TBI w LOC >24 hr w/o ret consc w surv, sequela
S06.2X7A@Diffuse TBI w LOC w death due to brain injury bf consc, init
S06.2X7D@Diffuse TBI w LOC w death due to brain injury bf consc, subs
S06.2X7S@Diffus TBI w LOC w death due to brain injury bf consc, sqla
S06.2X8A@Diffuse TBI w LOC w death due to oth cause bf consc, init
S06.2X8D@Diffuse TBI w LOC w death due to oth cause bf consc, subs
S06.2X8S@Diffuse TBI w LOC w death due to oth cause bf consc, sequela
S06.2X9A@Diffuse TBI w loss of consciousness of unsp duration, init
S06.2X9D@Diffuse TBI w loss of consciousness of unsp duration, subs
S06.2X9S@Diffuse TBI w LOC of unsp duration, sequela
S06.300A@Unsp focal TBI w/o loss of consciousness, init
S06.300D@Unsp focal TBI w/o loss of consciousness, subs
S06.300S@Unsp focal TBI w/o loss of consciousness, sequela
S06.301A@Unsp focal TBI w LOC of 30 minutes or less, init
S06.301D@Unsp focal TBI w LOC of 30 minutes or less, subs
S06.301S@Unsp focal TBI w LOC of 30 minutes or less, sequela
S06.302A@Unsp focal TBI w loss of consciousness of 31-59 min, init
S06.302D@Unsp focal TBI w loss of consciousness of 31-59 min, subs
S06.302S@Unsp focal TBI w loss of consciousness of 31-59 min, sequela
S06.303A@Unsp focal TBI w LOC of 1-5 hrs 59 min, init
S06.303D@Unsp focal TBI w LOC of 1-5 hrs 59 min, subs
S06.303S@Unsp focal TBI w LOC of 1-5 hrs 59 min, sequela
S06.304A@Unsp focal TBI w LOC of 6 hours to 24 hours, init
S06.304D@Unsp focal TBI w LOC of 6 hours to 24 hours, subs
S06.304S@Unsp focal TBI w LOC of 6 hours to 24 hours, sequela
S06.305A@Unsp focal TBI w LOC >24 hr w ret consc lev, init
S06.305D@Unsp focal TBI w LOC >24 hr w ret consc lev, subs
S06.305S@Unsp focal TBI w LOC >24 hr w ret consc lev, sequela
S06.306A@Unsp focal TBI w LOC >24 hr w/o ret consc w surv, init
S06.306D@Unsp focal TBI w LOC >24 hr w/o ret consc w surv, subs
S06.306S@Unsp focal TBI w LOC >24 hr w/o ret consc w surv, sequela
S06.307A@Unsp focal TBI w LOC w death d/t brain injury bf consc, init
S06.307D@Unsp focal TBI w LOC w death d/t brain injury bf consc, subs
S06.307S@Unsp focal TBI w LOC w death d/t brain injury bf consc, sqla
S06.308A@Unsp focal TBI w LOC w death due to oth cause bf consc, init
S06.308D@Unsp focal TBI w LOC w death due to oth cause bf consc, subs
S06.308S@Unsp focal TBI w LOC w death due to oth cause bf consc, sqla
S06.309A@Unsp focal TBI w LOC of unsp duration, init
S06.309D@Unsp focal TBI w LOC of unsp duration, subs
S06.309S@Unsp focal TBI w LOC of unsp duration, sequela
S06.310A@Contus/lac right cerebrum w/o loss of consciousness, init
S06.310D@Contus/lac right cerebrum w/o loss of consciousness, subs
S06.310S@Contus/lac right cerebrum w/o loss of consciousness, sequela
S06.311A@Contus/lac right cerebrum w LOC of 30 minutes or less, init
S06.311D@Contus/lac right cerebrum w LOC of 30 minutes or less, subs
S06.311S@Contus/lac r cereb w LOC of 30 minutes or less, sequela
S06.312A@Contus/lac right cerebrum w LOC of 31-59 min, init
S06.312D@Contus/lac right cerebrum w LOC of 31-59 min, subs
S06.312S@Contus/lac right cerebrum w LOC of 31-59 min, sequela
S06.313A@Contus/lac right cerebrum w LOC of 1-5 hrs 59 min, init
S06.313D@Contus/lac right cerebrum w LOC of 1-5 hrs 59 min, subs
S06.313S@Contus/lac right cerebrum w LOC of 1-5 hrs 59 min, sequela
S06.314A@Contus/lac right cerebrum w LOC of 6 hours to 24 hours, init
S06.314D@Contus/lac right cerebrum w LOC of 6 hours to 24 hours, subs
S06.314S@Contus/lac right cerebrum w LOC of 6-24 hrs, sequela
S06.315A@Contus/lac right cerebrum w LOC >24 hr w ret consc lev, init
S06.315D@Contus/lac right cerebrum w LOC >24 hr w ret consc lev, subs
S06.315S@Contus/lac r cereb w LOC >24 hr w ret consc lev, sequela
S06.316A@Contus/lac r cereb w LOC >24 hr w/o ret consc w surv, init
S06.316D@Contus/lac r cereb w LOC >24 hr w/o ret consc w surv, subs
S06.316S@Contus/lac r cereb w LOC >24 hr w/o ret consc w surv, sqla
S06.317A@Contus/lac r cereb w LOC w dth d/t brain inj bf consc, init
S06.317D@Contus/lac r cereb w LOC w dth d/t brain inj bf consc, subs
S06.317S@Contus/lac r cereb w LOC w dth d/t brain inj bf consc, sqla
S06.318A@Contus/lac r cereb w LOC w dth d/t oth cause bf consc, init
S06.318D@Contus/lac r cereb w LOC w dth d/t oth cause bf consc, subs
S06.318S@Contus/lac r cereb w LOC w dth d/t oth cause bf consc, sqla
S06.319A@Contus/lac right cerebrum w LOC of unsp duration, init
S06.319D@Contus/lac right cerebrum w LOC of unsp duration, subs
S06.319S@Contus/lac right cerebrum w LOC of unsp duration, sequela
S06.320A@Contus/lac left cerebrum w/o loss of consciousness, init
S06.320D@Contus/lac left cerebrum w/o loss of consciousness, subs
S06.320S@Contus/lac left cerebrum w/o loss of consciousness, sequela
S06.321A@Contus/lac left cerebrum w LOC of 30 minutes or less, init
S06.321D@Contus/lac left cerebrum w LOC of 30 minutes or less, subs
S06.321S@Contus/lac l cereb w LOC of 30 minutes or less, sequela
S06.322A@Contus/lac left cerebrum w LOC of 31-59 min, init
S06.322D@Contus/lac left cerebrum w LOC of 31-59 min, subs
S06.322S@Contus/lac left cerebrum w LOC of 31-59 min, sequela
S06.323A@Contus/lac left cerebrum w LOC of 1-5 hrs 59 min, init
S06.323D@Contus/lac left cerebrum w LOC of 1-5 hrs 59 min, subs
S06.323S@Contus/lac left cerebrum w LOC of 1-5 hrs 59 min, sequela
S06.324A@Contus/lac left cerebrum w LOC of 6 hours to 24 hours, init
S06.324D@Contus/lac left cerebrum w LOC of 6 hours to 24 hours, subs
S06.324S@Contus/lac left cerebrum w LOC of 6-24 hrs, sequela
S06.325A@Contus/lac left cerebrum w LOC >24 hr w ret consc lev, init
S06.325D@Contus/lac left cerebrum w LOC >24 hr w ret consc lev, subs
S06.325S@Contus/lac l cereb w LOC >24 hr w ret consc lev, sequela
S06.326A@Contus/lac l cereb w LOC >24 hr w/o ret consc w surv, init
S06.326D@Contus/lac l cereb w LOC >24 hr w/o ret consc w surv, subs
S06.326S@Contus/lac l cereb w LOC >24 hr w/o ret consc w surv, sqla
S06.327A@Contus/lac l cereb w LOC w dth d/t brain inj bf consc, init
S06.327D@Contus/lac l cereb w LOC w dth d/t brain inj bf consc, subs
S06.327S@Contus/lac l cereb w LOC w dth d/t brain inj bf consc, sqla
S06.328A@Contus/lac l cereb w LOC w dth d/t oth cause bf consc, init
S06.328D@Contus/lac l cereb w LOC w dth d/t oth cause bf consc, subs
S06.328S@Contus/lac l cereb w LOC w dth d/t oth cause bf consc, sqla
S06.329A@Contus/lac left cerebrum w LOC of unsp duration, init
S06.329D@Contus/lac left cerebrum w LOC of unsp duration, subs
S06.329S@Contus/lac left cerebrum w LOC of unsp duration, sequela
S06.330A@Contus/lac cereb, w/o loss of consciousness, init
S06.330D@Contus/lac cereb, w/o loss of consciousness, subs
S06.330S@Contus/lac cereb, w/o loss of consciousness, sequela
S06.331A@Contus/lac cereb, w LOC of 30 minutes or less, init
S06.331D@Contus/lac cereb, w LOC of 30 minutes or less, subs
S06.331S@Contus/lac cereb, w LOC of 30 minutes or less, sequela
S06.332A@Contus/lac cereb, w loss of consciousness of 31-59 min, init
S06.332D@Contus/lac cereb, w loss of consciousness of 31-59 min, subs
S06.332S@Contus/lac cereb, w LOC of 31-59 min, sequela
S06.333A@Contus/lac cereb, w LOC of 1-5 hrs 59 min, init
S06.333D@Contus/lac cereb, w LOC of 1-5 hrs 59 min, subs
S06.333S@Contus/lac cereb, w LOC of 1-5 hrs 59 min, sequela
S06.334A@Contus/lac cereb, w LOC of 6 hours to 24 hours, init
S06.334D@Contus/lac cereb, w LOC of 6 hours to 24 hours, subs
S06.334S@Contus/lac cereb, w LOC of 6 hours to 24 hours, sequela
S06.335A@Contus/lac cereb, w LOC >24 hr w ret consc lev, init
S06.335D@Contus/lac cereb, w LOC >24 hr w ret consc lev, subs
S06.335S@Contus/lac cereb, w LOC >24 hr w ret consc lev, sequela
S06.336A@Contus/lac cereb, w LOC >24 hr w/o ret consc w surv, init
S06.336D@Contus/lac cereb, w LOC >24 hr w/o ret consc w surv, subs
S06.336S@Contus/lac cereb, w LOC >24 hr w/o ret consc w surv, sequela
S06.337A@Contus/lac cereb, w LOC w death d/t brain inj bf consc, init
S06.337D@Contus/lac cereb, w LOC w death d/t brain inj bf consc, subs
S06.337S@Contus/lac cereb, w LOC w death d/t brain inj bf consc, sqla
S06.338A@Contus/lac cereb, w LOC w death d/t oth cause bf consc, init
S06.338D@Contus/lac cereb, w LOC w death d/t oth cause bf consc, subs
S06.338S@Contus/lac cereb, w LOC w death d/t oth cause bf consc, sqla
S06.339A@Contus/lac cereb, w LOC of unsp duration, init
S06.339D@Contus/lac cereb, w LOC of unsp duration, subs
S06.339S@Contus/lac cereb, w LOC of unsp duration, sequela
S06.340A@Traum hemor right cerebrum w/o loss of consciousness, init
S06.340D@Traum hemor right cerebrum w/o loss of consciousness, subs
S06.340S@Traum hemor right cerebrum w/o LOC, sequela
S06.341A@Traum hemor right cerebrum w LOC of 30 minutes or less, init
S06.341D@Traum hemor right cerebrum w LOC of 30 minutes or less, subs
S06.341S@Traum hemor r cereb w LOC of 30 minutes or less, sequela
S06.342A@Traum hemor right cerebrum w LOC of 31-59 min, init
S06.342D@Traum hemor right cerebrum w LOC of 31-59 min, subs
S06.342S@Traum hemor right cerebrum w LOC of 31-59 min, sequela
S06.343A@Traum hemor right cerebrum w LOC of 1-5 hrs 59 minutes, init
S06.343D@Traum hemor right cerebrum w LOC of 1-5 hrs 59 minutes, subs
S06.343S@Traum hemor r cereb w LOC of 1-5 hrs 59 minutes, sequela
S06.344A@Traum hemor right cerebrum w LOC of 6-24 hrs, init
S06.344D@Traum hemor right cerebrum w LOC of 6-24 hrs, subs
S06.344S@Traum hemor right cerebrum w LOC of 6-24 hrs, sequela
S06.345A@Traum hemor r cereb w LOC >24 hr w ret consc lev, init
S06.345D@Traum hemor r cereb w LOC >24 hr w ret consc lev, subs
S06.345S@Traum hemor r cereb w LOC >24 hr w ret consc lev, sequela
S06.346A@Traum hemor r cereb w LOC >24 hr w/o ret consc w surv, init
S06.346D@Traum hemor r cereb w LOC >24 hr w/o ret consc w surv, subs
S06.346S@Traum hemor r cereb w LOC >24 hr w/o ret consc w surv, sqla
S06.347A@Traum hemor r cereb w LOC w dth d/t brain inj bf consc, init
S06.347D@Traum hemor r cereb w LOC w dth d/t brain inj bf consc, subs
S06.347S@Traum hemor r cereb w LOC w dth d/t brain inj bf consc, sqla
S06.348A@Traum hemor r cereb w LOC w dth d/t oth cause bf consc, init
S06.348D@Traum hemor r cereb w LOC w dth d/t oth cause bf consc, subs
S06.348S@Traum hemor r cereb w LOC w dth d/t oth cause bf consc, sqla
S06.349A@Traum hemor right cerebrum w LOC of unsp duration, init
S06.349D@Traum hemor right cerebrum w LOC of unsp duration, subs
S06.349S@Traum hemor right cerebrum w LOC of unsp duration, sequela
S06.350A@Traum hemor left cerebrum w/o loss of consciousness, init
S06.350D@Traum hemor left cerebrum w/o loss of consciousness, subs
S06.350S@Traum hemor left cerebrum w/o loss of consciousness, sequela
S06.351A@Traum hemor left cerebrum w LOC of 30 minutes or less, init
S06.351D@Traum hemor left cerebrum w LOC of 30 minutes or less, subs
S06.351S@Traum hemor l cereb w LOC of 30 minutes or less, sequela
S06.352A@Traum hemor left cerebrum w LOC of 31-59 min, init
S06.352D@Traum hemor left cerebrum w LOC of 31-59 min, subs
S06.352S@Traum hemor left cerebrum w LOC of 31-59 min, sequela
S06.353A@Traum hemor left cerebrum w LOC of 1-5 hrs 59 minutes, init
S06.353D@Traum hemor left cerebrum w LOC of 1-5 hrs 59 minutes, subs
S06.353S@Traum hemor l cereb w LOC of 1-5 hrs 59 minutes, sequela
S06.354A@Traum hemor left cerebrum w LOC of 6 hours to 24 hours, init
S06.354D@Traum hemor left cerebrum w LOC of 6 hours to 24 hours, subs
S06.354S@Traum hemor left cerebrum w LOC of 6-24 hrs, sequela
S06.355A@Traum hemor left cerebrum w LOC >24 hr w ret consc lev, init
S06.355D@Traum hemor left cerebrum w LOC >24 hr w ret consc lev, subs
S06.355S@Traum hemor l cereb w LOC >24 hr w ret consc lev, sequela
S06.356A@Traum hemor l cereb w LOC >24 hr w/o ret consc w surv, init
S06.356D@Traum hemor l cereb w LOC >24 hr w/o ret consc w surv, subs
S06.356S@Traum hemor l cereb w LOC >24 hr w/o ret consc w surv, sqla
S06.357A@Traum hemor l cereb w LOC w dth d/t brain inj bf consc, init
S06.357D@Traum hemor l cereb w LOC w dth d/t brain inj bf consc, subs
S06.357S@Traum hemor l cereb w LOC w dth d/t brain inj bf consc, sqla
S06.358A@Traum hemor l cereb w LOC w dth d/t oth cause bf consc, init
S06.358D@Traum hemor l cereb w LOC w dth d/t oth cause bf consc, subs
S06.358S@Traum hemor l cereb w LOC w dth d/t oth cause bf consc, sqla
S06.359A@Traum hemor left cerebrum w LOC of unsp duration, init
S06.359D@Traum hemor left cerebrum w LOC of unsp duration, subs
S06.359S@Traum hemor left cerebrum w LOC of unsp duration, sequela
S06.360A@Traum hemor cereb, w/o loss of consciousness, init
S06.360D@Traum hemor cereb, w/o loss of consciousness, subs
S06.360S@Traum hemor cereb, w/o loss of consciousness, sequela
S06.361A@Traum hemor cereb, w LOC of 30 minutes or less, init
S06.361D@Traum hemor cereb, w LOC of 30 minutes or less, subs
S06.361S@Traum hemor cereb, w LOC of 30 minutes or less, sequela
S06.362A@Traum hemor cereb, w LOC of 31-59 min, init
S06.362D@Traum hemor cereb, w LOC of 31-59 min, subs
S06.362S@Traum hemor cereb, w LOC of 31-59 min, sequela
S06.363A@Traum hemor cereb, w LOC of 1-5 hrs 59 minutes, init
S06.363D@Traum hemor cereb, w LOC of 1-5 hrs 59 minutes, subs
S06.363S@Traum hemor cereb, w LOC of 1-5 hrs 59 minutes, sequela
S06.364A@Traum hemor cereb, w LOC of 6 hours to 24 hours, init
S06.364D@Traum hemor cereb, w LOC of 6 hours to 24 hours, subs
S06.364S@Traum hemor cereb, w LOC of 6 hours to 24 hours, sequela
S06.365A@Traum hemor cereb, w LOC >24 hr w ret consc lev, init
S06.365D@Traum hemor cereb, w LOC >24 hr w ret consc lev, subs
S06.365S@Traum hemor cereb, w LOC >24 hr w ret consc lev, sequela
S06.366A@Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, init
S06.366D@Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, subs
S06.366S@Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, sqla
S06.367A@Traum hemor cereb, w LOC w dth d/t brain inj bf consc, init
S06.367D@Traum hemor cereb, w LOC w dth d/t brain inj bf consc, subs
S06.367S@Traum hemor cereb, w LOC w dth d/t brain inj bf consc, sqla
S06.368A@Traum hemor cereb, w LOC w dth d/t oth cause bf consc, init
S06.368D@Traum hemor cereb, w LOC w dth d/t oth cause bf consc, subs
S06.368S@Traum hemor cereb, w LOC w dth d/t oth cause bf consc, sqla
S06.369A@Traum hemor cereb, w LOC of unsp duration, init
S06.369D@Traum hemor cereb, w LOC of unsp duration, subs
S06.369S@Traum hemor cereb, w LOC of unsp duration, sequela
S06.370A@Contus/lac/hem crblm w/o loss of consciousness, init
S06.370D@Contus/lac/hem crblm w/o loss of consciousness, subs
S06.370S@Contus/lac/hem crblm w/o loss of consciousness, sequela
S06.371A@Contus/lac/hem crblm w LOC of 30 minutes or less, init
S06.371D@Contus/lac/hem crblm w LOC of 30 minutes or less, subs
S06.371S@Contus/lac/hem crblm w LOC of 30 minutes or less, sequela
S06.372A@Contus/lac/hem crblm w LOC of 31-59 min, init
S06.372D@Contus/lac/hem crblm w LOC of 31-59 min, subs
S06.372S@Contus/lac/hem crblm w LOC of 31-59 min, sequela
S06.373A@Contus/lac/hem crblm w LOC of 1-5 hrs 59 min, init
S06.373D@Contus/lac/hem crblm w LOC of 1-5 hrs 59 min, subs
S06.373S@Contus/lac/hem crblm w LOC of 1-5 hrs 59 min, sequela
S06.374A@Contus/lac/hem crblm w LOC of 6 hours to 24 hours, init
S06.374D@Contus/lac/hem crblm w LOC of 6 hours to 24 hours, subs
S06.374S@Contus/lac/hem crblm w LOC of 6 hours to 24 hours, sequela
S06.375A@Contus/lac/hem crblm w LOC >24 hr w ret consc lev, init
S06.375D@Contus/lac/hem crblm w LOC >24 hr w ret consc lev, subs
S06.375S@Contus/lac/hem crblm w LOC >24 hr w ret consc lev, sequela
S06.376A@Contus/lac/hem crblm w LOC >24 hr w/o ret consc w surv, init
S06.376D@Contus/lac/hem crblm w LOC >24 hr w/o ret consc w surv, subs
S06.376S@Contus/lac/hem crblm w LOC >24 hr w/o ret consc w surv, sqla
S06.377A@Contus/lac/hem crblm w LOC w dth d/t brain inj bf consc,init
S06.377D@Contus/lac/hem crblm w LOC w dth d/t brain inj bf consc,subs
S06.377S@Contus/lac/hem crblm w LOC w dth d/t brain inj bf consc,sqla
S06.378A@Contus/lac/hem crblm w LOC w dth d/t oth cause bf consc,init
S06.378D@Contus/lac/hem crblm w LOC w dth d/t oth cause bf consc,subs
S06.378S@Contus/lac/hem crblm w LOC w dth d/t oth cause bf consc,sqla
S06.379A@Contus/lac/hem crblm w LOC of unsp duration, init
S06.379D@Contus/lac/hem crblm w LOC of unsp duration, subs
S06.379S@Contus/lac/hem crblm w LOC of unsp duration, sequela
S06.380A@Contus/lac/hem brainstem w/o loss of consciousness, init
S06.380D@Contus/lac/hem brainstem w/o loss of consciousness, subs
S06.380S@Contus/lac/hem brainstem w/o loss of consciousness, sequela
S06.381A@Contus/lac/hem brainstem w LOC of 30 minutes or less, init
S06.381D@Contus/lac/hem brainstem w LOC of 30 minutes or less, subs
S06.381S@Contus/lac/hem brnst w LOC of 30 minutes or less, sequela
S06.382A@Contus/lac/hem brainstem w LOC of 31-59 min, init
S06.382D@Contus/lac/hem brainstem w LOC of 31-59 min, subs
S06.382S@Contus/lac/hem brainstem w LOC of 31-59 min, sequela
S06.383A@Contus/lac/hem brainstem w LOC of 1-5 hrs 59 min, init
S06.383D@Contus/lac/hem brainstem w LOC of 1-5 hrs 59 min, subs
S06.383S@Contus/lac/hem brainstem w LOC of 1-5 hrs 59 min, sequela
S06.384A@Contus/lac/hem brainstem w LOC of 6 hours to 24 hours, init
S06.384D@Contus/lac/hem brainstem w LOC of 6 hours to 24 hours, subs
S06.384S@Contus/lac/hem brainstem w LOC of 6-24 hrs, sequela
S06.385A@Contus/lac/hem brainstem w LOC >24 hr w ret consc lev, init
S06.385D@Contus/lac/hem brainstem w LOC >24 hr w ret consc lev, subs
S06.385S@Contus/lac/hem brnst w LOC >24 hr w ret consc lev, sequela
S06.386A@Contus/lac/hem brnst w LOC >24 hr w/o ret consc w surv, init
S06.386D@Contus/lac/hem brnst w LOC >24 hr w/o ret consc w surv, subs
S06.386S@Contus/lac/hem brnst w LOC >24 hr w/o ret consc w surv, sqla
S06.387A@Contus/lac/hem brnst w LOC w dth d/t brain inj bf consc,init
S06.387D@Contus/lac/hem brnst w LOC w dth d/t brain inj bf consc,subs
S06.387S@Contus/lac/hem brnst w LOC w dth d/t brain inj bf consc,sqla
S06.388A@Contus/lac/hem brnst w LOC w dth d/t oth cause bf consc,init
S06.388D@Contus/lac/hem brnst w LOC w dth d/t oth cause bf consc,subs
S06.388S@Contus/lac/hem brnst w LOC w dth d/t oth cause bf consc,sqla
S06.389A@Contus/lac/hem brainstem w LOC of unsp duration, init
S06.389D@Contus/lac/hem brainstem w LOC of unsp duration, subs
S06.389S@Contus/lac/hem brainstem w LOC of unsp duration, sequela
S06.4X0A@Epidural hemorrhage w/o loss of consciousness, init encntr
S06.4X0D@Epidural hemorrhage w/o loss of consciousness, subs encntr
S06.4X0S@Epidural hemorrhage without loss of consciousness, sequela
S06.4X1A@Epidural hemorrhage w LOC of 30 minutes or less, init
S06.4X1D@Epidural hemorrhage w LOC of 30 minutes or less, subs
S06.4X1S@Epidural hemorrhage w LOC of 30 minutes or less, sequela
S06.4X2A@Epidural hemorrhage w LOC of 31-59 min, init
S06.4X2D@Epidural hemorrhage w LOC of 31-59 min, subs
S06.4X2S@Epidural hemorrhage w LOC of 31-59 min, sequela
S06.4X3A@Epidural hemorrhage w LOC of 1-5 hrs 59 min, init
S06.4X3D@Epidural hemorrhage w LOC of 1-5 hrs 59 min, subs
S06.4X3S@Epidural hemorrhage w LOC of 1-5 hrs 59 min, sequela
S06.4X4A@Epidural hemorrhage w LOC of 6 hours to 24 hours, init
S06.4X4D@Epidural hemorrhage w LOC of 6 hours to 24 hours, subs
S06.4X4S@Epidural hemorrhage w LOC of 6 hours to 24 hours, sequela
S06.4X5A@Epidural hemorrhage w LOC >24 hr w ret consc lev, init
S06.4X5D@Epidural hemorrhage w LOC >24 hr w ret consc lev, subs
S06.4X5S@Epidural hemorrhage w LOC >24 hr w ret consc lev, sequela
S06.4X6A@Epidural hemorrhage w LOC >24 hr w/o ret consc w surv, init
S06.4X6D@Epidural hemorrhage w LOC >24 hr w/o ret consc w surv, subs
S06.4X6S@Epidural hemor w LOC >24 hr w/o ret consc w surv, sequela
S06.4X7A@Epidur hemor w LOC w death d/t brain injury bf consc, init
S06.4X7D@Epidur hemor w LOC w death d/t brain injury bf consc, subs
S06.4X7S@Epidur hemor w LOC w death d/t brain injury bf consc, sqla
S06.4X8A@Epidur hemor w LOC w death due to oth causes bf consc, init
S06.4X8D@Epidur hemor w LOC w death due to oth causes bf consc, subs
S06.4X8S@Epidur hemor w LOC w death due to oth causes bf consc, sqla
S06.4X9A@Epidural hemorrhage w LOC of unsp duration, init
S06.4X9D@Epidural hemorrhage w LOC of unsp duration, subs
S06.4X9S@Epidural hemorrhage w LOC of unsp duration, sequela
S06.5X0A@Traum subdr hem w/o loss of consciousness, init
S06.5X0D@Traum subdr hem w/o loss of consciousness, subs
S06.5X0S@Traum subdr hem w/o loss of consciousness, sequela
S06.5X1A@Traum subdr hem w LOC of 30 minutes or less, init
S06.5X1D@Traum subdr hem w LOC of 30 minutes or less, subs
S06.5X1S@Traum subdr hem w LOC of 30 minutes or less, sequela
S06.5X2A@Traum subdr hem w loss of consciousness of 31-59 min, init
S06.5X2D@Traum subdr hem w loss of consciousness of 31-59 min, subs
S06.5X2S@Traum subdr hem w LOC of 31-59 min, sequela
S06.5X3A@Traum subdr hem w LOC of 1-5 hrs 59 min, init
S06.5X3D@Traum subdr hem w LOC of 1-5 hrs 59 min, subs
S06.5X3S@Traum subdr hem w LOC of 1-5 hrs 59 min, sequela
S06.5X4A@Traum subdr hem w LOC of 6 hours to 24 hours, init
S06.5X4D@Traum subdr hem w LOC of 6 hours to 24 hours, subs
S06.5X4S@Traum subdr hem w LOC of 6 hours to 24 hours, sequela
S06.5X5A@Traum subdr hem w LOC >24 hr w ret consc lev, init
S06.5X5D@Traum subdr hem w LOC >24 hr w ret consc lev, subs
S06.5X5S@Traum subdr hem w LOC >24 hr w ret consc lev, sequela
S06.5X6A@Traum subdr hem w LOC >24 hr w/o ret consc w surv, init
S06.5X6D@Traum subdr hem w LOC >24 hr w/o ret consc w surv, subs
S06.5X6S@Traum subdr hem w LOC >24 hr w/o ret consc w surv, sequela
S06.5X7A@Traum subdr hem w LOC w dth d/t brain inj bef reg consc,init
S06.5X7D@Traum subdr hem w LOC w dth d/t brain inj bef reg consc,subs
S06.5X7S@Traum subdr hem w LOC w dth d/t brain inj bef reg consc,sqla
S06.5X8A@Traum subdr hem w LOC w dth d/t oth cause bef reg consc,init
