S00.00XA@Unspecified superficial injury of scalp, initial encounter
S65.911A@Lacerat unsp blood vessel at wrs/hnd lv of right arm, init
S65.911D@Lacerat unsp blood vessel at wrs/hnd lv of right arm, subs
S65.911S@Lacerat unsp blood vess at wrs/hnd lv of right arm, sequela
S65.912A@Lacerat unsp blood vessel at wrs/hnd lv of left arm, init
S65.912D@Lacerat unsp blood vessel at wrs/hnd lv of left arm, subs
S65.912S@Lacerat unsp blood vessel at wrs/hnd lv of left arm, sequela
S65.919A@Lacerat unsp blood vessel at wrs/hnd lv of unsp arm, init
S65.919D@Lacerat unsp blood vessel at wrs/hnd lv of unsp arm, subs
S65.919S@Lacerat unsp blood vessel at wrs/hnd lv of unsp arm, sequela
S65.991A@Inj unsp blood vessel at wrist and hand of right arm, init
S65.991D@Inj unsp blood vessel at wrist and hand of right arm, subs
S65.991S@Inj unsp blood vessel at wrs/hnd of right arm, sequela
S65.992A@Inj unsp blood vessel at wrist and hand of left arm, init
S65.992D@Inj unsp blood vessel at wrist and hand of left arm, subs
S65.992S@Inj unsp blood vessel at wrist and hand of left arm, sequela
S65.999A@Inj unsp blood vessel at wrist and hand of unsp arm, init
S65.999D@Inj unsp blood vessel at wrist and hand of unsp arm, subs
S65.999S@Inj unsp blood vessel at wrist and hand of unsp arm, sequela
#
S66.001A@Unsp inj long flxr musc/fasc/tend r thm at wrs/hnd lv, init
S66.001D@Unsp inj long flxr musc/fasc/tend r thm at wrs/hnd lv, subs
S66.001S@Unsp inj long flxr musc/fasc/tend r thm at wrs/hnd lv, sqla
S66.002A@Unsp inj long flxr musc/fasc/tend l thm at wrs/hnd lv, init
S66.002D@Unsp inj long flxr musc/fasc/tend l thm at wrs/hnd lv, subs
S66.002S@Unsp inj long flxr musc/fasc/tend l thm at wrs/hnd lv, sqla
S66.009A@Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.009D@Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.009S@Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla
S66.011A@Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, init
S66.011D@Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.011S@Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, sqla
S66.012A@Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, init
S66.012D@Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.012S@Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, sqla
S66.019A@Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.019D@Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.019S@Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla
S66.021A@Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, init
S66.021D@Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.021S@Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, sqla
S66.022A@Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, init
S66.022D@Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.022S@Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, sqla
S66.029A@Lacerat long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.029D@Lacerat long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.029S@Lacerat long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla
S66.091A@Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, init
S66.091D@Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.091S@Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.092A@Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, init
S66.092D@Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.092S@Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.099A@Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.099D@Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.099S@Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.100A@Unsp inj flxr musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.100D@Unsp inj flxr musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.100S@Unsp inj flxr musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.101A@Unsp inj flxr musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.101D@Unsp inj flxr musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.101S@Unsp inj flxr musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.102A@Unsp inj flxr musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.102D@Unsp inj flxr musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.102S@Unsp inj flxr musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.103A@Unsp inj flxr musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.103D@Unsp inj flxr musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.103S@Unsp inj flxr musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.104A@Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.104D@Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.104S@Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.105A@Unsp inj flxr musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.105D@Unsp inj flxr musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.105S@Unsp inj flxr musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.106A@Unsp inj flxr musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.106D@Unsp inj flxr musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.106S@Unsp inj flxr musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.107A@Unsp inj flxr musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.107D@Unsp inj flxr musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.107S@Unsp inj flxr musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.108A@Unsp inj flexor musc/fasc/tend finger at wrs/hnd lv, init
S66.108D@Unsp inj flexor musc/fasc/tend finger at wrs/hnd lv, subs
S66.108S@Unsp inj flexor musc/fasc/tend finger at wrs/hnd lv, sequela
S66.109A@Unsp inj flexor musc/fasc/tend unsp fngr at wrs/hnd lv, init
S66.109D@Unsp inj flexor musc/fasc/tend unsp fngr at wrs/hnd lv, subs
S66.109S@Unsp inj flexor musc/fasc/tend unsp fngr at wrs/hnd lv, sqla
S66.110A@Strain flexor musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.110D@Strain flexor musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.110S@Strain flexor musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.111A@Strain flexor musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.111D@Strain flexor musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.111S@Strain flexor musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.112A@Strain flexor musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.112D@Strain flexor musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.112S@Strain flexor musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.113A@Strain flexor musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.113D@Strain flexor musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.113S@Strain flexor musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.114A@Strain flexor musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.114D@Strain flexor musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.114S@Strain flexor musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.115A@Strain flexor musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.115D@Strain flexor musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.115S@Strain flexor musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.116A@Strain flxr musc/fasc/tend r little fngr at wrs/hnd lv, init
S66.116D@Strain flxr musc/fasc/tend r little fngr at wrs/hnd lv, subs
S66.116S@Strain flxr musc/fasc/tend r little fngr at wrs/hnd lv, sqla
S66.117A@Strain flxr musc/fasc/tend l little fngr at wrs/hnd lv, init
S66.117D@Strain flxr musc/fasc/tend l little fngr at wrs/hnd lv, subs
S66.117S@Strain flxr musc/fasc/tend l little fngr at wrs/hnd lv, sqla
S66.118A@Strain of flexor musc/fasc/tend finger at wrs/hnd lv, init
S66.118D@Strain of flexor musc/fasc/tend finger at wrs/hnd lv, subs
S66.118S@Strain flexor musc/fasc/tend finger at wrs/hnd lv, sequela
S66.119A@Strain flexor musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.119D@Strain flexor musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.119S@Strain flexor musc/fasc/tend unsp finger at wrs/hnd lv, sqla
S66.120A@Lacerat flexor musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.120D@Lacerat flexor musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.120S@Lacerat flexor musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.121A@Lacerat flexor musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.121D@Lacerat flexor musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.121S@Lacerat flexor musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.122A@Lacerat flexor musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.122D@Lacerat flexor musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.122S@Lacerat flexor musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.123A@Lacerat flexor musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.123D@Lacerat flexor musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.123S@Lacerat flexor musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.124A@Lacerat flexor musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.124D@Lacerat flexor musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.124S@Lacerat flexor musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.125A@Lacerat flexor musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.125D@Lacerat flexor musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.125S@Lacerat flexor musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.126A@Lacerat flxr musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.126D@Lacerat flxr musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.126S@Lacerat flxr musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.127A@Lacerat flxr musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.127D@Lacerat flxr musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.127S@Lacerat flxr musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.128A@Lacerat flexor musc/fasc/tend finger at wrs/hnd lv, init
S66.128D@Lacerat flexor musc/fasc/tend finger at wrs/hnd lv, subs
S66.128S@Lacerat flexor musc/fasc/tend finger at wrs/hnd lv, sequela
S66.129A@Lacerat flexor musc/fasc/tend unsp fngr at wrs/hnd lv, init
S66.129D@Lacerat flexor musc/fasc/tend unsp fngr at wrs/hnd lv, subs
S66.129S@Lacerat flexor musc/fasc/tend unsp fngr at wrs/hnd lv, sqla
S66.190A@Inj flexor musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.190D@Inj flexor musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.190S@Inj flexor musc/fasc/tend r idx fngr at wrs/hnd lv, sequela
S66.191A@Inj flexor musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.191D@Inj flexor musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.191S@Inj flexor musc/fasc/tend l idx fngr at wrs/hnd lv, sequela
S66.192A@Inj flexor musc/fasc/tend r mid finger at wrs/hnd lv, init
S66.192D@Inj flexor musc/fasc/tend r mid finger at wrs/hnd lv, subs
S66.192S@Inj flexor musc/fasc/tend r mid finger at wrs/hnd lv, sqla
S66.193A@Inj flexor musc/fasc/tend l mid finger at wrs/hnd lv, init
S66.193D@Inj flexor musc/fasc/tend l mid finger at wrs/hnd lv, subs
S66.193S@Inj flexor musc/fasc/tend l mid finger at wrs/hnd lv, sqla
S66.194A@Inj flexor musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.194D@Inj flexor musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.194S@Inj flexor musc/fasc/tend r rng fngr at wrs/hnd lv, sequela
S66.195A@Inj flexor musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.195D@Inj flexor musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.195S@Inj flexor musc/fasc/tend l rng fngr at wrs/hnd lv, sequela
S66.196A@Inj flexor musc/fasc/tend r little fngr at wrs/hnd lv, init
S66.196D@Inj flexor musc/fasc/tend r little fngr at wrs/hnd lv, subs
S66.196S@Inj flexor musc/fasc/tend r little fngr at wrs/hnd lv, sqla
S66.197A@Inj flexor musc/fasc/tend l little fngr at wrs/hnd lv, init
S66.197D@Inj flexor musc/fasc/tend l little fngr at wrs/hnd lv, subs
S66.197S@Inj flexor musc/fasc/tend l little fngr at wrs/hnd lv, sqla
S66.198A@Inj flexor musc/fasc/tend finger at wrs/hnd lv, init
S66.198D@Inj flexor musc/fasc/tend finger at wrs/hnd lv, subs
S66.198S@Inj flexor musc/fasc/tend finger at wrs/hnd lv, sequela
S66.199A@Inj flexor musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.199D@Inj flexor musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.199S@Inj flexor musc/fasc/tend unsp finger at wrs/hnd lv, sequela
S66.201A@Unsp inj extensor musc/fasc/tend r thm at wrs/hnd lv, init
S66.201D@Unsp inj extensor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.201S@Unsp inj extn musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.202A@Unsp inj extensor musc/fasc/tend l thm at wrs/hnd lv, init
S66.202D@Unsp inj extensor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.202S@Unsp inj extn musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.209A@Unsp inj extensor musc/fasc/tend thmb at wrs/hnd lv, init
S66.209D@Unsp inj extensor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.209S@Unsp inj extensor musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.211A@Strain of extensor musc/fasc/tend r thm at wrs/hnd lv, init
S66.211D@Strain of extensor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.211S@Strain extensor musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.212A@Strain of extensor musc/fasc/tend l thm at wrs/hnd lv, init
S66.212D@Strain of extensor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.212S@Strain extensor musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.219A@Strain of extensor musc/fasc/tend thmb at wrs/hnd lv, init
S66.219D@Strain of extensor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.219S@Strain extensor musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.221A@Lacerat extensor musc/fasc/tend r thm at wrs/hnd lv, init
S66.221D@Lacerat extensor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.221S@Lacerat extensor musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.222A@Lacerat extensor musc/fasc/tend l thm at wrs/hnd lv, init
S66.222D@Lacerat extensor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.222S@Lacerat extensor musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.229A@Lacerat extensor musc/fasc/tend thmb at wrs/hnd lv, init
S66.229D@Lacerat extensor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.229S@Lacerat extensor musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.291A@Inj extensor musc/fasc/tend right thumb at wrs/hnd lv, init
S66.291D@Inj extensor musc/fasc/tend right thumb at wrs/hnd lv, subs
S66.291S@Inj extensor musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.292A@Inj extensor musc/fasc/tend left thumb at wrs/hnd lv, init
S66.292D@Inj extensor musc/fasc/tend left thumb at wrs/hnd lv, subs
S66.292S@Inj extensor musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.299A@Inj extensor musc/fasc/tend thmb at wrs/hnd lv, init
S66.299D@Inj extensor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.299S@Inj extensor musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.300A@Unsp inj extn musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.300D@Unsp inj extn musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.300S@Unsp inj extn musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.301A@Unsp inj extn musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.301D@Unsp inj extn musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.301S@Unsp inj extn musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.302A@Unsp inj extn musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.302D@Unsp inj extn musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.302S@Unsp inj extn musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.303A@Unsp inj extn musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.303D@Unsp inj extn musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.303S@Unsp inj extn musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.304A@Unsp inj extn musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.304D@Unsp inj extn musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.304S@Unsp inj extn musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.305A@Unsp inj extn musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.305D@Unsp inj extn musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.305S@Unsp inj extn musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.306A@Unsp inj extn musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.306D@Unsp inj extn musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.306S@Unsp inj extn musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.307A@Unsp inj extn musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.307D@Unsp inj extn musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.307S@Unsp inj extn musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.308A@Unsp inj extensor musc/fasc/tend finger at wrs/hnd lv, init
S66.308D@Unsp inj extensor musc/fasc/tend finger at wrs/hnd lv, subs
S66.308S@Unsp inj extn musc/fasc/tend finger at wrs/hnd lv, sequela
S66.309A@Unsp inj extn musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.309D@Unsp inj extn musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.309S@Unsp inj extn musc/fasc/tend unsp finger at wrs/hnd lv, sqla
S66.310A@Strain extn musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.310D@Strain extn musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.310S@Strain extn musc/fasc/tend r idx fngr at wrs/hnd lv, sequela
S66.311A@Strain extn musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.311D@Strain extn musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.311S@Strain extn musc/fasc/tend l idx fngr at wrs/hnd lv, sequela
S66.312A@Strain extn musc/fasc/tend r mid finger at wrs/hnd lv, init
S66.312D@Strain extn musc/fasc/tend r mid finger at wrs/hnd lv, subs
S66.312S@Strain extn musc/fasc/tend r mid finger at wrs/hnd lv, sqla
S66.313A@Strain extn musc/fasc/tend l mid finger at wrs/hnd lv, init
S66.313D@Strain extn musc/fasc/tend l mid finger at wrs/hnd lv, subs
S66.313S@Strain extn musc/fasc/tend l mid finger at wrs/hnd lv, sqla
S66.314A@Strain extn musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.314D@Strain extn musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.314S@Strain extn musc/fasc/tend r rng fngr at wrs/hnd lv, sequela
S66.315A@Strain extn musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.315D@Strain extn musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.315S@Strain extn musc/fasc/tend l rng fngr at wrs/hnd lv, sequela
S66.316A@Strain extn musc/fasc/tend r little fngr at wrs/hnd lv, init
S66.316D@Strain extn musc/fasc/tend r little fngr at wrs/hnd lv, subs
S66.316S@Strain extn musc/fasc/tend r little fngr at wrs/hnd lv, sqla
S66.317A@Strain extn musc/fasc/tend l little fngr at wrs/hnd lv, init
S66.317D@Strain extn musc/fasc/tend l little fngr at wrs/hnd lv, subs
S66.317S@Strain extn musc/fasc/tend l little fngr at wrs/hnd lv, sqla
S66.318A@Strain of extensor musc/fasc/tend finger at wrs/hnd lv, init
S66.318D@Strain of extensor musc/fasc/tend finger at wrs/hnd lv, subs
S66.318S@Strain extensor musc/fasc/tend finger at wrs/hnd lv, sequela
S66.319A@Strain extn musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.319D@Strain extn musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.319S@Strain extn musc/fasc/tend unsp finger at wrs/hnd lv, sqla
S66.320A@Lacerat extn musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.320D@Lacerat extn musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.320S@Lacerat extn musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.321A@Lacerat extn musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.321D@Lacerat extn musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.321S@Lacerat extn musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.322A@Lacerat extn musc/fasc/tend r mid finger at wrs/hnd lv, init
S66.322D@Lacerat extn musc/fasc/tend r mid finger at wrs/hnd lv, subs
S66.322S@Lacerat extn musc/fasc/tend r mid finger at wrs/hnd lv, sqla
S66.323A@Lacerat extn musc/fasc/tend l mid finger at wrs/hnd lv, init
S66.323D@Lacerat extn musc/fasc/tend l mid finger at wrs/hnd lv, subs
S66.323S@Lacerat extn musc/fasc/tend l mid finger at wrs/hnd lv, sqla
S66.324A@Lacerat extn musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.324D@Lacerat extn musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.324S@Lacerat extn musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.325A@Lacerat extn musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.325D@Lacerat extn musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.325S@Lacerat extn musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.326A@Lacerat extn musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.326D@Lacerat extn musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.326S@Lacerat extn musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.327A@Lacerat extn musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.327D@Lacerat extn musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.327S@Lacerat extn musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.328A@Lacerat extensor musc/fasc/tend finger at wrs/hnd lv, init
S66.328D@Lacerat extensor musc/fasc/tend finger at wrs/hnd lv, subs
S66.328S@Lacerat extn musc/fasc/tend finger at wrs/hnd lv, sequela
S66.329A@Lacerat extn musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.329D@Lacerat extn musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.329S@Lacerat extn musc/fasc/tend unsp finger at wrs/hnd lv, sqla
S66.390A@Inj extensor musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.390D@Inj extensor musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.390S@Inj extn musc/fasc/tend r idx fngr at wrs/hnd lv, sequela
S66.391A@Inj extensor musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.391D@Inj extensor musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.391S@Inj extn musc/fasc/tend l idx fngr at wrs/hnd lv, sequela
S66.392A@Inj extensor musc/fasc/tend r mid finger at wrs/hnd lv, init
S66.392D@Inj extensor musc/fasc/tend r mid finger at wrs/hnd lv, subs
S66.392S@Inj extn musc/fasc/tend r mid finger at wrs/hnd lv, sequela
S66.393A@Inj extensor musc/fasc/tend l mid finger at wrs/hnd lv, init
S66.393D@Inj extensor musc/fasc/tend l mid finger at wrs/hnd lv, subs
S66.393S@Inj extn musc/fasc/tend l mid finger at wrs/hnd lv, sequela
S66.394A@Inj extensor musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.394D@Inj extensor musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.394S@Inj extn musc/fasc/tend r rng fngr at wrs/hnd lv, sequela
S66.395A@Inj extensor musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.395D@Inj extensor musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.395S@Inj extn musc/fasc/tend l rng fngr at wrs/hnd lv, sequela
S66.396A@Inj extn musc/fasc/tend r little finger at wrs/hnd lv, init
S66.396D@Inj extn musc/fasc/tend r little finger at wrs/hnd lv, subs
S66.396S@Inj extn musc/fasc/tend r little finger at wrs/hnd lv, sqla
S66.397A@Inj extn musc/fasc/tend l little finger at wrs/hnd lv, init
S66.397D@Inj extn musc/fasc/tend l little finger at wrs/hnd lv, subs
S66.397S@Inj extn musc/fasc/tend l little finger at wrs/hnd lv, sqla
S66.398A@Inj extensor musc/fasc/tend finger at wrs/hnd lv, init
S66.398D@Inj extensor musc/fasc/tend finger at wrs/hnd lv, subs
S66.398S@Inj extensor musc/fasc/tend finger at wrs/hnd lv, sequela
S66.399A@Inj extensor musc/fasc/tend unsp finger at wrs/hnd lv, init
S66.399D@Inj extensor musc/fasc/tend unsp finger at wrs/hnd lv, subs
S66.399S@Inj extn musc/fasc/tend unsp finger at wrs/hnd lv, sequela
S66.401A@Unsp inj intrinsic musc/fasc/tend r thm at wrs/hnd lv, init
S66.401D@Unsp inj intrinsic musc/fasc/tend r thm at wrs/hnd lv, subs
S66.401S@Unsp inj intrns musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.402A@Unsp inj intrinsic musc/fasc/tend l thm at wrs/hnd lv, init
S66.402D@Unsp inj intrinsic musc/fasc/tend l thm at wrs/hnd lv, subs
S66.402S@Unsp inj intrns musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.409A@Unsp inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, init
S66.409D@Unsp inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs
S66.409S@Unsp inj intrns musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.411A@Strain of intrinsic musc/fasc/tend r thm at wrs/hnd lv, init
S66.411D@Strain of intrinsic musc/fasc/tend r thm at wrs/hnd lv, subs
S66.411S@Strain of intrns musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.412A@Strain of intrinsic musc/fasc/tend l thm at wrs/hnd lv, init
S66.412D@Strain of intrinsic musc/fasc/tend l thm at wrs/hnd lv, subs
