V00.01XA@Ped on foot injured in collision w roller-skater, init
V93.10XA@Other burn on board merchant vessel, initial encounter
V93.10XD@Other burn on board merchant vessel, subsequent encounter
V93.10XS@Other burn on board merchant vessel, sequela
V93.11XA@Other burn on board passenger vessel, initial encounter
V93.11XD@Other burn on board passenger vessel, subsequent encounter
V93.11XS@Other burn on board passenger vessel, sequela
V93.12XA@Other burn on board fishing boat, initial encounter
V93.12XD@Other burn on board fishing boat, subsequent encounter
V93.12XS@Other burn on board fishing boat, sequela
V93.13XA@Other burn on board other powered watercraft, init encntr
V93.13XD@Other burn on board other powered watercraft, subs encntr
V93.13XS@Other burn on board other powered watercraft, sequela
V93.14XA@Other burn on board sailboat, initial encounter
V93.14XD@Other burn on board sailboat, subsequent encounter
V93.14XS@Other burn on board sailboat, sequela
V93.19XA@Other burn on board unspecified watercraft, init encntr
V93.19XD@Other burn on board unspecified watercraft, subs encntr
V93.19XS@Other burn on board unspecified watercraft, sequela
V93.20XA@Heat exposure on board merchant ship, initial encounter
V93.20XD@Heat exposure on board merchant ship, subsequent encounter
V93.20XS@Heat exposure on board merchant ship, sequela
V93.21XA@Heat exposure on board passenger ship, initial encounter
V93.21XD@Heat exposure on board passenger ship, subsequent encounter
V93.21XS@Heat exposure on board passenger ship, sequela
V93.22XA@Heat exposure on board fishing boat, initial encounter
V93.22XD@Heat exposure on board fishing boat, subsequent encounter
V93.22XS@Heat exposure on board fishing boat, sequela
V93.23XA@Heat exposure on board other powered watercraft, init encntr
V93.23XD@Heat exposure on board other powered watercraft, subs encntr
V93.23XS@Heat exposure on board other powered watercraft, sequela
V93.24XA@Heat exposure on board sailboat, initial encounter
V93.24XD@Heat exposure on board sailboat, subsequent encounter
V93.24XS@Heat exposure on board sailboat, sequela
V93.29XA@Heat exposure on board unspecified watercraft, init encntr
V93.29XD@Heat exposure on board unspecified watercraft, subs encntr
V93.29XS@Heat exposure on board unspecified watercraft, sequela
V93.30XA@Fall on board merchant ship, initial encounter
V93.30XD@Fall on board merchant ship, subsequent encounter
V93.30XS@Fall on board merchant ship, sequela
V93.31XA@Fall on board passenger ship, initial encounter
V93.31XD@Fall on board passenger ship, subsequent encounter
V93.31XS@Fall on board passenger ship, sequela
V93.32XA@Fall on board fishing boat, initial encounter
V93.32XD@Fall on board fishing boat, subsequent encounter
V93.32XS@Fall on board fishing boat, sequela
V93.33XA@Fall on board other powered watercraft, initial encounter
V93.33XD@Fall on board other powered watercraft, subsequent encounter
V93.33XS@Fall on board other powered watercraft, sequela
V93.34XA@Fall on board sailboat, initial encounter
V93.34XD@Fall on board sailboat, subsequent encounter
V93.34XS@Fall on board sailboat, sequela
V93.35XA@Fall on board canoe or kayak, initial encounter
V93.35XD@Fall on board canoe or kayak, subsequent encounter
V93.35XS@Fall on board canoe or kayak, sequela
V93.36XA@Fall on board (nonpowered) inflatable craft, init encntr
V93.36XD@Fall on board (nonpowered) inflatable craft, subs encntr
V93.36XS@Fall on board (nonpowered) inflatable craft, sequela
V93.38XA@Fall on board other unpowered watercraft, initial encounter
V93.38XD@Fall on board other unpowered watercraft, subs encntr
V93.38XS@Fall on board other unpowered watercraft, sequela
V93.39XA@Fall on board unspecified watercraft, initial encounter
V93.39XD@Fall on board unspecified watercraft, subsequent encounter
V93.39XS@Fall on board unspecified watercraft, sequela
V93.40XA@Struck by falling object on merchant ship, initial encounter
V93.40XD@Struck by falling object on merchant ship, subs encntr
V93.40XS@Struck by falling object on merchant ship, sequela
V93.41XA@Struck by falling object on passenger ship, init encntr
V93.41XD@Struck by falling object on passenger ship, subs encntr
V93.41XS@Struck by falling object on passenger ship, sequela
V93.42XA@Struck by falling object on fishing boat, initial encounter
V93.42XD@Struck by falling object on fishing boat, subs encntr
V93.42XS@Struck by falling object on fishing boat, sequela
V93.43XA@Struck by falling object on oth powered watercraft, init
V93.43XD@Struck by falling object on oth powered watercraft, subs
V93.43XS@Struck by falling object on oth powered watercraft, sequela
V93.44XA@Struck by falling object on sailboat, initial encounter
V93.44XD@Struck by falling object on sailboat, subsequent encounter
V93.44XS@Struck by falling object on sailboat, sequela
V93.48XA@Struck by falling object on unpowr wtrcrft, init encntr
V93.48XD@Struck by falling object on unpowr wtrcrft, subs encntr
V93.48XS@Struck by falling object on unpowr wtrcrft, sequela
V93.49XA@Struck by falling object on unsp watercraft, init encntr
V93.49XD@Struck by falling object on unsp watercraft, subs encntr
V93.49XS@Struck by falling object on unspecified watercraft, sequela
V93.50XA@Explosion on board merchant ship, initial encounter
V93.50XD@Explosion on board merchant ship, subsequent encounter
V93.50XS@Explosion on board merchant ship, sequela
V93.51XA@Explosion on board passenger ship, initial encounter
V93.51XD@Explosion on board passenger ship, subsequent encounter
V93.51XS@Explosion on board passenger ship, sequela
V93.52XA@Explosion on board fishing boat, initial encounter
V93.52XD@Explosion on board fishing boat, subsequent encounter
V93.52XS@Explosion on board fishing boat, sequela
V93.53XA@Explosion on board other powered watercraft, init encntr
V93.53XD@Explosion on board other powered watercraft, subs encntr
V93.53XS@Explosion on board other powered watercraft, sequela
V93.54XA@Explosion on board sailboat, initial encounter
V93.54XD@Explosion on board sailboat, subsequent encounter
V93.54XS@Explosion on board sailboat, sequela
V93.59XA@Explosion on board unspecified watercraft, initial encounter
V93.59XD@Explosion on board unspecified watercraft, subs encntr
V93.59XS@Explosion on board unspecified watercraft, sequela
V93.60XA@Machinery accident on board merchant ship, initial encounter
V93.60XD@Machinery accident on board merchant ship, subs encntr
V93.60XS@Machinery accident on board merchant ship, sequela
V93.61XA@Machinery accident on board passenger ship, init encntr
V93.61XD@Machinery accident on board passenger ship, subs encntr
V93.61XS@Machinery accident on board passenger ship, sequela
V93.62XA@Machinery accident on board fishing boat, initial encounter
V93.62XD@Machinery accident on board fishing boat, subs encntr
V93.62XS@Machinery accident on board fishing boat, sequela
V93.63XA@Machinery accident on board oth powered watercraft, init
V93.63XD@Machinery accident on board oth powered watercraft, subs
V93.63XS@Machinery accident on board oth powered watercraft, sequela
V93.64XA@Machinery accident on board sailboat, initial encounter
V93.64XD@Machinery accident on board sailboat, subsequent encounter
V93.64XS@Machinery accident on board sailboat, sequela
V93.69XA@Machinery accident on board unsp watercraft, init encntr
V93.69XD@Machinery accident on board unsp watercraft, subs encntr
V93.69XS@Machinery accident on board unspecified watercraft, sequela
V93.80XA@Oth injury due to oth accident on board merchant ship, init
V93.80XD@Oth injury due to oth accident on board merchant ship, subs
V93.80XS@Oth injury due to oth accident on board merch ship, sequela
V93.81XA@Oth injury due to oth accident on board passenger ship, init
V93.81XD@Oth injury due to oth accident on board passenger ship, subs
V93.81XS@Oth injury due to oth accident on board pasngr ship, sequela
V93.82XA@Oth injury due to oth accident on board fishing boat, init
V93.82XD@Oth injury due to oth accident on board fishing boat, subs
V93.82XS@Oth injury due to oth acc on board fishing boat, sequela
V93.83XA@Oth injury due to oth acc on board oth powered wtrcrft, init
V93.83XD@Oth injury due to oth acc on board oth powered wtrcrft, subs
V93.83XS@Oth injury due to oth acc on board oth power wtrcrft, sqla
V93.84XA@Oth injury due to oth accident on board sailboat, init
V93.84XD@Oth injury due to oth accident on board sailboat, subs
V93.84XS@Oth injury due to other accident on board sailboat, sequela
V93.85XA@Oth injury due to oth accident on board canoe or kayak, init
V93.85XD@Oth injury due to oth accident on board canoe or kayak, subs
V93.85XS@Oth injury due to oth accident on board canoe/kayk, sequela
V93.86XA@Oth injury due to oth accident on board inflatbl crft, init
V93.86XD@Oth injury due to oth accident on board inflatbl crft, subs
V93.86XS@Oth injury due to oth acc on board inflatbl crft, sequela
V93.87XA@Oth injury due to oth accident on board water-skis, init
V93.87XD@Oth injury due to oth accident on board water-skis, subs
V93.87XS@Oth injury due to oth accident on board water-skis, sequela
V93.88XA@Oth injury due to oth accident on board unpowr wtrcrft, init
V93.88XD@Oth injury due to oth accident on board unpowr wtrcrft, subs
V93.88XS@Oth injury due to oth acc on board unpowr wtrcrft, sequela
V93.89XA@Oth injury due to oth accident on board unsp wtrcrft, init
V93.89XD@Oth injury due to oth accident on board unsp wtrcrft, subs
V93.89XS@Oth injury due to oth acc on board unsp wtrcrft, sequela
#
V94.0XXA@Hitting obj/botm of body of wtr d/t fall from wtrcrft, init
V94.0XXD@Hitting obj/botm of body of wtr d/t fall from wtrcrft, subs
V94.0XXS@Hitting obj/botm of body of wtr d/t fall from wtrcrft, sqla
V94.11XA@Bather struck by powered watercraft, initial encounter
V94.11XD@Bather struck by powered watercraft, subsequent encounter
V94.11XS@Bather struck by powered watercraft, sequela
V94.12XA@Bather struck by nonpowered watercraft, initial encounter
V94.12XD@Bather struck by nonpowered watercraft, subsequent encounter
V94.12XS@Bather struck by nonpowered watercraft, sequela
V94.21XA@Rider of nonpowr wtrcrft struck by oth nonpowr wtrcrft, init
V94.21XD@Rider of nonpowr wtrcrft struck by oth nonpowr wtrcrft, subs
V94.21XS@Rider of nonpowr wtrcrft struck by oth nonpowr wtrcrft, sqla
V94.22XA@Rider of nonpowr wtrcrft struck by powered watercraft, init
V94.22XD@Rider of nonpowr wtrcrft struck by powered watercraft, subs
V94.22XS@Rider of nonpowr wtrcrft struck by powered wtrcrft, sequela
V94.31XA@Inj to rider of recreatl wtrcrft puld beh oth wtrcrft, init
V94.31XD@Inj to rider of recreatl wtrcrft puld beh oth wtrcrft, subs
V94.31XS@Inj to rider of recreatl wtrcrft puld beh oth wtrcrft, sqla
V94.32XA@Inj to rider of nonrecr wtrcrft puld beh oth wtrcrft, init
V94.32XD@Inj to rider of nonrecr wtrcrft puld beh oth wtrcrft, subs
V94.32XS@Inj to rider of nonrecr wtrcrft puld beh oth wtrcrft, sqla
V94.4XXA@Injury to barefoot water-skier, initial encounter
V94.4XXD@Injury to barefoot water-skier, subsequent encounter
V94.4XXS@Injury to barefoot water-skier, sequela
V94.810A@Civilian wtrcrft in water trnsp acc w military wtrcrft, init
V94.810D@Civilian wtrcrft in water trnsp acc w military wtrcrft, subs
V94.810S@Civ wtrcrft in water trnsp acc w military wtrcrft, sequela
V94.811A@Civilian in water injured by military watercraft, init
V94.811D@Civilian in water injured by military watercraft, subs
V94.811S@Civilian in water injured by military watercraft, sequela
V94.818A@Oth water transport accident w military wtrcrft, init
V94.818D@Oth water transport accident w military wtrcrft, subs
V94.818S@Oth water transport accident w military wtrcrft, sequela
V94.89XA@Other water transport accident, initial encounter
V94.89XD@Other water transport accident, subsequent encounter
V94.89XS@Other water transport accident, sequela
V94.9XXA@Unspecified water transport accident, initial encounter
V94.9XXD@Unspecified water transport accident, subsequent encounter
V94.9XXS@Unspecified water transport accident, sequela
#
V95.00XA@Unsp helicopter accident injuring occupant, init encntr
V95.00XD@Unsp helicopter accident injuring occupant, subs encntr
V95.00XS@Unspecified helicopter accident injuring occupant, sequela
V95.01XA@Helicopter crash injuring occupant, initial encounter
V95.01XD@Helicopter crash injuring occupant, subsequent encounter
V95.01XS@Helicopter crash injuring occupant, sequela
V95.02XA@Forced landing of helicopter injuring occupant, init encntr
V95.02XD@Forced landing of helicopter injuring occupant, subs encntr
V95.02XS@Forced landing of helicopter injuring occupant, sequela
V95.03XA@Helicopter collision injuring occupant, initial encounter
V95.03XD@Helicopter collision injuring occupant, subsequent encounter
V95.03XS@Helicopter collision injuring occupant, sequela
V95.04XA@Helicopter fire injuring occupant, initial encounter
V95.04XD@Helicopter fire injuring occupant, subsequent encounter
V95.04XS@Helicopter fire injuring occupant, sequela
V95.05XA@Helicopter explosion injuring occupant, initial encounter
V95.05XD@Helicopter explosion injuring occupant, subsequent encounter
V95.05XS@Helicopter explosion injuring occupant, sequela
V95.09XA@Other helicopter accident injuring occupant, init encntr
V95.09XD@Other helicopter accident injuring occupant, subs encntr
V95.09XS@Other helicopter accident injuring occupant, sequela
V95.10XA@Unsp ultralt/microlt/pwr-glider acc injuring occupant, init
V95.10XD@Unsp ultralt/microlt/pwr-glider acc injuring occupant, subs
V95.10XS@Unsp ultralt/microlt/pwr-glider acc inj occupant, sequela
V95.11XA@Ultralt/microlt/pwr-glider crash injuring occupant, init
V95.11XD@Ultralt/microlt/pwr-glider crash injuring occupant, subs
V95.11XS@Ultralt/microlt/pwr-glider crash injuring occupant, sequela
V95.12XA@Forced landing of ultralt/microlt/pwr-glider inj occ, init
V95.12XD@Forced landing of ultralt/microlt/pwr-glider inj occ, subs
V95.12XS@Forced land of ultralt/microlt/pwr-glider inj occ, sequela
V95.13XA@Ultralt/microlt/pwr-glider collision injuring occupant, init
V95.13XD@Ultralt/microlt/pwr-glider collision injuring occupant, subs
V95.13XS@Ultralt/microlt/pwr-glider clsn injuring occupant, sequela
V95.14XA@Ultralt/microlt/pwr-glider fire injuring occupant, init
V95.14XD@Ultralt/microlt/pwr-glider fire injuring occupant, subs
V95.14XS@Ultralt/microlt/pwr-glider fire injuring occupant, sequela
V95.15XA@Ultralt/microlt/pwr-glider explosion injuring occupant, init
V95.15XD@Ultralt/microlt/pwr-glider explosion injuring occupant, subs
V95.15XS@Ultralt/microlt/pwr-glider explosn inj occupant, sequela
V95.19XA@Oth ultralt/microlt/pwr-glider acc injuring occupant, init
V95.19XD@Oth ultralt/microlt/pwr-glider acc injuring occupant, subs
V95.19XS@Oth ultralt/microlt/pwr-glider acc inj occupant, sequela
V95.20XA@Unsp acc to oth private fix-wing arcrft, inj occupant, init
V95.20XD@Unsp acc to oth private fix-wing arcrft, inj occupant, subs
V95.20XS@Unsp acc to oth private fix-wing arcrft, inj occ, sequela
V95.21XA@Oth private fix-wing aircraft crash injuring occupant, init
V95.21XD@Oth private fix-wing aircraft crash injuring occupant, subs
V95.21XS@Oth private fix-wing arcrft crash injuring occupant, sequela
V95.22XA@Forced landing of private fix-wing arcrft inj occupant, init
V95.22XD@Forced landing of private fix-wing arcrft inj occupant, subs
V95.22XS@Forced landing of private fix-wing arcrft inj occ, sequela
V95.23XA@Oth private fix-wing aircraft clsn injuring occupant, init
V95.23XD@Oth private fix-wing aircraft clsn injuring occupant, subs
V95.23XS@Oth private fix-wing arcrft clsn injuring occupant, sequela
V95.24XA@Oth private fixed-wing aircraft fire injuring occupant, init
V95.24XD@Oth private fixed-wing aircraft fire injuring occupant, subs
V95.24XS@Oth private fix-wing arcrft fire injuring occupant, sequela
V95.25XA@Oth private fix-wing arcrft explosn injuring occupant, init
V95.25XD@Oth private fix-wing arcrft explosn injuring occupant, subs
V95.25XS@Oth private fix-wing arcrft explosn inj occupant, sequela
V95.29XA@Oth acc to oth private fix-wing arcrft inj occupant, init
V95.29XD@Oth acc to oth private fix-wing arcrft inj occupant, subs
V95.29XS@Oth acc to oth private fix-wing arcrft inj occupant, sequela
V95.30XA@Unsp acc to commrcl fix-wing arcrft injuring occupant, init
V95.30XD@Unsp acc to commrcl fix-wing arcrft injuring occupant, subs
V95.30XS@Unsp acc to commrcl fix-wing arcrft inj occupant, sequela
V95.31XA@Commercial fixed-wing aircraft crash injuring occupant, init
V95.31XD@Commercial fixed-wing aircraft crash injuring occupant, subs
V95.31XS@Commrcl fixed-wing aircraft crash injuring occupant, sequela
V95.32XA@Forced landing of commrcl fix-wing arcrft inj occupant, init
V95.32XD@Forced landing of commrcl fix-wing arcrft inj occupant, subs
V95.32XS@Forced landing of commrcl fix-wing arcrft inj occ, sequela
V95.33XA@Commrcl fix-wing aircraft collision injuring occupant, init
V95.33XD@Commrcl fix-wing aircraft collision injuring occupant, subs
V95.33XS@Commrcl fix-wing aircraft clsn injuring occupant, sequela
V95.34XA@Commercial fixed-wing aircraft fire injuring occupant, init
V95.34XD@Commercial fixed-wing aircraft fire injuring occupant, subs
V95.34XS@Commrcl fixed-wing aircraft fire injuring occupant, sequela
V95.35XA@Commrcl fix-wing aircraft explosion injuring occupant, init
V95.35XD@Commrcl fix-wing aircraft explosion injuring occupant, subs
V95.35XS@Commrcl fix-wing aircraft explosn injuring occupant, sequela
V95.39XA@Oth acc to commrcl fix-wing aircraft injuring occupant, init
V95.39XD@Oth acc to commrcl fix-wing aircraft injuring occupant, subs
V95.39XS@Oth acc to commrcl fix-wing arcrft inj occupant, sequela
V95.40XA@Unsp spacecraft accident injuring occupant, init encntr
V95.40XD@Unsp spacecraft accident injuring occupant, subs encntr
V95.40XS@Unspecified spacecraft accident injuring occupant, sequela
V95.41XA@Spacecraft crash injuring occupant, initial encounter
V95.41XD@Spacecraft crash injuring occupant, subsequent encounter
V95.41XS@Spacecraft crash injuring occupant, sequela
V95.42XA@Forced landing of spacecraft injuring occupant, init encntr
V95.42XD@Forced landing of spacecraft injuring occupant, subs encntr
V95.42XS@Forced landing of spacecraft injuring occupant, sequela
V95.43XA@Spacecraft collision injuring occupant, initial encounter
V95.43XD@Spacecraft collision injuring occupant, subsequent encounter
V95.43XS@Spacecraft collision injuring occupant, sequela
V95.44XA@Spacecraft fire injuring occupant, initial encounter
V95.44XD@Spacecraft fire injuring occupant, subsequent encounter
V95.44XS@Spacecraft fire injuring occupant, sequela
V95.45XA@Spacecraft explosion injuring occupant, initial encounter
V95.45XD@Spacecraft explosion injuring occupant, subsequent encounter
V95.45XS@Spacecraft explosion injuring occupant, sequela
V95.49XA@Other spacecraft accident injuring occupant, init encntr
V95.49XD@Other spacecraft accident injuring occupant, subs encntr
V95.49XS@Other spacecraft accident injuring occupant, sequela
V95.8XXA@Oth powered aircraft accidents injuring occupant, init
V95.8XXD@Oth powered aircraft accidents injuring occupant, subs
V95.8XXS@Other powered aircraft accidents injuring occupant, sequela
V95.9XXA@Unspecified aircraft accident injuring occupant, init encntr
V95.9XXD@Unspecified aircraft accident injuring occupant, subs encntr
V95.9XXS@Unspecified aircraft accident injuring occupant, sequela
#
V96.00XA@Unspecified balloon accident injuring occupant, init encntr
V96.00XD@Unspecified balloon accident injuring occupant, subs encntr
V96.00XS@Unspecified balloon accident injuring occupant, sequela
V96.01XA@Balloon crash injuring occupant, initial encounter
V96.01XD@Balloon crash injuring occupant, subsequent encounter
V96.01XS@Balloon crash injuring occupant, sequela
V96.02XA@Forced landing of balloon injuring occupant, init encntr
V96.02XD@Forced landing of balloon injuring occupant, subs encntr
V96.02XS@Forced landing of balloon injuring occupant, sequela
V96.03XA@Balloon collision injuring occupant, initial encounter
V96.03XD@Balloon collision injuring occupant, subsequent encounter
V96.03XS@Balloon collision injuring occupant, sequela
V96.04XA@Balloon fire injuring occupant, initial encounter
V96.04XD@Balloon fire injuring occupant, subsequent encounter
V96.04XS@Balloon fire injuring occupant, sequela
V96.05XA@Balloon explosion injuring occupant, initial encounter
V96.05XD@Balloon explosion injuring occupant, subsequent encounter
V96.05XS@Balloon explosion injuring occupant, sequela
V96.09XA@Other balloon accident injuring occupant, initial encounter
V96.09XD@Other balloon accident injuring occupant, subs encntr
V96.09XS@Other balloon accident injuring occupant, sequela
V96.10XA@Unsp hang-glider accident injuring occupant, init encntr
V96.10XD@Unsp hang-glider accident injuring occupant, subs encntr
V96.10XS@Unspecified hang-glider accident injuring occupant, sequela
V96.11XA@Hang-glider crash injuring occupant, initial encounter
V96.11XD@Hang-glider crash injuring occupant, subsequent encounter
V96.11XS@Hang-glider crash injuring occupant, sequela
V96.12XA@Forced landing of hang-glider injuring occupant, init encntr
V96.12XD@Forced landing of hang-glider injuring occupant, subs encntr
V96.12XS@Forced landing of hang-glider injuring occupant, sequela
V96.13XA@Hang-glider collision injuring occupant, initial encounter
V96.13XD@Hang-glider collision injuring occupant, subs encntr
V96.13XS@Hang-glider collision injuring occupant, sequela
V96.14XA@Hang-glider fire injuring occupant, initial encounter
V96.14XD@Hang-glider fire injuring occupant, subsequent encounter
V96.14XS@Hang-glider fire injuring occupant, sequela
V96.15XA@Hang-glider explosion injuring occupant, initial encounter
V96.15XD@Hang-glider explosion injuring occupant, subs encntr
V96.15XS@Hang-glider explosion injuring occupant, sequela
V96.19XA@Other hang-glider accident injuring occupant, init encntr
V96.19XD@Other hang-glider accident injuring occupant, subs encntr
V96.19XS@Other hang-glider accident injuring occupant, sequela
V96.20XA@Unsp glider (nonpowered) accident injuring occupant, init
V96.20XD@Unsp glider (nonpowered) accident injuring occupant, subs
V96.20XS@Unsp glider (nonpowered) accident injuring occupant, sequela
V96.21XA@Glider (nonpowered) crash injuring occupant, init encntr
V96.21XD@Glider (nonpowered) crash injuring occupant, subs encntr
V96.21XS@Glider (nonpowered) crash injuring occupant, sequela
V96.22XA@Forced landing of glider injuring occupant, init
V96.22XD@Forced landing of glider injuring occupant, subs
V96.22XS@Forced landing of glider injuring occupant, sequela
V96.23XA@Glider (nonpowered) collision injuring occupant, init encntr
V96.23XD@Glider (nonpowered) collision injuring occupant, subs encntr
V96.23XS@Glider (nonpowered) collision injuring occupant, sequela
V96.24XA@Glider (nonpowered) fire injuring occupant, init encntr
V96.24XD@Glider (nonpowered) fire injuring occupant, subs encntr
V96.24XS@Glider (nonpowered) fire injuring occupant, sequela
V96.25XA@Glider (nonpowered) explosion injuring occupant, init encntr
V96.25XD@Glider (nonpowered) explosion injuring occupant, subs encntr
V96.25XS@Glider (nonpowered) explosion injuring occupant, sequela
V96.29XA@Oth glider (nonpowered) accident injuring occupant, init
V96.29XD@Oth glider (nonpowered) accident injuring occupant, subs
V96.29XS@Oth glider (nonpowered) accident injuring occupant, sequela
V96.8XXA@Oth nonpowered-aircraft accidents injuring occupant, init
V96.8XXD@Oth nonpowered-aircraft accidents injuring occupant, subs
V96.8XXS@Oth nonpowered-aircraft accidents injuring occupant, sequela
V96.9XXA@Unsp nonpowered-aircraft accident injuring occupant, init
V96.9XXD@Unsp nonpowered-aircraft accident injuring occupant, subs
V96.9XXS@Unsp nonpowered-aircraft accident injuring occupant, sequela
#
V97.0XXA@Occupant of aircraft injured in oth air transport acc, init
V97.0XXD@Occupant of aircraft injured in oth air transport acc, subs
V97.0XXS@Occupant of aircraft injured in oth air trnsp acc, sequela
V97.1XXA@Person injured wh brd/alit from aircraft, init
V97.1XXD@Person injured wh brd/alit from aircraft, subs
V97.1XXS@Person injured wh brd/alit from aircraft, sequela
V97.21XA@Parachutist entangled in object, initial encounter
V97.21XD@Parachutist entangled in object, subsequent encounter
V97.21XS@Parachutist entangled in object, sequela
V97.22XA@Parachutist injured on landing, initial encounter
V97.22XD@Parachutist injured on landing, subsequent encounter
V97.22XS@Parachutist injured on landing, sequela
V97.29XA@Other parachutist accident, initial encounter
V97.29XD@Other parachutist accident, subsequent encounter
V97.29XS@Other parachutist accident, sequela
V97.31XA@Hit by object falling from aircraft, initial encounter
V97.31XD@Hit by object falling from aircraft, subsequent encounter
V97.31XS@Hit by object falling from aircraft, sequela
V97.32XA@Injured by rotating propeller, initial encounter
V97.32XD@Injured by rotating propeller, subsequent encounter
V97.32XS@Injured by rotating propeller, sequela
V97.33XA@Sucked into jet engine, initial encounter
V97.33XD@Sucked into jet engine, subsequent encounter
V97.33XS@Sucked into jet engine, sequela
V97.39XA@Oth injury to person on ground due to air trnsp acc, init
V97.39XD@Oth injury to person on ground due to air trnsp acc, subs
V97.39XS@Oth injury to person on ground due to air trnsp acc, sequela
V97.810A@Civilian aircraft in air trnsp acc w military aircraft, init
V97.810D@Civilian aircraft in air trnsp acc w military aircraft, subs
V97.810S@Civilian arcrft in air trnsp acc w military arcrft, sequela
V97.811A@Civilian injured by military aircraft, initial encounter
V97.811D@Civilian injured by military aircraft, subsequent encounter
V97.811S@Civilian injured by military aircraft, sequela
V97.818A@Oth air transport accident involving military aircraft, init
V97.818D@Oth air transport accident involving military aircraft, subs
V97.818S@Oth air transport accident w military aircraft, sequela
V97.89XA@Oth air transport accidents, not elsewhere classified, init
V97.89XD@Oth air transport accidents, not elsewhere classified, subs
V97.89XS@Oth air transport accidents, NEC, sequela
#
V98.0XXA@Accident to, on or involving cable-car, not on rails, init
V98.0XXD@Accident to, on or involving cable-car, not on rails, subs
V98.0XXS@Accident to, on or w cable-car, not on rails, sequela
V98.1XXA@Accident to, on or involving land-yacht, initial encounter
V98.1XXD@Accident to, on or involving land-yacht, subs encntr
V98.1XXS@Accident to, on or involving land-yacht, sequela
V98.2XXA@Accident to, on or involving ice yacht, initial encounter
V98.2XXD@Accident to, on or involving ice yacht, subsequent encounter
V98.2XXS@Accident to, on or involving ice yacht, sequela
V98.3XXA@Accident to, on or involving ski lift, initial encounter
V98.3XXD@Accident to, on or involving ski lift, subsequent encounter
V98.3XXS@Accident to, on or involving ski lift, sequela
V98.8XXA@Other specified transport accidents, initial encounter
V98.8XXD@Other specified transport accidents, subsequent encounter
V98.8XXS@Other specified transport accidents, sequela
V99.XXXA@Unspecified transport accident, initial encounter
#
V99.XXXD@Unspecified transport accident, subsequent encounter
V99.XXXS@Unspecified transport accident, sequela
#
W00.0XXA@Fall on same level due to ice and snow, initial encounter
W00.0XXD@Fall on same level due to ice and snow, subsequent encounter
W00.0XXS@Fall on same level due to ice and snow, sequela
W00.1XXA@Fall from stairs and steps due to ice and snow, init encntr
W00.1XXD@Fall from stairs and steps due to ice and snow, subs encntr
W00.1XXS@Fall from stairs and steps due to ice and snow, sequela
W00.2XXA@Oth fall from one level to another due to ice and snow, init
W00.2XXD@Oth fall from one level to another due to ice and snow, subs
W00.2XXS@Oth fall from one level to another due to ice and snow, sqla
W00.9XXA@Unspecified fall due to ice and snow, initial encounter
W00.9XXD@Unspecified fall due to ice and snow, subsequent encounter
W00.9XXS@Unspecified fall due to ice and snow, sequela
#
W01.0XXA@Fall same lev from slip/trip w/o strike against object, init
W01.0XXD@Fall same lev from slip/trip w/o strike against object, subs
W01.0XXS@Fall same lev from slip/trip w/o strike agnst object, sqla
W01.10XA@Fall same lev from slip/trip w strike agnst unsp obj, init
W01.10XD@Fall same lev from slip/trip w strike agnst unsp obj, subs
W01.10XS@Fall same lev from slip/trip w strike agnst unsp obj, sqla
W01.110A@Fall same lev from slip/trip w strk agnst sharp glass, init
W01.110D@Fall same lev from slip/trip w strk agnst sharp glass, subs
W01.110S@Fall same lev from slip/trip w strk agnst sharp glass, sqla
W01.111A@Fall same lev from slip/trip w strk agnst pwr tl/machn, init
W01.111D@Fall same lev from slip/trip w strk agnst pwr tl/machn, subs
W01.111S@Fall same lev from slip/trip w strk agnst pwr tl/machn, sqla
W01.118A@Fall same lev fr slip/trip w strk agnst oth sharp obj, init
W01.118D@Fall same lev fr slip/trip w strk agnst oth sharp obj, subs
W01.118S@Fall same lev fr slip/trip w strk agnst oth sharp obj, sqla
W01.119A@Fall same lev fr slip/trip w strk agnst unsp sharp obj, init
W01.119D@Fall same lev fr slip/trip w strk agnst unsp sharp obj, subs
W01.119S@Fall same lev fr slip/trip w strk agnst unsp sharp obj, sqla
W01.190A@Fall same lev from slip/trip w strike agnst furniture, init
W01.190D@Fall same lev from slip/trip w strike agnst furniture, subs
W01.190S@Fall same lev from slip/trip w strike agnst furniture, sqla
W01.198A@Fall same lev from slip/trip w strike agnst oth object, init
W01.198D@Fall same lev from slip/trip w strike agnst oth object, subs
W01.198S@Fall same lev from slip/trip w strike agnst oth object, sqla
#
W03.XXXA@Oth fall same lev due to collision w another person, init
W03.XXXD@Oth fall same lev due to collision w another person, subs
W03.XXXS@Oth fall same lev due to collision w another person, sequela
#
W04.XXXA@Fall while being carried or supported by oth persons, init
W04.XXXD@Fall while being carried or supported by oth persons, subs
W04.XXXS@Fall while being carried or supported by oth persons, sqla
#
W05.0XXA@Fall from non-moving wheelchair, initial encounter
W05.0XXD@Fall from non-moving wheelchair, subsequent encounter
W05.0XXS@Fall from non-moving wheelchair, sequela
W05.1XXA@Fall from non-moving nonmotorized scooter, initial encounter
W05.1XXD@Fall from non-moving nonmotorized scooter, subs encntr
W05.1XXS@Fall from non-moving nonmotorized scooter, sequela
W05.2XXA@Fall from non-moving motorized mobility scooter, init encntr
W05.2XXD@Fall from non-moving motorized mobility scooter, subs encntr
